cation,anion,solvent,eox_exp_v,eox_sd_v,ip_CAS_ev,ip_CSA_ev,ip_ACS_ev,ip_min_ev,ip_mean_ev,ip_span_ev,topology_of_min_ip,oxidized_fragment_CAS,oxidized_fragment_CSA,oxidized_fragment_ACS,ip_as_direct_ev,ip_fadel_2p8_ev,ip_cation_ev,delta_ip_CAS_vs_AS,delta_ip_CSA_vs_AS,delta_ip_ACS_vs_AS,delta_ip_min_vs_AS,status,note
EMIM,NTF2,PC,2.80,0.15,11.998470810819505,11.942954539165333,11.967233044405496,11.942954539165333,11.969552798130112,0.055516271654171945,CSA,C,C,C,12.419318634109368,9.897473117316935,12.352822461871984,-0.42084782328986314,-0.4763640949440351,-0.4520855897038718,-0.4763640949440351,complete,
EMIM,NTF2,EG,1.95,0.04,11.720036812333989,11.559596380322374,11.481098948880685,11.481098948880685,11.586910713845683,0.23893786345330348,ACS,S,S,S,11.750514718638236,9.135250603467309,12.428819816344214,-0.03047790630424707,-0.19091833831586236,-0.26941576975755055,-0.26941576975755055,complete,
EMIM,NTF2,THF,2.10,0.14,11.505551769907235,11.526276117212676,11.536800674213872,11.505551769907235,11.52287618711126,0.031248904306636405,CAS,S,S,S,11.351040301046453,8.88836088951198,13.109986955410024,0.15451146886078249,0.1752358161662233,0.1857603731674189,0.15451146886078249,complete,
BMIM,NTF2,PC,2.80,0.14,11.628201105817848,11.676014573467386,11.65963817520029,11.628201105817848,11.654617951495174,0.04781346764953831,CAS,C,C,C,12.419318634109368,9.897473117316935,11.80331777962298,-0.7911175282915206,-0.7433040606419823,-0.7596804589090791,-0.7911175282915206,complete,
BMIM,NTF2,EG,2.50,0.18,11.585318315096647,11.277072995037502,11.406844627183357,11.277072995037502,11.4230786457725,0.30824532005914485,CSA,C,S,S,11.750514718638236,9.135250603467309,11.871187055471815,-0.16519640354158938,-0.4734417236007342,-0.3436700914548787,-0.4734417236007342,complete,
BMIM,NTF2,THF,2.20,0.12,11.42193420849184,11.44752910723587,11.578782822690732,11.42193420849184,11.482748712806147,0.15684861419889273,CAS,S,S,S,11.351040301046453,8.88836088951198,12.476846662405869,0.07089390744538626,0.09648880618941647,0.227742521644279,0.07089390744538626,complete,
HMIM,NTF2,PC,2.84,0.13,11.444049966140716,11.48140490981687,11.479530896830328,11.444049966140716,11.468328590929303,0.03735494367615466,CAS,C,C,C,12.419318634109368,9.897473117316935,11.591965905923768,-0.9752686679686526,-0.937913724292498,-0.9397877372790404,-0.9752686679686526,complete,
HMIM,NTF2,EG,2.58,0.19,11.481079601041024,11.274988666062884,11.319622357295557,11.274988666062884,11.358563541466488,0.2060909349781408,CSA,C,C,C,11.750514718638236,9.135250603467309,11.652188255751437,-0.2694351175972116,-0.4755260525753524,-0.4308923613426785,-0.4755260525753524,complete,
HMIM,NTF2,THF,2.06,0.11,11.368519278969627,11.436189662415284,11.509232956524956,11.368519278969627,11.437980632636622,0.14071367755532904,CAS,S,S,C,11.351040301046453,8.88836088951198,12.185531703375345,0.0174789779231741,0.08514936136883122,0.15819265547850314,0.0174789779231741,complete,
EMIM,OTF,PC,1.60,0.02,12.086532228946814,12.066593136886976,12.043982325235927,12.043982325235927,12.065702563689905,0.04254990371088674,ACS,C,C,C,12.367126763608137,9.897473117316935,12.352822461871984,-0.2805945346613239,-0.3005336267211618,-0.32314443837221063,-0.32314443837221063,complete,
EMIM,OTF,EG,1.98,0.05,11.713946682373564,11.485176792365712,11.52601273303502,11.485176792365712,11.575045402591433,0.22876989000785208,CSA,S,S,S,11.722122426529337,9.135250603467309,12.428819816344214,-0.008175744155773046,-0.23694563416362513,-0.19610969349431606,-0.23694563416362513,complete,
EMIM,OTF,THF,1.54,0.09,11.445228564640745,11.439945286678494,11.585921278762019,11.439945286678494,11.490365043360418,0.14597599208352463,CSA,S,S,S,11.264794279477808,8.88836088951198,13.109986955410024,0.1804342851629368,0.17515100720068588,0.3211269992842105,0.17515100720068588,complete,
HMIM,OTF,PC,2.55,0.18,11.593065910185375,11.531214802098386,11.507525584952027,11.507525584952027,11.54393543241193,0.08554032523334776,ACS,C,C,C,12.367126763608137,9.897473117316935,11.591965905923768,-0.7740608534227622,-0.8359119615097512,-0.85960117865611,-0.85960117865611,complete,
HMIM,OTF,EG,2.41,0.16,11.475774458457284,11.409276873377541,11.317821057922135,11.317821057922135,11.40095746325232,0.15795340053514906,ACS,C,C,C,11.722122426529337,9.135250603467309,11.652188255751437,-0.24634796807205284,-0.31284555315179574,-0.4043013686072019,-0.4043013686072019,complete,
HMIM,OTF,THF,2.30,0.17,11.322116889699563,11.361431844655776,11.539287642913939,11.322116889699563,11.407612125756428,0.21717075321437562,CAS,S,S,C,11.264794279477808,8.88836088951198,12.185531703375345,0.057322610221755,0.09663756517796784,0.2744933634361306,0.057322610221755,complete,
BMPYRR,OTF,PC,2.55,0.15,11.723531982350442,11.718243902857076,11.725599467912259,11.718243902857076,11.722458451039927,0.007355565055183533,CSA,C,C,C,12.367126763608137,9.897473117316935,11.792558996369419,-0.6435947812576952,-0.6488828607510619,-0.6415272956958784,-0.6488828607510619,complete,
BMPYRR,OTF,EG,2.35,0.17,11.535591221212545,11.394606411799085,11.367442294071308,11.367442294071308,11.43254664236098,0.16814892714123708,ACS,C,C,C,11.722122426529337,9.135250603467309,11.861622065502322,-0.18653120531679157,-0.3275160147302518,-0.35468013245802865,-0.35468013245802865,complete,
BMPYRR,OTF,THF,2.27,0.14,11.403989536972452,11.566696363058183,11.582694513124562,11.403989536972452,11.517793471051732,0.17870497615211,CAS,S,S,S,11.264794279477808,8.88836088951198,12.477998437200535,0.13919525749464334,0.30190208358037474,0.31790023364675335,0.13919525749464334,complete,
BMIM,PF6,PC,2.40,0.19,11.767479272215743,11.719719356737311,11.72689511991834,11.719719356737311,11.738031249623797,0.047759915478431836,CSA,C,C,C,12.610676136143972,9.897473117316935,11.80331777962298,-0.8431968639282292,-0.8909567794066611,-0.8837810162256314,-0.8909567794066611,complete,
BMIM,PF6,EG,2.40,0.20,11.608750699614491,11.381559235943977,11.462340100847943,11.381559235943977,11.484216678802136,0.2271914636705148,CSA,C,S,S,11.832753264904415,9.135250603467309,11.871187055471815,-0.2240025652899238,-0.4511940289604386,-0.3704131640564725,-0.4511940289604386,complete,
BMIM,PF6,THF,2.20,0.15,11.418771672392474,11.576614698456611,11.639019656540878,11.418771672392474,11.544802009129986,0.22024798414840419,CAS,S,S,S,11.49746492918724,8.88836088951198,12.476846662405869,-0.07869325679476624,0.079149769269371,0.14155472735363794,-0.07869325679476624,complete,
HMIM,PF6,PC,2.35,0.16,11.540254136168945,11.544503821870764,11.533490047873077,11.533490047873077,11.53941600197093,0.011013773997687437,ACS,C,C,C,12.610676136143972,9.897473117316935,11.591965905923768,-1.0704219999750268,-1.0661723142732082,-1.0771860882708957,-1.0771860882708957,complete,
HMIM,PF6,EG,2.64,0.19,11.48682880245454,11.323395840527366,11.417931933965477,11.323395840527366,11.409385525649128,0.16343296192717283,CSA,C,C,C,11.832753264904415,9.135250603467309,11.652188255751437,-0.34592446244987585,-0.5093574243770487,-0.41482133093893836,-0.5093574243770487,complete,
