scope,topology,anion,solvent,oxidized_fragment,count,total,fraction
overall,all,all,all,C,41,72,0.5694444444444444
overall,all,all,all,A,0,72,0.0
overall,all,all,all,S,31,72,0.4305555555555556
topology,CAS,all,all,C,14,24,0.5833333333333334
topology,CAS,all,all,A,0,24,0.0
topology,CAS,all,all,S,10,24,0.4166666666666667
topology,CSA,all,all,C,12,24,0.5
topology,CSA,all,all,A,0,24,0.0
topology,CSA,all,all,S,12,24,0.5
topology,ACS,all,all,C,15,24,0.625
topology,ACS,all,all,A,0,24,0.0
topology,ACS,all,all,S,9,24,0.375
anion,all,NTF2,all,C,14,27,0.5185185185185185
anion,all,NTF2,all,A,0,27,0.0
anion,all,NTF2,all,S,13,27,0.48148148148148145
anion,all,OTF,all,C,16,27,0.5925925925925926
anion,all,OTF,all,A,0,27,0.0
anion,all,OTF,all,S,11,27,0.4074074074074074
anion,all,PF6,all,C,11,18,0.6111111111111112
anion,all,PF6,all,A,0,18,0.0
anion,all,PF6,all,S,7,18,0.3888888888888889
solvent,all,all,PC,C,24,24,1.0
solvent,all,all,PC,A,0,24,0.0
solvent,all,all,PC,S,0,24,0.0
solvent,all,all,EG,C,14,24,0.5833333333333334
solvent,all,all,EG,A,0,24,0.0
solvent,all,all,EG,S,10,24,0.4166666666666667
solvent,all,all,THF,C,3,24,0.125
solvent,all,all,THF,A,0,24,0.0
solvent,all,all,THF,S,21,24,0.875
topology_anion_solvent,CAS,NTF2,PC,C,3,3,1.0
topology_anion_solvent,CAS,NTF2,PC,A,0,3,0.0
topology_anion_solvent,CAS,NTF2,PC,S,0,3,0.0
topology_anion_solvent,CSA,NTF2,PC,C,3,3,1.0
topology_anion_solvent,CSA,NTF2,PC,A,0,3,0.0
topology_anion_solvent,CSA,NTF2,PC,S,0,3,0.0
topology_anion_solvent,ACS,NTF2,PC,C,3,3,1.0
topology_anion_solvent,ACS,NTF2,PC,A,0,3,0.0
topology_anion_solvent,ACS,NTF2,PC,S,0,3,0.0
topology_anion_solvent,CAS,NTF2,EG,C,2,3,0.6666666666666666
topology_anion_solvent,CAS,NTF2,EG,A,0,3,0.0
topology_anion_solvent,CAS,NTF2,EG,S,1,3,0.3333333333333333
topology_anion_solvent,CSA,NTF2,EG,C,1,3,0.3333333333333333
topology_anion_solvent,CSA,NTF2,EG,A,0,3,0.0
topology_anion_solvent,CSA,NTF2,EG,S,2,3,0.6666666666666666
topology_anion_solvent,ACS,NTF2,EG,C,1,3,0.3333333333333333
topology_anion_solvent,ACS,NTF2,EG,A,0,3,0.0
topology_anion_solvent,ACS,NTF2,EG,S,2,3,0.6666666666666666
topology_anion_solvent,CAS,NTF2,THF,C,0,3,0.0
topology_anion_solvent,CAS,NTF2,THF,A,0,3,0.0
topology_anion_solvent,CAS,NTF2,THF,S,3,3,1.0
topology_anion_solvent,CSA,NTF2,THF,C,0,3,0.0
topology_anion_solvent,CSA,NTF2,THF,A,0,3,0.0
topology_anion_solvent,CSA,NTF2,THF,S,3,3,1.0
topology_anion_solvent,ACS,NTF2,THF,C,1,3,0.3333333333333333
topology_anion_solvent,ACS,NTF2,THF,A,0,3,0.0
topology_anion_solvent,ACS,NTF2,THF,S,2,3,0.6666666666666666
topology_anion_solvent,CAS,OTF,PC,C,3,3,1.0
topology_anion_solvent,CAS,OTF,PC,A,0,3,0.0
topology_anion_solvent,CAS,OTF,PC,S,0,3,0.0
topology_anion_solvent,CSA,OTF,PC,C,3,3,1.0
topology_anion_solvent,CSA,OTF,PC,A,0,3,0.0
topology_anion_solvent,CSA,OTF,PC,S,0,3,0.0
topology_anion_solvent,ACS,OTF,PC,C,3,3,1.0
topology_anion_solvent,ACS,OTF,PC,A,0,3,0.0
topology_anion_solvent,ACS,OTF,PC,S,0,3,0.0
topology_anion_solvent,CAS,OTF,EG,C,2,3,0.6666666666666666
topology_anion_solvent,CAS,OTF,EG,A,0,3,0.0
topology_anion_solvent,CAS,OTF,EG,S,1,3,0.3333333333333333
topology_anion_solvent,CSA,OTF,EG,C,2,3,0.6666666666666666
topology_anion_solvent,CSA,OTF,EG,A,0,3,0.0
topology_anion_solvent,CSA,OTF,EG,S,1,3,0.3333333333333333
topology_anion_solvent,ACS,OTF,EG,C,2,3,0.6666666666666666
topology_anion_solvent,ACS,OTF,EG,A,0,3,0.0
topology_anion_solvent,ACS,OTF,EG,S,1,3,0.3333333333333333
topology_anion_solvent,CAS,OTF,THF,C,0,3,0.0
topology_anion_solvent,CAS,OTF,THF,A,0,3,0.0
topology_anion_solvent,CAS,OTF,THF,S,3,3,1.0
topology_anion_solvent,CSA,OTF,THF,C,0,3,0.0
topology_anion_solvent,CSA,OTF,THF,A,0,3,0.0
topology_anion_solvent,CSA,OTF,THF,S,3,3,1.0
topology_anion_solvent,ACS,OTF,THF,C,1,3,0.3333333333333333
topology_anion_solvent,ACS,OTF,THF,A,0,3,0.0
topology_anion_solvent,ACS,OTF,THF,S,2,3,0.6666666666666666
topology_anion_solvent,CAS,PF6,PC,C,2,2,1.0
topology_anion_solvent,CAS,PF6,PC,A,0,2,0.0
topology_anion_solvent,CAS,PF6,PC,S,0,2,0.0
topology_anion_solvent,CSA,PF6,PC,C,2,2,1.0
topology_anion_solvent,CSA,PF6,PC,A,0,2,0.0
topology_anion_solvent,CSA,PF6,PC,S,0,2,0.0
topology_anion_solvent,ACS,PF6,PC,C,2,2,1.0
topology_anion_solvent,ACS,PF6,PC,A,0,2,0.0
topology_anion_solvent,ACS,PF6,PC,S,0,2,0.0
topology_anion_solvent,CAS,PF6,EG,C,2,2,1.0
topology_anion_solvent,CAS,PF6,EG,A,0,2,0.0
topology_anion_solvent,CAS,PF6,EG,S,0,2,0.0
topology_anion_solvent,CSA,PF6,EG,C,1,2,0.5
topology_anion_solvent,CSA,PF6,EG,A,0,2,0.0
topology_anion_solvent,CSA,PF6,EG,S,1,2,0.5
topology_anion_solvent,ACS,PF6,EG,C,1,2,0.5
topology_anion_solvent,ACS,PF6,EG,A,0,2,0.0
topology_anion_solvent,ACS,PF6,EG,S,1,2,0.5
topology_anion_solvent,CAS,PF6,THF,C,0,2,0.0
topology_anion_solvent,CAS,PF6,THF,A,0,2,0.0
topology_anion_solvent,CAS,PF6,THF,S,2,2,1.0
topology_anion_solvent,CSA,PF6,THF,C,0,2,0.0
topology_anion_solvent,CSA,PF6,THF,A,0,2,0.0
topology_anion_solvent,CSA,PF6,THF,S,2,2,1.0
topology_anion_solvent,ACS,PF6,THF,C,1,2,0.5
topology_anion_solvent,ACS,PF6,THF,A,0,2,0.0
topology_anion_solvent,ACS,PF6,THF,S,1,2,0.5
