cation,anion,solvent,eox_exp_v,eox_sd_v,ip_as_direct_ev,eox_as_calc_vs_agagcl_v,error_calc_minus_exp_v,abs_error_v,oxidized_fragment_as,dq_A,dq_S,same_geometry_pass,status,note
EMIM,NTF2,PC,2.80,0.15,12.419318634109368,7.942318634109368,5.142318634109368,5.142318634109368,S,0.30329320000000004,0.6967068000000003,True,complete,
EMIM,NTF2,EG,1.95,0.04,11.750514718638236,7.273514718638236,5.323514718638235,5.323514718638235,S,0.15321086000000028,0.8467891399999998,True,complete,
EMIM,NTF2,THF,2.10,0.14,11.351040301046453,6.874040301046453,4.774040301046453,4.774040301046453,S,0.1471150200000002,0.8528849700000001,True,complete,
BMIM,NTF2,PC,2.80,0.14,12.419318634109368,7.942318634109368,5.142318634109368,5.142318634109368,S,0.30329320000000004,0.6967068000000003,True,complete,
BMIM,NTF2,EG,2.50,0.18,11.750514718638236,7.273514718638236,4.773514718638236,4.773514718638236,S,0.15321086000000028,0.8467891399999998,True,complete,
BMIM,NTF2,THF,2.20,0.12,11.351040301046453,6.874040301046453,4.674040301046452,4.674040301046452,S,0.1471150200000002,0.8528849700000001,True,complete,
HMIM,NTF2,PC,2.84,0.13,12.419318634109368,7.942318634109368,5.102318634109368,5.102318634109368,S,0.30329320000000004,0.6967068000000003,True,complete,
HMIM,NTF2,EG,2.58,0.19,11.750514718638236,7.273514718638236,4.6935147186382355,4.6935147186382355,S,0.15321086000000028,0.8467891399999998,True,complete,
HMIM,NTF2,THF,2.06,0.11,11.351040301046453,6.874040301046453,4.814040301046452,4.814040301046452,S,0.1471150200000002,0.8528849700000001,True,complete,
EMIM,OTF,PC,1.60,0.02,12.367126763608137,7.890126763608137,6.2901267636081375,6.2901267636081375,S,0.3518457599999999,0.64815424,True,complete,
EMIM,OTF,EG,1.98,0.05,11.722122426529337,7.245122426529337,5.265122426529336,5.265122426529336,S,0.15594781999999996,0.8440521699999999,True,complete,
EMIM,OTF,THF,1.54,0.09,11.264794279477808,6.787794279477808,5.247794279477808,5.247794279477808,S,0.16037212,0.8396278899999999,True,complete,
HMIM,OTF,PC,2.55,0.18,12.367126763608137,7.890126763608137,5.340126763608137,5.340126763608137,S,0.3518457599999999,0.64815424,True,complete,
HMIM,OTF,EG,2.41,0.16,11.722122426529337,7.245122426529337,4.835122426529336,4.835122426529336,S,0.15594781999999996,0.8440521699999999,True,complete,
HMIM,OTF,THF,2.30,0.17,11.264794279477808,6.787794279477808,4.487794279477808,4.487794279477808,S,0.16037212,0.8396278899999999,True,complete,
BMPYRR,OTF,PC,2.55,0.15,12.367126763608137,7.890126763608137,5.340126763608137,5.340126763608137,S,0.3518457599999999,0.64815424,True,complete,
BMPYRR,OTF,EG,2.35,0.17,11.722122426529337,7.245122426529337,4.895122426529337,4.895122426529337,S,0.15594781999999996,0.8440521699999999,True,complete,
BMPYRR,OTF,THF,2.27,0.14,11.264794279477808,6.787794279477808,4.517794279477808,4.517794279477808,S,0.16037212,0.8396278899999999,True,complete,
BMIM,PF6,PC,2.40,0.19,12.610676136143972,8.133676136143972,5.733676136143972,5.733676136143972,S,0.004205620000000132,0.99579436,True,complete,
BMIM,PF6,EG,2.40,0.20,11.832753264904415,7.355753264904415,4.9557532649044145,4.9557532649044145,S,0.002524980000000232,0.9974750200000001,True,complete,
BMIM,PF6,THF,2.20,0.15,11.49746492918724,7.02046492918724,4.8204649291872395,4.8204649291872395,S,0.0031913200000003306,0.9968086800000001,True,complete,
HMIM,PF6,PC,2.35,0.16,12.610676136143972,8.133676136143972,5.783676136143972,5.783676136143972,S,0.004205620000000132,0.99579436,True,complete,
HMIM,PF6,EG,2.64,0.19,11.832753264904415,7.355753264904415,4.715753264904414,4.715753264904414,S,0.002524980000000232,0.9974750200000001,True,complete,
HMIM,PF6,THF,2.24,0.16,11.49746492918724,7.02046492918724,4.780464929187239,4.780464929187239,S,0.0031913200000003306,0.9968086800000001,True,complete,
