structure_id,kind,cation,anion,solvent,topology,formal_charge,xyz_path
triad__EMIM__NTF2__PC__CAS,triad,EMIM,NTF2,PC,CAS,0,data/chauhan_cation_eox/initial/triad__EMIM__NTF2__PC__CAS.xyz
triad__EMIM__NTF2__PC__CSA,triad,EMIM,NTF2,PC,CSA,0,data/chauhan_cation_eox/initial/triad__EMIM__NTF2__PC__CSA.xyz
triad__EMIM__NTF2__PC__ACS,triad,EMIM,NTF2,PC,ACS,0,data/chauhan_cation_eox/initial/triad__EMIM__NTF2__PC__ACS.xyz
triad__EMIM__NTF2__EG__CAS,triad,EMIM,NTF2,EG,CAS,0,data/chauhan_cation_eox/initial/triad__EMIM__NTF2__EG__CAS.xyz
triad__EMIM__NTF2__EG__CSA,triad,EMIM,NTF2,EG,CSA,0,data/chauhan_cation_eox/initial/triad__EMIM__NTF2__EG__CSA.xyz
triad__EMIM__NTF2__EG__ACS,triad,EMIM,NTF2,EG,ACS,0,data/chauhan_cation_eox/initial/triad__EMIM__NTF2__EG__ACS.xyz
triad__EMIM__NTF2__THF__CAS,triad,EMIM,NTF2,THF,CAS,0,data/chauhan_cation_eox/initial/triad__EMIM__NTF2__THF__CAS.xyz
triad__EMIM__NTF2__THF__CSA,triad,EMIM,NTF2,THF,CSA,0,data/chauhan_cation_eox/initial/triad__EMIM__NTF2__THF__CSA.xyz
triad__EMIM__NTF2__THF__ACS,triad,EMIM,NTF2,THF,ACS,0,data/chauhan_cation_eox/initial/triad__EMIM__NTF2__THF__ACS.xyz
triad__BMIM__NTF2__PC__CAS,triad,BMIM,NTF2,PC,CAS,0,data/chauhan_cation_eox/initial/triad__BMIM__NTF2__PC__CAS.xyz
triad__BMIM__NTF2__PC__CSA,triad,BMIM,NTF2,PC,CSA,0,data/chauhan_cation_eox/initial/triad__BMIM__NTF2__PC__CSA.xyz
triad__BMIM__NTF2__PC__ACS,triad,BMIM,NTF2,PC,ACS,0,data/chauhan_cation_eox/initial/triad__BMIM__NTF2__PC__ACS.xyz
triad__BMIM__NTF2__EG__CAS,triad,BMIM,NTF2,EG,CAS,0,data/chauhan_cation_eox/initial/triad__BMIM__NTF2__EG__CAS.xyz
triad__BMIM__NTF2__EG__CSA,triad,BMIM,NTF2,EG,CSA,0,data/chauhan_cation_eox/initial/triad__BMIM__NTF2__EG__CSA.xyz
triad__BMIM__NTF2__EG__ACS,triad,BMIM,NTF2,EG,ACS,0,data/chauhan_cation_eox/initial/triad__BMIM__NTF2__EG__ACS.xyz
triad__BMIM__NTF2__THF__CAS,triad,BMIM,NTF2,THF,CAS,0,data/chauhan_cation_eox/initial/triad__BMIM__NTF2__THF__CAS.xyz
triad__BMIM__NTF2__THF__CSA,triad,BMIM,NTF2,THF,CSA,0,data/chauhan_cation_eox/initial/triad__BMIM__NTF2__THF__CSA.xyz
triad__BMIM__NTF2__THF__ACS,triad,BMIM,NTF2,THF,ACS,0,data/chauhan_cation_eox/initial/triad__BMIM__NTF2__THF__ACS.xyz
triad__HMIM__NTF2__PC__CAS,triad,HMIM,NTF2,PC,CAS,0,data/chauhan_cation_eox/initial/triad__HMIM__NTF2__PC__CAS.xyz
triad__HMIM__NTF2__PC__CSA,triad,HMIM,NTF2,PC,CSA,0,data/chauhan_cation_eox/initial/triad__HMIM__NTF2__PC__CSA.xyz
triad__HMIM__NTF2__PC__ACS,triad,HMIM,NTF2,PC,ACS,0,data/chauhan_cation_eox/initial/triad__HMIM__NTF2__PC__ACS.xyz
triad__HMIM__NTF2__EG__CAS,triad,HMIM,NTF2,EG,CAS,0,data/chauhan_cation_eox/initial/triad__HMIM__NTF2__EG__CAS.xyz
triad__HMIM__NTF2__EG__CSA,triad,HMIM,NTF2,EG,CSA,0,data/chauhan_cation_eox/initial/triad__HMIM__NTF2__EG__CSA.xyz
triad__HMIM__NTF2__EG__ACS,triad,HMIM,NTF2,EG,ACS,0,data/chauhan_cation_eox/initial/triad__HMIM__NTF2__EG__ACS.xyz
triad__HMIM__NTF2__THF__CAS,triad,HMIM,NTF2,THF,CAS,0,data/chauhan_cation_eox/initial/triad__HMIM__NTF2__THF__CAS.xyz
triad__HMIM__NTF2__THF__CSA,triad,HMIM,NTF2,THF,CSA,0,data/chauhan_cation_eox/initial/triad__HMIM__NTF2__THF__CSA.xyz
triad__HMIM__NTF2__THF__ACS,triad,HMIM,NTF2,THF,ACS,0,data/chauhan_cation_eox/initial/triad__HMIM__NTF2__THF__ACS.xyz
triad__EMIM__OTF__PC__CAS,triad,EMIM,OTF,PC,CAS,0,data/chauhan_cation_eox/initial/triad__EMIM__OTF__PC__CAS.xyz
triad__EMIM__OTF__PC__CSA,triad,EMIM,OTF,PC,CSA,0,data/chauhan_cation_eox/initial/triad__EMIM__OTF__PC__CSA.xyz
triad__EMIM__OTF__PC__ACS,triad,EMIM,OTF,PC,ACS,0,data/chauhan_cation_eox/initial/triad__EMIM__OTF__PC__ACS.xyz
triad__EMIM__OTF__EG__CAS,triad,EMIM,OTF,EG,CAS,0,data/chauhan_cation_eox/initial/triad__EMIM__OTF__EG__CAS.xyz
triad__EMIM__OTF__EG__CSA,triad,EMIM,OTF,EG,CSA,0,data/chauhan_cation_eox/initial/triad__EMIM__OTF__EG__CSA.xyz
triad__EMIM__OTF__EG__ACS,triad,EMIM,OTF,EG,ACS,0,data/chauhan_cation_eox/initial/triad__EMIM__OTF__EG__ACS.xyz
triad__EMIM__OTF__THF__CAS,triad,EMIM,OTF,THF,CAS,0,data/chauhan_cation_eox/initial/triad__EMIM__OTF__THF__CAS.xyz
triad__EMIM__OTF__THF__CSA,triad,EMIM,OTF,THF,CSA,0,data/chauhan_cation_eox/initial/triad__EMIM__OTF__THF__CSA.xyz
triad__EMIM__OTF__THF__ACS,triad,EMIM,OTF,THF,ACS,0,data/chauhan_cation_eox/initial/triad__EMIM__OTF__THF__ACS.xyz
triad__HMIM__OTF__PC__CAS,triad,HMIM,OTF,PC,CAS,0,data/chauhan_cation_eox/initial/triad__HMIM__OTF__PC__CAS.xyz
triad__HMIM__OTF__PC__CSA,triad,HMIM,OTF,PC,CSA,0,data/chauhan_cation_eox/initial/triad__HMIM__OTF__PC__CSA.xyz
triad__HMIM__OTF__PC__ACS,triad,HMIM,OTF,PC,ACS,0,data/chauhan_cation_eox/initial/triad__HMIM__OTF__PC__ACS.xyz
triad__HMIM__OTF__EG__CAS,triad,HMIM,OTF,EG,CAS,0,data/chauhan_cation_eox/initial/triad__HMIM__OTF__EG__CAS.xyz
triad__HMIM__OTF__EG__CSA,triad,HMIM,OTF,EG,CSA,0,data/chauhan_cation_eox/initial/triad__HMIM__OTF__EG__CSA.xyz
triad__HMIM__OTF__EG__ACS,triad,HMIM,OTF,EG,ACS,0,data/chauhan_cation_eox/initial/triad__HMIM__OTF__EG__ACS.xyz
triad__HMIM__OTF__THF__CAS,triad,HMIM,OTF,THF,CAS,0,data/chauhan_cation_eox/initial/triad__HMIM__OTF__THF__CAS.xyz
triad__HMIM__OTF__THF__CSA,triad,HMIM,OTF,THF,CSA,0,data/chauhan_cation_eox/initial/triad__HMIM__OTF__THF__CSA.xyz
triad__HMIM__OTF__THF__ACS,triad,HMIM,OTF,THF,ACS,0,data/chauhan_cation_eox/initial/triad__HMIM__OTF__THF__ACS.xyz
triad__BMPYRR__OTF__PC__CAS,triad,BMPYRR,OTF,PC,CAS,0,data/chauhan_cation_eox/initial/triad__BMPYRR__OTF__PC__CAS.xyz
triad__BMPYRR__OTF__PC__CSA,triad,BMPYRR,OTF,PC,CSA,0,data/chauhan_cation_eox/initial/triad__BMPYRR__OTF__PC__CSA.xyz
triad__BMPYRR__OTF__PC__ACS,triad,BMPYRR,OTF,PC,ACS,0,data/chauhan_cation_eox/initial/triad__BMPYRR__OTF__PC__ACS.xyz
triad__BMPYRR__OTF__EG__CAS,triad,BMPYRR,OTF,EG,CAS,0,data/chauhan_cation_eox/initial/triad__BMPYRR__OTF__EG__CAS.xyz
triad__BMPYRR__OTF__EG__CSA,triad,BMPYRR,OTF,EG,CSA,0,data/chauhan_cation_eox/initial/triad__BMPYRR__OTF__EG__CSA.xyz
triad__BMPYRR__OTF__EG__ACS,triad,BMPYRR,OTF,EG,ACS,0,data/chauhan_cation_eox/initial/triad__BMPYRR__OTF__EG__ACS.xyz
triad__BMPYRR__OTF__THF__CAS,triad,BMPYRR,OTF,THF,CAS,0,data/chauhan_cation_eox/initial/triad__BMPYRR__OTF__THF__CAS.xyz
triad__BMPYRR__OTF__THF__CSA,triad,BMPYRR,OTF,THF,CSA,0,data/chauhan_cation_eox/initial/triad__BMPYRR__OTF__THF__CSA.xyz
triad__BMPYRR__OTF__THF__ACS,triad,BMPYRR,OTF,THF,ACS,0,data/chauhan_cation_eox/initial/triad__BMPYRR__OTF__THF__ACS.xyz
triad__BMIM__PF6__PC__CAS,triad,BMIM,PF6,PC,CAS,0,data/chauhan_cation_eox/initial/triad__BMIM__PF6__PC__CAS.xyz
triad__BMIM__PF6__PC__CSA,triad,BMIM,PF6,PC,CSA,0,data/chauhan_cation_eox/initial/triad__BMIM__PF6__PC__CSA.xyz
triad__BMIM__PF6__PC__ACS,triad,BMIM,PF6,PC,ACS,0,data/chauhan_cation_eox/initial/triad__BMIM__PF6__PC__ACS.xyz
triad__BMIM__PF6__EG__CAS,triad,BMIM,PF6,EG,CAS,0,data/chauhan_cation_eox/initial/triad__BMIM__PF6__EG__CAS.xyz
triad__BMIM__PF6__EG__CSA,triad,BMIM,PF6,EG,CSA,0,data/chauhan_cation_eox/initial/triad__BMIM__PF6__EG__CSA.xyz
triad__BMIM__PF6__EG__ACS,triad,BMIM,PF6,EG,ACS,0,data/chauhan_cation_eox/initial/triad__BMIM__PF6__EG__ACS.xyz
triad__BMIM__PF6__THF__CAS,triad,BMIM,PF6,THF,CAS,0,data/chauhan_cation_eox/initial/triad__BMIM__PF6__THF__CAS.xyz
triad__BMIM__PF6__THF__CSA,triad,BMIM,PF6,THF,CSA,0,data/chauhan_cation_eox/initial/triad__BMIM__PF6__THF__CSA.xyz
triad__BMIM__PF6__THF__ACS,triad,BMIM,PF6,THF,ACS,0,data/chauhan_cation_eox/initial/triad__BMIM__PF6__THF__ACS.xyz
triad__HMIM__PF6__PC__CAS,triad,HMIM,PF6,PC,CAS,0,data/chauhan_cation_eox/initial/triad__HMIM__PF6__PC__CAS.xyz
triad__HMIM__PF6__PC__CSA,triad,HMIM,PF6,PC,CSA,0,data/chauhan_cation_eox/initial/triad__HMIM__PF6__PC__CSA.xyz
triad__HMIM__PF6__PC__ACS,triad,HMIM,PF6,PC,ACS,0,data/chauhan_cation_eox/initial/triad__HMIM__PF6__PC__ACS.xyz
triad__HMIM__PF6__EG__CAS,triad,HMIM,PF6,EG,CAS,0,data/chauhan_cation_eox/initial/triad__HMIM__PF6__EG__CAS.xyz
triad__HMIM__PF6__EG__CSA,triad,HMIM,PF6,EG,CSA,0,data/chauhan_cation_eox/initial/triad__HMIM__PF6__EG__CSA.xyz
triad__HMIM__PF6__EG__ACS,triad,HMIM,PF6,EG,ACS,0,data/chauhan_cation_eox/initial/triad__HMIM__PF6__EG__ACS.xyz
triad__HMIM__PF6__THF__CAS,triad,HMIM,PF6,THF,CAS,0,data/chauhan_cation_eox/initial/triad__HMIM__PF6__THF__CAS.xyz
triad__HMIM__PF6__THF__CSA,triad,HMIM,PF6,THF,CSA,0,data/chauhan_cation_eox/initial/triad__HMIM__PF6__THF__CSA.xyz
triad__HMIM__PF6__THF__ACS,triad,HMIM,PF6,THF,ACS,0,data/chauhan_cation_eox/initial/triad__HMIM__PF6__THF__ACS.xyz
as__NTF2__PC,as_pair,,NTF2,PC,AS,-1,data/chauhan_cation_eox/initial/as__NTF2__PC.xyz
as__NTF2__EG,as_pair,,NTF2,EG,AS,-1,data/chauhan_cation_eox/initial/as__NTF2__EG.xyz
as__NTF2__THF,as_pair,,NTF2,THF,AS,-1,data/chauhan_cation_eox/initial/as__NTF2__THF.xyz
as__OTF__PC,as_pair,,OTF,PC,AS,-1,data/chauhan_cation_eox/initial/as__OTF__PC.xyz
as__OTF__EG,as_pair,,OTF,EG,AS,-1,data/chauhan_cation_eox/initial/as__OTF__EG.xyz
as__OTF__THF,as_pair,,OTF,THF,AS,-1,data/chauhan_cation_eox/initial/as__OTF__THF.xyz
as__PF6__PC,as_pair,,PF6,PC,AS,-1,data/chauhan_cation_eox/initial/as__PF6__PC.xyz
as__PF6__EG,as_pair,,PF6,EG,AS,-1,data/chauhan_cation_eox/initial/as__PF6__EG.xyz
as__PF6__THF,as_pair,,PF6,THF,AS,-1,data/chauhan_cation_eox/initial/as__PF6__THF.xyz
solvent__PC,solvent,,,PC,,0,data/chauhan_cation_eox/initial/solvent__PC.xyz
solvent__EG,solvent,,,EG,,0,data/chauhan_cation_eox/initial/solvent__EG.xyz
solvent__THF,solvent,,,THF,,0,data/chauhan_cation_eox/initial/solvent__THF.xyz
anion__NTF2__PC,anion,,NTF2,PC,,-1,data/chauhan_cation_eox/initial/anion__NTF2__PC.xyz
anion__NTF2__EG,anion,,NTF2,EG,,-1,data/chauhan_cation_eox/initial/anion__NTF2__EG.xyz
anion__NTF2__THF,anion,,NTF2,THF,,-1,data/chauhan_cation_eox/initial/anion__NTF2__THF.xyz
anion__OTF__PC,anion,,OTF,PC,,-1,data/chauhan_cation_eox/initial/anion__OTF__PC.xyz
anion__OTF__EG,anion,,OTF,EG,,-1,data/chauhan_cation_eox/initial/anion__OTF__EG.xyz
anion__OTF__THF,anion,,OTF,THF,,-1,data/chauhan_cation_eox/initial/anion__OTF__THF.xyz
anion__PF6__PC,anion,,PF6,PC,,-1,data/chauhan_cation_eox/initial/anion__PF6__PC.xyz
anion__PF6__EG,anion,,PF6,EG,,-1,data/chauhan_cation_eox/initial/anion__PF6__EG.xyz
anion__PF6__THF,anion,,PF6,THF,,-1,data/chauhan_cation_eox/initial/anion__PF6__THF.xyz
cation__EMIM__PC,cation,EMIM,,PC,,1,data/chauhan_cation_eox/initial/cation__EMIM__PC.xyz
cation__EMIM__EG,cation,EMIM,,EG,,1,data/chauhan_cation_eox/initial/cation__EMIM__EG.xyz
cation__EMIM__THF,cation,EMIM,,THF,,1,data/chauhan_cation_eox/initial/cation__EMIM__THF.xyz
cation__BMIM__PC,cation,BMIM,,PC,,1,data/chauhan_cation_eox/initial/cation__BMIM__PC.xyz
cation__BMIM__EG,cation,BMIM,,EG,,1,data/chauhan_cation_eox/initial/cation__BMIM__EG.xyz
cation__BMIM__THF,cation,BMIM,,THF,,1,data/chauhan_cation_eox/initial/cation__BMIM__THF.xyz
cation__HMIM__PC,cation,HMIM,,PC,,1,data/chauhan_cation_eox/initial/cation__HMIM__PC.xyz
cation__HMIM__EG,cation,HMIM,,EG,,1,data/chauhan_cation_eox/initial/cation__HMIM__EG.xyz
cation__HMIM__THF,cation,HMIM,,THF,,1,data/chauhan_cation_eox/initial/cation__HMIM__THF.xyz
cation__BMPYRR__PC,cation,BMPYRR,,PC,,1,data/chauhan_cation_eox/initial/cation__BMPYRR__PC.xyz
