cation,anion,solvent,topology,epsilon,charge_neutral,uhf_neutral,charge_oxidized,uhf_oxidized,energy_neutral_opt_eh,energy_neutral_sp_eh,energy_oxidized_sp_eh,ip_vertical_ev,ip_cation_ev,delta_ip_vs_isolated_cation_ev,q_C_neutral,q_A_neutral,q_S_neutral,q_C_oxidized,q_A_oxidized,q_S_oxidized,dq_C,dq_A,dq_S,oxidized_fragment,topology_preserved,inferred_topology,dmin_CA_ang,dmin_CS_ang,dmin_AS_ang,anchor_CA_ang,anchor_CS_ang,anchor_AS_ang,status,note
EMIM,NTF2,PC,CAS,65.0,0,0,1,1,-106.626421885816,-106.626598494591,-106.185446387368,12.0043603828763,12.352822466933269,-0.348462084056969,0.99566384,-0.9875494300000001,-0.008114420000000018,1.76501866,-0.82995982,0.06494114999999996,0.76935482,0.15758961000000005,0.07305556999999999,C,True,CAS,2.94197315078607,6.733326392031028,2.5895445999915303,3.4041046017937178,7.780855936057295,4.526682521091573,complete,
EMIM,NTF2,PC,CSA,65.0,0,0,1,1,-106.624704126397,-106.624954466129,-106.185991698958,11.944785405097555,12.352822466933269,-0.40803706183571364,0.99497087,-0.9908511799999999,-0.004119719999999966,1.61940612,-0.9723707799999999,0.35296463000000006,0.6244352500000001,0.018480400000000063,0.35708435000000005,C,True,CSA,3.2206927914810617,2.7852844274458968,2.8285310887467268,5.630852365037961,3.5557845483747648,3.6455294041884114,complete,
EMIM,NTF2,PC,ACS,65.0,0,0,1,1,-106.608814900464,-106.608865827558,-106.169123172786,11.96600722783717,12.352822466933269,-0.38681523909609794,0.9858060200000001,-0.9881296899999997,0.0023236199999999985,1.61141195,-0.82868154,0.21726960999999995,0.6256059299999999,0.15944814999999968,0.21494598999999995,C,True,ACS,2.7838655104682832,3.176778147826214,5.740304657865871,4.471250687040329,3.4549602892729148,7.697297289326171,complete,
EMIM,NTF2,EG,CAS,37.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
EMIM,NTF2,EG,CSA,37.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
EMIM,NTF2,EG,ACS,37.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
EMIM,NTF2,THF,CAS,7.6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
EMIM,NTF2,THF,CSA,7.6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
EMIM,NTF2,THF,ACS,7.6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMIM,NTF2,PC,CAS,65.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMIM,NTF2,PC,CSA,65.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMIM,NTF2,PC,ACS,65.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMIM,NTF2,EG,CAS,37.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMIM,NTF2,EG,CSA,37.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMIM,NTF2,EG,ACS,37.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMIM,NTF2,THF,CAS,7.6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMIM,NTF2,THF,CSA,7.6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
BMIM,NTF2,THF,ACS,7.6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,NTF2,PC,CAS,65.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,NTF2,PC,CSA,65.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,NTF2,PC,ACS,65.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,NTF2,EG,CAS,37.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,NTF2,EG,CSA,37.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,NTF2,EG,ACS,37.0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,NTF2,THF,CAS,7.6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
HMIM,NTF2,THF,CSA,7.6,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,not_run_or_incomplete,calculation artifacts unavailable
