cation,anion,solvent,eox_exp_v,eox_sd_v,eox_as_direct_v,eox_restrained_triad_min_v,eox_unconstrained_free_min_v,eox_unconstrained_lowest_energy_geometry_v
EMIM,NTF2,PC,2.80,0.15,7.942318634109368,7.465954539165333,7.492430864507206,7.5080295794240435
EMIM,NTF2,EG,1.95,0.04,7.273514718638236,7.004098948880685,6.96463124716216,6.96463124716216
EMIM,NTF2,THF,2.10,0.14,6.874040301046453,7.028551769907235,7.068690068947001,7.095278395075455
BMIM,NTF2,PC,2.80,0.14,7.942318634109368,7.151201105817847,7.147529894458666,7.147529894458666
BMIM,NTF2,EG,2.50,0.18,7.273514718638236,6.800072995037501,6.802050081734288,7.114202111291913
BMIM,NTF2,THF,2.20,0.12,6.874040301046453,6.944934208491839,7.042636962432228,7.055543774719066
HMIM,NTF2,PC,2.84,0.13,7.942318634109368,6.967049966140715,6.980611654778722,7.01867420070338
HMIM,NTF2,EG,2.58,0.19,7.273514718638236,6.797988666062883,6.81532866961304,7.003856567675699
HMIM,NTF2,THF,2.06,0.11,6.874040301046453,6.891519278969627,6.993181270968909,6.993181270968909
EMIM,OTF,PC,1.60,0.02,7.890126763608137,7.5669823252359265,7.560861839205829,7.564560562854474
EMIM,OTF,EG,1.98,0.05,7.245122426529337,7.0081767923657114,7.020056512674897,7.020056512674897
EMIM,OTF,THF,1.54,0.09,6.787794279477808,6.962945286678494,6.993420789291239,7.20310263009306
HMIM,OTF,PC,2.55,0.18,7.890126763608137,7.030525584952027,7.052622702856144,7.052622702856144
HMIM,OTF,EG,2.41,0.16,7.245122426529337,6.840821057922135,6.825938967951037,7.009399773562171
HMIM,OTF,THF,2.30,0.17,6.787794279477808,6.845116889699563,6.889941570332747,7.043608437383993
BMPYRR,OTF,PC,2.55,0.15,7.890126763608137,7.241243902857075,7.113005117785757,7.190001244502419
BMPYRR,OTF,EG,2.35,0.17,7.245122426529337,6.890442294071308,6.928963311853341,6.928963311853341
BMPYRR,OTF,THF,2.27,0.14,6.787794279477808,6.926989536972451,6.956166071491374,6.956166071491374
BMIM,PF6,PC,2.40,0.19,8.133676136143972,7.242719356737311,7.239948416023999,7.239948416023999
BMIM,PF6,EG,2.40,0.20,7.355753264904415,6.904559235943976,6.913045223590405,6.913045223590405
BMIM,PF6,THF,2.20,0.15,7.02046492918724,6.941771672392473,7.130205296825274,7.151944334736857
HMIM,PF6,PC,2.35,0.16,8.133676136143972,7.056490047873076,7.057558428639691,7.085299817422943
HMIM,PF6,EG,2.64,0.19,7.355753264904415,6.846395840527366,6.850186353406055,6.850186353406055
HMIM,PF6,THF,2.24,0.16,7.02046492918724,6.873690153662983,7.043850408895048,7.079404434537924
