task_index,task_id,kind,cation,anion,solvent,topology,epsilon,input_xyz,charge_reduced,uhf_reduced,charge_oxidized,uhf_oxidized,optimize_reduced,restraint,restraint_force_constant_eh_bohr2,source_restrained_task_id,source_initial_xyz_sha256
1,triad__EMIM__NTF2__PC__CAS,triad,EMIM,NTF2,PC,CAS,65.0,data/chauhan_cation_eox/initial/triad__EMIM__NTF2__PC__CAS.xyz,0,0,1,1,1,none,,triad__EMIM__NTF2__PC__CAS,fdf6470f4df44a293dfd8ce131a08316a06f6d9b8be9d59cec01d441ff4f4732
2,triad__EMIM__NTF2__PC__CSA,triad,EMIM,NTF2,PC,CSA,65.0,data/chauhan_cation_eox/initial/triad__EMIM__NTF2__PC__CSA.xyz,0,0,1,1,1,none,,triad__EMIM__NTF2__PC__CSA,4cc9959c785aef7e307cdb295b4129679e51c3b81107a5443ff34778f10448d5
3,triad__EMIM__NTF2__PC__ACS,triad,EMIM,NTF2,PC,ACS,65.0,data/chauhan_cation_eox/initial/triad__EMIM__NTF2__PC__ACS.xyz,0,0,1,1,1,none,,triad__EMIM__NTF2__PC__ACS,15eb28529b8b176b03cdf334b65c6c7f34f18ade0f45630b8cae01ed173e8cbf
4,triad__EMIM__NTF2__EG__CAS,triad,EMIM,NTF2,EG,CAS,37.0,data/chauhan_cation_eox/initial/triad__EMIM__NTF2__EG__CAS.xyz,0,0,1,1,1,none,,triad__EMIM__NTF2__EG__CAS,cdffa409e752b64a965a5a1d8b7423df335fd468c104a87131926872238e5077
5,triad__EMIM__NTF2__EG__CSA,triad,EMIM,NTF2,EG,CSA,37.0,data/chauhan_cation_eox/initial/triad__EMIM__NTF2__EG__CSA.xyz,0,0,1,1,1,none,,triad__EMIM__NTF2__EG__CSA,1507d5b4c2a6ba7cf91974bc83f3663d28cfe85e74c0b0f290b0fd5d80610fa5
6,triad__EMIM__NTF2__EG__ACS,triad,EMIM,NTF2,EG,ACS,37.0,data/chauhan_cation_eox/initial/triad__EMIM__NTF2__EG__ACS.xyz,0,0,1,1,1,none,,triad__EMIM__NTF2__EG__ACS,523265ddb1cb6435c880c94bd586446fc4a3a7b94ade8361189c459ae49d49b2
7,triad__EMIM__NTF2__THF__CAS,triad,EMIM,NTF2,THF,CAS,7.6,data/chauhan_cation_eox/initial/triad__EMIM__NTF2__THF__CAS.xyz,0,0,1,1,1,none,,triad__EMIM__NTF2__THF__CAS,c3a4ee17ca4fe04bae131c10d31740824c10104cb8dee145c270acbedebab11e
8,triad__EMIM__NTF2__THF__CSA,triad,EMIM,NTF2,THF,CSA,7.6,data/chauhan_cation_eox/initial/triad__EMIM__NTF2__THF__CSA.xyz,0,0,1,1,1,none,,triad__EMIM__NTF2__THF__CSA,8a23736b5fdbe89f7cb3a6766433cd881bb693eb87bc4e5298c7bac7d2cf5734
9,triad__EMIM__NTF2__THF__ACS,triad,EMIM,NTF2,THF,ACS,7.6,data/chauhan_cation_eox/initial/triad__EMIM__NTF2__THF__ACS.xyz,0,0,1,1,1,none,,triad__EMIM__NTF2__THF__ACS,66a40028e8e579227fba84d88a2ff48ac0bd7670b674191da51dc36eb8974fa2
10,triad__BMIM__NTF2__PC__CAS,triad,BMIM,NTF2,PC,CAS,65.0,data/chauhan_cation_eox/initial/triad__BMIM__NTF2__PC__CAS.xyz,0,0,1,1,1,none,,triad__BMIM__NTF2__PC__CAS,979fd742cbabea81e4a2d14fa8a54fd731cdcb174adc76f39380fb5412bbfe01
