cation,anion,solvent,rmsd_CAS_CSA_ang,rmsd_CAS_ACS_ang,rmsd_CSA_ACS_ang,rmsd_threshold_ang,final_geometry_class,relE_CAS_kcalmol,relE_CSA_kcalmol,relE_ACS_kcalmol
EMIM,NTF2,PC,2.871289834028301,3.7328239861727894,3.9471424252982907,0.25,three_distinct,0.0,1.937651625473444,11.367118356662035
EMIM,NTF2,EG,2.7992080853576655,3.5941676109028466,3.329352367188273,0.25,three_distinct,4.383882796533214,0.0,7.418720939097223
EMIM,NTF2,THF,3.1367473612030428,3.3723387973731653,3.097603553313714,0.25,three_distinct,0.0,0.6437908336189103,4.522490872417811
BMIM,NTF2,PC,2.847514781558541,3.774645596965057,3.0323539558107333,0.25,three_distinct,0.0,0.30566202720814273,9.092437778825316
BMIM,NTF2,EG,2.8099365318202185,4.050299955520504,3.0351122369595513,0.25,three_distinct,0.0,2.18014444887815,7.116221862085528
BMIM,NTF2,THF,3.2326835615977734,3.541974921593858,3.1281200288768294,0.25,three_distinct,0.0,7.322872911853138,4.420802423112944
HMIM,NTF2,PC,2.8339305759133286,3.337183527148005,3.7355845817601763,0.25,three_distinct,1.4468046316646888,0.0,6.1644277533744
HMIM,NTF2,EG,3.2129006221727483,4.054228196477818,3.405201899291886,0.25,three_distinct,0.0,14.466253442349636,8.414994388342615
HMIM,NTF2,THF,3.2700784371062794,3.4350436452697948,3.3949480038639765,0.25,three_distinct,0.0,7.949438464213525,3.4600302232198326
EMIM,OTF,PC,2.584548160867524,3.4284395049477245,3.7805516251662707,0.25,three_distinct,0.0,1.672800161970168,4.890790970636419
EMIM,OTF,EG,2.869929002328593,3.4503194433787328,3.388453653341809,0.25,three_distinct,0.6771116632494153,0.0,4.962986605803404
EMIM,OTF,THF,2.491916000352855,3.7647863443093184,2.718529007848352,0.25,three_distinct,2.0072159402329683,0.8051152519732637,0.0
HMIM,OTF,PC,2.3505874532925444,2.666797260047045,3.672656195990413,0.25,three_distinct,3.351743501754399,5.092754670843285,0.0
HMIM,OTF,EG,2.8982910897426963,3.6132340106518233,3.6393928616896787,0.25,three_distinct,0.0,5.474941270713032,9.555625772743294
HMIM,OTF,THF,2.7036386093999853,3.201009853008778,3.5062022440200833,0.25,three_distinct,0.7430492989170754,4.288947685133298,0.0
BMPYRR,OTF,PC,2.393294504709645,4.21566111776608,3.623206535764744,0.25,three_distinct,0.0,3.6483038956089575,6.526485674104046
BMPYRR,OTF,EG,2.5072084648858666,4.004658673785427,3.7376832190160907,0.25,three_distinct,2.855712802150909,0.0,8.07669688856437
BMPYRR,OTF,THF,2.6844609628135307,3.5286649312724023,3.707148758856167,0.25,three_distinct,0.0,7.7874193891153975,4.031080132879184
BMIM,PF6,PC,2.989762587766803,3.3056733727034473,3.441030615872317,0.25,three_distinct,1.2116474398168045,0.0,3.2031835523168164
BMIM,PF6,EG,2.7786649058096673,3.4682260324422236,3.1707803186565315,0.25,three_distinct,0.3106527192455245,0.0,2.6001352239825177
BMIM,PF6,THF,2.620799045492653,3.362610174570715,3.2231217098242806,0.25,three_distinct,0.9521321530988069,0.3303892545284912,0.0
HMIM,PF6,PC,2.618774446572767,2.5028161101228426,3.4176045000720734,0.25,three_distinct,3.089898968902084,2.579945926809132,0.0
HMIM,PF6,EG,2.890858841086704,3.330940642578692,3.2433309496712863,0.25,three_distinct,1.0232547301268458,0.0,3.358973526602512
HMIM,PF6,THF,3.2573960565478224,3.301019117520964,3.5291483378681914,0.25,three_distinct,2.2933510297343522,3.4946820217806995,0.0
