cation,anion,solvent,initial_topology,ip_restrained_ev,ip_unconstrained_ev,delta_ip_free_minus_restrained_ev,restrained_final_topology,unconstrained_final_topology,neutral_energy_restrained_eh,neutral_energy_unconstrained_eh
EMIM,NTF2,PC,CAS,11.998470810819505,11.985029579424044,-0.013441231395461273,CAS,CAS,-106.626642482554,-106.62705781181
EMIM,NTF2,PC,CSA,11.942954539165333,12.001154247388373,0.05819970822303944,CSA,CSA,-106.624020916938,-106.623969967394
EMIM,NTF2,PC,ACS,11.967233044405496,11.969430864507206,0.0021978201017098797,ACS,ACS,-106.608839447709,-106.608943155655
EMIM,NTF2,EG,CAS,11.720036812333989,11.694543216465114,-0.02549359586887512,CAS,CAS,-98.209433558491,-98.199919880228
EMIM,NTF2,EG,CSA,11.559596380322374,11.44163124716216,-0.1179651331602134,CSA,CSA,-98.197752813043,-98.206906042155
EMIM,NTF2,EG,ACS,11.481098948880685,11.472740241459435,-0.008358707421249889,ACS,ACS,-98.194964059888,-98.195083557801
EMIM,NTF2,THF,CAS,11.505551769907235,11.572278395075456,0.06672662516822037,CAS,CAS,-99.443388971501,-99.45157977903
EMIM,NTF2,THF,CSA,11.526276117212676,11.593129174671851,0.06685305745917525,CSA,CSA,-99.437843023463,-99.450553833032
EMIM,NTF2,THF,ACS,11.536800674213872,11.545690068947001,0.008889394733129663,ACS,ACS,-99.443446653499,-99.444372731074
BMIM,NTF2,PC,CAS,11.628201105817848,11.624529894458666,-0.00367121135918147,CAS,CAS,-112.958102372637,-112.957759584459
BMIM,NTF2,PC,CSA,11.676014573467386,11.701701072921617,0.025686499454231182,CSA,CSA,-112.955784101946,-112.957272481013
BMIM,NTF2,PC,ACS,11.65963817520029,11.682125308733214,0.022487133532925085,ACS,ACS,-112.937012720074,-112.943269862543
BMIM,NTF2,EG,CAS,11.585318315096647,11.591202111291913,0.0058837961952669104,CAS,CAS,-104.536732115834,-104.537323124901
BMIM,NTF2,EG,CSA,11.277072995037502,11.279050081734288,0.001977086696786756,CSA,CSA,-104.533888173502,-104.533848843573
BMIM,NTF2,EG,ACS,11.406844627183357,11.42917794239632,0.022333315212963,ACS,ACS,-104.521580767257,-104.525982703511
BMIM,NTF2,THF,CAS,11.42193420849184,11.532543774719066,0.11060956622722706,CAS,CAS,-105.777744419531,-105.781669360982
BMIM,NTF2,THF,CSA,11.44752910723587,11.519636962432228,0.07210785519635898,CSA,CSA,-105.766538630801,-105.769999620182
BMIM,NTF2,THF,ACS,11.578782822690732,11.571650469344009,-0.007132353346722908,ACS,ACS,-105.773820394829,-105.774624363885
HMIM,NTF2,PC,CAS,11.444049966140716,11.457611654778722,0.01356168863800633,CAS,CAS,-119.284817189842,-119.288339298726
HMIM,NTF2,PC,CSA,11.48140490981687,11.49567420070338,0.014269290886510078,CSA,CSA,-119.286270005817,-119.290644928667
HMIM,NTF2,PC,ACS,11.479530896830328,11.493312771488492,0.013781874658164384,CAS,CAS,-119.275623928258,-119.280821287737
HMIM,NTF2,EG,CAS,11.481079601041024,11.4808565676757,-0.00022303336532480955,CAS,CAS,-110.868771836061,-110.869614732443
HMIM,NTF2,EG,CSA,11.274988666062884,11.385729422981928,0.11074075691904461,CSA,CSA,-110.860445084963,-110.84656129016
HMIM,NTF2,EG,ACS,11.319622357295557,11.29232866961304,-0.027293687682517387,ACS,ACS,-110.852874211424,-110.856204585288
HMIM,NTF2,THF,CAS,11.368519278969627,11.47018127096891,0.10166199199928272,CAS,CAS,-112.104921887353,-112.108015257478
HMIM,NTF2,THF,CSA,11.436189662415284,11.507839256206793,0.07164959379150915,CSA,CSA,-112.094199220102,-112.095347020913
HMIM,NTF2,THF,ACS,11.509232956524956,11.51458361616586,0.005350659640903643,ACS,ACS,-112.101521650249,-112.10250134834
EMIM,OTF,PC,CAS,12.086532228946814,12.041560562854475,-0.044971666092338936,CAS,CAS,-80.054817967046,-80.055388227677
EMIM,OTF,PC,CSA,12.066593136886976,12.03786183920583,-0.028731297681146017,CSA,CSA,-80.051501421747,-80.052722450934
EMIM,OTF,PC,ACS,12.043982325235927,12.045446619808253,0.001464294572325997,ACS,ACS,-80.04706435716,-80.047594256155
EMIM,OTF,EG,CAS,11.713946682373564,11.707929552970944,-0.006017129402620114,CAS,CAS,-71.638895999841,-71.638966007449
EMIM,OTF,EG,CSA,11.485176792365712,11.497056512674897,0.01187972030918516,CSA,CSA,-71.639782081153,-71.640045053569
EMIM,OTF,EG,ACS,11.52601273303502,11.513656182978291,-0.012356550056729532,ACS,ACS,-71.631904214464,-71.632136030979
EMIM,OTF,THF,CAS,11.445228564640745,11.47042078929124,0.02519222465049431,CAS,CAS,-72.878461083682,-72.880594813335
EMIM,OTF,THF,CSA,11.439945286678494,11.641674522650467,0.2017292359719729,CAS,CSA,-72.879253708133,-72.88251048272
EMIM,OTF,THF,ACS,11.585921278762019,11.68010263009306,0.09418135133104144,ACS,ACS,-72.8798977754,-72.883793515543
HMIM,OTF,PC,CAS,11.593065910185375,11.548548051728458,-0.044517858456917025,CAS,CAS,-92.716261130945,-92.714233076666
HMIM,OTF,PC,CSA,11.531214802098386,11.533138228758014,0.0019234266596281913,CSA,CSA,-92.710805623214,-92.711458598764
HMIM,OTF,PC,ACS,11.507525584952027,11.529622702856145,0.02209711790411717,ACS,CAS,-92.704086436344,-92.719574419929
HMIM,OTF,EG,CAS,11.475774458457284,11.486399773562171,0.010625315104887179,CAS,CAS,-84.302683080282,-84.304066944265
HMIM,OTF,EG,CSA,11.409276873377541,11.31273528006466,-0.0965415933128817,CSA,CSA,-84.282828508984,-84.295342069985
HMIM,OTF,EG,ACS,11.317821057922135,11.302938967951038,-0.014882089971097301,ACS,ACS,-84.288807158583,-84.288839085296
HMIM,OTF,THF,CAS,11.322116889699563,11.366941570332747,0.04482468063318379,CAS,CAS,-85.537586879969,-85.53875469096
HMIM,OTF,THF,CSA,11.361431844655776,11.523356393292554,0.16192454863677774,CSA,CSA,-85.528914218808,-85.533103942194
HMIM,OTF,THF,ACS,11.539287642913939,11.520608437383993,-0.01867920552994562,ACS,ACS,-85.537240241448,-85.539938815391
BMPYRR,OTF,PC,CAS,11.723531982350442,11.66700124450242,-0.056530737848023094,CAS,CAS,-88.138610094974,-88.14341152376
BMPYRR,OTF,PC,CSA,11.718243902857076,11.746951453351716,0.0287075504946408,CSA,CSA,-88.135658752549,-88.137597581427
BMPYRR,OTF,PC,ACS,11.725599467912259,11.590005117785758,-0.13559435012650134,ACS,ACS,-88.127549479786,-88.133010906807
BMPYRR,OTF,EG,CAS,11.535591221212545,11.57492841295987,0.039337191747325306,CAS,CAS,-79.728973267644,-79.721730862976
BMPYRR,OTF,EG,CSA,11.394606411799085,11.405963311853341,0.011356900054256158,CSA,CSA,-79.725805006918,-79.726281731003
BMPYRR,OTF,EG,ACS,11.367442294071308,11.448212882840517,0.08077058876920873,ACS,ACS,-79.712888662977,-79.71341069523
BMPYRR,OTF,THF,CAS,11.403989536972452,11.433166071491375,0.029176534518922992,CAS,CAS,-80.965553574919,-80.968607020565
BMPYRR,OTF,THF,CSA,11.566696363058183,11.616406126309366,0.04970976325118315,CSA,CSA,-80.958473249142,-80.956196977831
BMPYRR,OTF,THF,ACS,11.582694513124562,11.61390917037746,0.031214657252897737,ACS,ACS,-80.96278204073,-80.96218308547
BMIM,PF6,PC,CAS,11.767479272215743,11.765873584096708,-0.0016056881190351646,CAS,CAS,-85.786506638277,-85.786495171196
BMIM,PF6,PC,CSA,11.719719356737311,11.716948416024,-0.0027709407133116315,CSA,CSA,-85.79228120903,-85.788426054298
BMIM,PF6,PC,ACS,11.72689511991834,11.726742067952669,-0.00015305196567183543,ACS,ACS,-85.783179672459,-85.783321456384
BMIM,PF6,EG,CAS,11.608750699614491,11.595170339367113,-0.013580360247377854,CAS,CAS,-77.368668230333,-77.370115817493
BMIM,PF6,EG,CSA,11.381559235943977,11.390045223590405,0.008485987646428939,CSA,CSA,-77.370229344758,-77.370610874113
BMIM,PF6,EG,ACS,11.462340100847943,11.475479785321482,0.013139684473539859,ACS,ACS,-77.366892723553,-77.366467294882
BMIM,PF6,THF,CAS,11.418771672392474,11.607205296825274,0.18843362443280043,CAS,CAS,-78.610653903318,-78.613401902612
BMIM,PF6,THF,CSA,11.576614698456611,11.651724628506715,0.07510993005010391,CSA,CSA,-78.610428586395,-78.614392712989
BMIM,PF6,THF,ACS,11.639019656540878,11.628944334736858,-0.010075321804020376,ACS,ACS,-78.614158783449,-78.61491922178
HMIM,PF6,PC,CAS,11.540254136168945,11.56679504966712,0.02654091349817378,CAS,CAS,-92.113768331236,-92.11296493983
HMIM,PF6,PC,CSA,11.544503821870764,11.534558428639691,-0.009945393231072686,CSA,CSA,-92.113969655797,-92.113777601731
HMIM,PF6,PC,ACS,11.533490047873077,11.562299817422943,0.02880976954986636,ACS,CAS,-92.109485406375,-92.117889007269
HMIM,PF6,EG,CAS,11.48682880245454,11.456970096006586,-0.02985870644795341,CAS,CAS,-83.695268536931,-83.697725859365
HMIM,PF6,EG,CSA,11.323395840527366,11.327186353406056,0.003790512878689256,CSA,CSA,-83.698144847456,-83.699356519574
HMIM,PF6,EG,ACS,11.417931933965477,11.377299473648108,-0.04063246031736867,ACS,ACS,-83.695333596768,-83.694003654533
HMIM,PF6,THF,CAS,11.350690153662983,11.520850408895049,0.1701602552320658,CAS,CAS,-84.939463167155,-84.940703851494
HMIM,PF6,THF,CSA,11.541802037480545,11.627154566542437,0.0853525290618915,CSA,CSA,-84.935802060364,-84.938789408698
HMIM,PF6,THF,ACS,11.575998396939614,11.556404434537924,-0.019593962401689424,ACS,ACS,-84.941233056057,-84.944358538992
