cation,anion,solvent,eox_exp_v,eox_sd_v,ip_free_from_CAS_ev,ip_free_from_CSA_ev,ip_free_from_ACS_ev,eox_free_from_CAS_v,eox_free_from_CSA_v,eox_free_from_ACS_v,ip_free_min_ev,eox_free_min_v,ip_free_lowest_energy_geometry_ev,eox_free_lowest_energy_geometry_v,lowest_energy_initial_topology,minimum_ip_initial_topology,final_topology_from_CAS,final_topology_from_CSA,final_topology_from_ACS,final_geometry_class,rmsd_CAS_CSA_ang,rmsd_CAS_ACS_ang,rmsd_CSA_ACS_ang,relE_CAS_kcalmol,relE_CSA_kcalmol,relE_ACS_kcalmol,status,note
EMIM,NTF2,PC,2.80,0.15,11.985029579424044,12.001154247388373,11.969430864507206,7.5080295794240435,7.524154247388372,7.492430864507206,11.969430864507206,7.492430864507206,11.985029579424044,7.5080295794240435,CAS,ACS,CAS,CSA,ACS,three_distinct,2.871289834028301,3.7328239861727894,3.9471424252982907,0.0,1.937651625473444,11.367118356662035,complete,
EMIM,NTF2,EG,1.95,0.04,11.694543216465114,11.44163124716216,11.472740241459435,7.217543216465113,6.96463124716216,6.995740241459435,11.44163124716216,6.96463124716216,11.44163124716216,6.96463124716216,CSA,CSA,CAS,CSA,ACS,three_distinct,2.7992080853576655,3.5941676109028466,3.329352367188273,4.383882796533214,0.0,7.418720939097223,complete,
EMIM,NTF2,THF,2.10,0.14,11.572278395075456,11.593129174671851,11.545690068947001,7.095278395075455,7.116129174671851,7.068690068947001,11.545690068947001,7.068690068947001,11.572278395075456,7.095278395075455,CAS,ACS,CAS,CSA,ACS,three_distinct,3.1367473612030428,3.3723387973731653,3.097603553313714,0.0,0.6437908336189103,4.522490872417811,complete,
BMIM,NTF2,PC,2.80,0.14,11.624529894458666,11.701701072921617,11.682125308733214,7.147529894458666,7.224701072921617,7.205125308733214,11.624529894458666,7.147529894458666,11.624529894458666,7.147529894458666,CAS,CAS,CAS,CSA,ACS,three_distinct,2.847514781558541,3.774645596965057,3.0323539558107333,0.0,0.30566202720814273,9.092437778825316,complete,
BMIM,NTF2,EG,2.50,0.18,11.591202111291913,11.279050081734288,11.42917794239632,7.114202111291913,6.802050081734288,6.95217794239632,11.279050081734288,6.802050081734288,11.591202111291913,7.114202111291913,CAS,CSA,CAS,CSA,ACS,three_distinct,2.8099365318202185,4.050299955520504,3.0351122369595513,0.0,2.18014444887815,7.116221862085528,complete,
BMIM,NTF2,THF,2.20,0.12,11.532543774719066,11.519636962432228,11.571650469344009,7.055543774719066,7.042636962432228,7.094650469344009,11.519636962432228,7.042636962432228,11.532543774719066,7.055543774719066,CAS,CSA,CAS,CSA,ACS,three_distinct,3.2326835615977734,3.541974921593858,3.1281200288768294,0.0,7.322872911853138,4.420802423112944,complete,
HMIM,NTF2,PC,2.84,0.13,11.457611654778722,11.49567420070338,11.493312771488492,6.980611654778722,7.01867420070338,7.016312771488492,11.457611654778722,6.980611654778722,11.49567420070338,7.01867420070338,CSA,CAS,CAS,CSA,CAS,three_distinct,2.8339305759133286,3.337183527148005,3.7355845817601763,1.4468046316646888,0.0,6.1644277533744,complete,
HMIM,NTF2,EG,2.58,0.19,11.4808565676757,11.385729422981928,11.29232866961304,7.003856567675699,6.908729422981928,6.81532866961304,11.29232866961304,6.81532866961304,11.4808565676757,7.003856567675699,CAS,ACS,CAS,CSA,ACS,three_distinct,3.2129006221727483,4.054228196477818,3.405201899291886,0.0,14.466253442349636,8.414994388342615,complete,
HMIM,NTF2,THF,2.06,0.11,11.47018127096891,11.507839256206793,11.51458361616586,6.993181270968909,7.030839256206793,7.037583616165859,11.47018127096891,6.993181270968909,11.47018127096891,6.993181270968909,CAS,CAS,CAS,CSA,ACS,three_distinct,3.2700784371062794,3.4350436452697948,3.3949480038639765,0.0,7.949438464213525,3.4600302232198326,complete,
EMIM,OTF,PC,1.60,0.02,12.041560562854475,12.03786183920583,12.045446619808253,7.564560562854474,7.560861839205829,7.5684466198082525,12.03786183920583,7.560861839205829,12.041560562854475,7.564560562854474,CAS,CSA,CAS,CSA,ACS,three_distinct,2.584548160867524,3.4284395049477245,3.7805516251662707,0.0,1.672800161970168,4.890790970636419,complete,
EMIM,OTF,EG,1.98,0.05,11.707929552970944,11.497056512674897,11.513656182978291,7.230929552970943,7.020056512674897,7.036656182978291,11.497056512674897,7.020056512674897,11.497056512674897,7.020056512674897,CSA,CSA,CAS,CSA,ACS,three_distinct,2.869929002328593,3.4503194433787328,3.388453653341809,0.6771116632494153,0.0,4.962986605803404,complete,
EMIM,OTF,THF,1.54,0.09,11.47042078929124,11.641674522650467,11.68010263009306,6.993420789291239,7.164674522650467,7.20310263009306,11.47042078929124,6.993420789291239,11.68010263009306,7.20310263009306,ACS,CAS,CAS,CSA,ACS,three_distinct,2.491916000352855,3.7647863443093184,2.718529007848352,2.0072159402329683,0.8051152519732637,0.0,complete,
HMIM,OTF,PC,2.55,0.18,11.548548051728458,11.533138228758014,11.529622702856145,7.071548051728458,7.056138228758014,7.052622702856144,11.529622702856145,7.052622702856144,11.529622702856145,7.052622702856144,ACS,ACS,CAS,CSA,CAS,three_distinct,2.3505874532925444,2.666797260047045,3.672656195990413,3.351743501754399,5.092754670843285,0.0,complete,
HMIM,OTF,EG,2.41,0.16,11.486399773562171,11.31273528006466,11.302938967951038,7.009399773562171,6.835735280064659,6.825938967951037,11.302938967951038,6.825938967951037,11.486399773562171,7.009399773562171,CAS,ACS,CAS,CSA,ACS,three_distinct,2.8982910897426963,3.6132340106518233,3.6393928616896787,0.0,5.474941270713032,9.555625772743294,complete,
HMIM,OTF,THF,2.30,0.17,11.366941570332747,11.523356393292554,11.520608437383993,6.889941570332747,7.0463563932925535,7.043608437383993,11.366941570332747,6.889941570332747,11.520608437383993,7.043608437383993,ACS,CAS,CAS,CSA,ACS,three_distinct,2.7036386093999853,3.201009853008778,3.5062022440200833,0.7430492989170754,4.288947685133298,0.0,complete,
BMPYRR,OTF,PC,2.55,0.15,11.66700124450242,11.746951453351716,11.590005117785758,7.190001244502419,7.269951453351716,7.113005117785757,11.590005117785758,7.113005117785757,11.66700124450242,7.190001244502419,CAS,ACS,CAS,CSA,ACS,three_distinct,2.393294504709645,4.21566111776608,3.623206535764744,0.0,3.6483038956089575,6.526485674104046,complete,
BMPYRR,OTF,EG,2.35,0.17,11.57492841295987,11.405963311853341,11.448212882840517,7.09792841295987,6.928963311853341,6.971212882840517,11.405963311853341,6.928963311853341,11.405963311853341,6.928963311853341,CSA,CSA,CAS,CSA,ACS,three_distinct,2.5072084648858666,4.004658673785427,3.7376832190160907,2.855712802150909,0.0,8.07669688856437,complete,
BMPYRR,OTF,THF,2.27,0.14,11.433166071491375,11.616406126309366,11.61390917037746,6.956166071491374,7.139406126309366,7.136909170377459,11.433166071491375,6.956166071491374,11.433166071491375,6.956166071491374,CAS,CAS,CAS,CSA,ACS,three_distinct,2.6844609628135307,3.5286649312724023,3.707148758856167,0.0,7.7874193891153975,4.031080132879184,complete,
BMIM,PF6,PC,2.40,0.19,11.765873584096708,11.716948416024,11.726742067952669,7.288873584096708,7.239948416023999,7.249742067952669,11.716948416024,7.239948416023999,11.716948416024,7.239948416023999,CSA,CSA,CAS,CSA,ACS,three_distinct,2.989762587766803,3.3056733727034473,3.441030615872317,1.2116474398168045,0.0,3.2031835523168164,complete,
BMIM,PF6,EG,2.40,0.20,11.595170339367113,11.390045223590405,11.475479785321482,7.118170339367113,6.913045223590405,6.998479785321482,11.390045223590405,6.913045223590405,11.390045223590405,6.913045223590405,CSA,CSA,CAS,CSA,ACS,three_distinct,2.7786649058096673,3.4682260324422236,3.1707803186565315,0.3106527192455245,0.0,2.6001352239825177,complete,
BMIM,PF6,THF,2.20,0.15,11.607205296825274,11.651724628506715,11.628944334736858,7.130205296825274,7.1747246285067146,7.151944334736857,11.607205296825274,7.130205296825274,11.628944334736858,7.151944334736857,ACS,CAS,CAS,CSA,ACS,three_distinct,2.620799045492653,3.362610174570715,3.2231217098242806,0.9521321530988069,0.3303892545284912,0.0,complete,
HMIM,PF6,PC,2.35,0.16,11.56679504966712,11.534558428639691,11.562299817422943,7.089795049667119,7.057558428639691,7.085299817422943,11.534558428639691,7.057558428639691,11.562299817422943,7.085299817422943,ACS,CSA,CAS,CSA,CAS,three_distinct,2.618774446572767,2.5028161101228426,3.4176045000720734,3.089898968902084,2.579945926809132,0.0,complete,
