task_id,cation,anion,solvent,initial_topology,final_inferred_topology,topology_changed,epsilon,energy_neutral_opt_eh,energy_neutral_sp_eh,energy_oxidized_sp_eh,ip_vertical_ev,q_C_neutral,q_A_neutral,q_S_neutral,q_C_oxidized,q_A_oxidized,q_S_oxidized,dq_C,dq_A,dq_S,oxidized_fragment,dmin_CA_ang,dmin_CS_ang,dmin_AS_ang,anchor_CA_ang,anchor_CS_ang,anchor_AS_ang,source_initial_xyz_sha256,optimized_geometry_sha256,same_geometry_pass,status,note
triad__EMIM__NTF2__PC__CAS,EMIM,NTF2,PC,CAS,CAS,False,65.0,-106.627058208535,-106.62705781181,-106.186616098511,11.985029579424044,0.99226739,-0.9860171799999998,-0.0062502299999998845,1.77127696,-0.8437735799999999,0.07249658000000009,0.77900957,0.14224359999999991,0.07874680999999997,C,2.9225007786015147,5.807681517063623,2.6661280992948986,3.0118120345294774,7.786986357572512,4.777046761627828,fdf6470f4df44a293dfd8ce131a08316a06f6d9b8be9d59cec01d441ff4f4732,5a3bd86b775656abb83ba1bae232dbee9c1b0681952cca167dfbf99d46b47cde,True,complete,
triad__EMIM__NTF2__PC__CSA,EMIM,NTF2,PC,CSA,CSA,False,65.0,-106.623970207054,-106.623969967394,-106.182935683477,12.001154247388373,0.99554416,-0.9833963,-0.012147859999999927,1.6193094700000001,-0.9403394500000001,0.32103000000000004,0.6237653100000001,0.043056849999999924,0.33317785999999994,C,3.2358099772276327,3.0414297193542597,2.5549564139185503,5.578092226734916,3.175854130546511,3.0419144837814893,4cc9959c785aef7e307cdb295b4129679e51c3b81107a5443ff34778f10448d5,72ea4a8a57e800c03090146f567481c6b401726aaf070654313b94553ff92b2c,True,complete,
triad__EMIM__NTF2__PC__ACS,EMIM,NTF2,PC,ACS,ACS,False,65.0,-106.608943327828,-106.608943155655,-106.169074684556,11.969430864507206,0.9874825500000001,-0.9893705899999998,0.001888049999999905,1.6103632200000002,-0.8277480300000001,0.21738479,0.6228806700000001,0.16162255999999975,0.21549674000000008,C,2.7859349956156265,2.963343465221341,5.612571350438389,4.5274682899493905,3.0693125990889407,7.4242101659591855,15eb28529b8b176b03cdf334b65c6c7f34f18ade0f45630b8cae01ed173e8cbf,6c27b6f84205ce6780bae1cb6337ccb20ba2a893a3dd6aad20f6f074bfac3cd5,True,complete,
triad__EMIM__NTF2__EG__CAS,EMIM,NTF2,EG,CAS,CAS,False,37.0,-98.199919674949,-98.199919880228,-97.770153343869,11.694543216465114,0.99404464,-0.9754787900000003,-0.018565830000000116,1.3112677199999998,-0.90697499,0.59570728,0.31722307999999977,0.06850380000000023,0.6142731100000001,S,2.7543095633453776,7.922980824153399,2.819464390719965,3.4222495564098057,8.498642875308121,5.179616222679721,cdffa409e752b64a965a5a1d8b7423df335fd468c104a87131926872238e5077,2ebf2b72d2ca3b89ea5d2c8bf4c1d3dbd3648b003d08dbaccbdc7b6cc6d625f2,True,complete,
triad__EMIM__NTF2__EG__CSA,EMIM,NTF2,EG,CSA,CSA,False,37.0,-98.206905852007,-98.206906042155,-97.786433849238,11.44163124716216,0.9987438900000001,-0.9792503000000004,-0.019493599999999944,1.2599562399999997,-0.97665565,0.71669943,0.26121234999999965,0.0025946500000003647,0.7361930299999999,S,3.476470132549363,2.7886360602783187,2.8269349416947818,4.911210218721488,2.8074318169898453,2.8269349416947818,1507d5b4c2a6ba7cf91974bc83f3663d28cfe85e74c0b0f290b0fd5d80610fa5,7d9660ab08e83e1f252820303d3b4dffa21211dd0a73d0c4dda4d595a397ce9b,True,complete,
triad__EMIM__NTF2__EG__ACS,EMIM,NTF2,EG,ACS,ACS,False,37.0,-98.195082959933,-98.195083557801,-97.77346813043,11.472740241459435,0.9959567899999999,-0.9920489100000001,-0.003907900000000075,1.2688428600000001,-0.9694078799999999,0.70056501,0.2728860700000002,0.022641030000000173,0.7044729100000001,S,2.8581310636106565,3.582483822188622,6.407305074361149,4.4796474599850695,3.751646661461372,8.160655529631825,523265ddb1cb6435c880c94bd586446fc4a3a7b94ade8361189c459ae49d49b2,aebc543cc92dff81c38bc2cb41683cc41fb1b2870f818fcbb8baec36e57a697d,True,complete,
triad__EMIM__NTF2__THF__CAS,EMIM,NTF2,THF,CAS,CAS,False,7.6,-99.4515796961,-99.45157977903,-99.026306391983,11.572278395075456,0.9904642499999999,-0.98407891,-0.006385330000000022,1.11689074,-0.90601326,0.78912256,0.12642649000000017,0.07806564999999999,0.7955078900000001,S,2.8298433300119323,6.344049217351323,3.3236193145066677,2.8298433300119323,8.28427866584585,5.747025277620771,c3a4ee17ca4fe04bae131c10d31740824c10104cb8dee145c270acbedebab11e,8f43c264c1aff0e73a3d9bbe22b661880a1429eeae166871698d8c4fee585fd8,True,complete,
triad__EMIM__NTF2__THF__CSA,EMIM,NTF2,THF,CSA,CSA,False,7.6,-99.450553598576,-99.450553833032,-99.024514193968,11.593129174671851,0.9935143099999999,-0.9877081500000001,-0.0058061399999999545,1.1293727599999999,-0.9013330300000001,0.77196029,0.13585844999999996,0.08637512000000003,0.7777664299999999,S,3.124844082098065,2.8600520035617762,3.3635041214169625,5.259801906223042,3.2727174286048615,3.7007585846563567,8a23736b5fdbe89f7cb3a6766433cd881bb693eb87bc4e5298c7bac7d2cf5734,ab65af9bf8bfee5fc011e77c77d4e21ce391891afd87f247584ddce478fd69e6,True,complete,
triad__EMIM__NTF2__THF__ACS,EMIM,NTF2,THF,ACS,ACS,False,7.6,-99.44437256968,-99.444372731074,-99.02007644699,11.545690068947001,0.9849993000000001,-0.9860654799999999,0.0010661600000000729,1.1545876000000002,-0.90460267,0.75001507,0.16958830000000003,0.08146280999999989,0.74894891,S,2.790613149514028,2.9393002013680434,4.93602845250462,4.3174391417628515,2.9393002013680434,7.087123503282244,66a40028e8e579227fba84d88a2ff48ac0bd7670b674191da51dc36eb8974fa2,2e0db629c37f5afc1756df2a798272460c2624db6d329748ea041b5316f416a3,True,complete,
triad__BMIM__NTF2__PC__CAS,BMIM,NTF2,PC,CAS,CAS,False,65.0,-112.95775963007,-112.957759584459,-112.530565990227,11.624529894458666,0.9955604599999999,-0.9837563599999997,-0.011804090000000045,1.93357113,-0.92146026,-0.012110900000000022,0.9380106700000002,0.06229609999999963,-0.0003068099999999768,C,2.7603353274981615,6.736509015397341,2.5700039390318636,3.7709336420272037,8.59431625915846,5.216018880742454,979fd742cbabea81e4a2d14fa8a54fd731cdcb174adc76f39380fb5412bbfe01,a11876825cb5bcc2334063acf4c2f034952f9fb239c7be3a3d771d826a3c94de,True,complete,
triad__BMIM__NTF2__PC__CSA,BMIM,NTF2,PC,CSA,CSA,False,65.0,-112.957272872551,-112.957272481013,-112.527242898281,11.701701072921617,0.9926317,-0.9849607,-0.007670980000000022,1.9289049600000001,-0.9838856600000001,0.05498067000000012,0.9362732600000001,0.001075039999999916,0.06265165000000014,C,3.4738005742504896,2.778632477930113,2.392259481309362,5.304000465103357,2.778632477930113,2.8304562005059526,52a54554317b8156c6496b44c8d7133456295cb8673bcc60556adfdde9ee8da8,8e4f18e667ceb92c453d764605107bfbfaf828700ce2309499dd9caf33ffd979,True,complete,
triad__BMIM__NTF2__PC__ACS,BMIM,NTF2,PC,ACS,ACS,False,65.0,-112.943270131492,-112.943269862543,-112.513959675876,11.682125308733214,0.98813225,-0.98834584,0.0002135699999999685,1.86419959,-0.9538254900000004,0.08962592000000015,0.8760673399999999,0.034520349999999644,0.08941235000000018,C,2.791758941095906,3.1413686867215302,5.124913085368181,4.543543756553722,3.4932725777034337,7.085137046439971,2ce02328d585d0ed1ff64c178e49b5504572f2bfee8ef44d9a10ab18629818ba,756a763d4489d35cfdce315ad955afe883bc750cb3d609419dc7cf012644f849,True,complete,
triad__BMIM__NTF2__EG__CAS,BMIM,NTF2,EG,CAS,CAS,False,37.0,-104.537323127869,-104.537323124901,-104.11135430411,11.591202111291913,0.99532606,-0.97797621,-0.01734987999999993,1.60704904,-0.9283432800000001,0.32129423,0.6117229799999999,0.04963292999999991,0.33864410999999994,C,2.739599657082986,6.453136859032759,2.82033595532212,3.6232445597316048,8.034762702464668,4.820641839352687,7e59d5aba19248678d89334070d2a422d2ec8089d9d7a7174ad9c8cc1a7ec917,73a58c7e27d7d1e658674de92d6a963abbff8cdc5e21ae5608292843db0248e0,True,complete,
triad__BMIM__NTF2__EG__CSA,BMIM,NTF2,EG,CSA,CSA,False,37.0,-104.533848829757,-104.533848843573,-104.119351398284,11.279050081734288,1.0016204899999999,-0.97838535,-0.0232351400000001,1.4416602799999998,-0.9770225799999999,0.53536228,0.44003978999999993,0.0013627700000001797,0.5585974200000001,S,4.143859107946783,2.7781734631236,2.829252786936935,5.892752969616647,3.1273703728304367,2.829252786936935,eba950fd324176b825e22a244c23369936fc469f5fb6031065c2d85ce9874b0c,1c8d7a62e3cff38342edb70be3f7abefc24ba12e8610f31819a7265b5257831d,True,complete,
triad__BMIM__NTF2__EG__ACS,BMIM,NTF2,EG,ACS,ACS,False,37.0,-104.525982394568,-104.525982703511,-104.105968161103,11.42917794239632,0.9918702300000001,-0.98730173,-0.004568510000000081,1.47835252,-0.98615267,0.50780011,0.48648229,0.001149060000000035,0.5123686200000002,S,2.978867259350459,3.248379637186958,5.856695605540765,4.583958263650183,3.7719641992037736,7.942308426466346,79c042f1b5abbd404df75b8779ae814ddb01153ee0a46c69d45d6914c4eb5fa1,6bb8a8dc633a34fcd75b2118ea404747988a48a9fcbc31e970e6a24c0168ff7d,True,complete,
triad__BMIM__NTF2__THF__CAS,BMIM,NTF2,THF,CAS,CAS,False,7.6,-105.781669338745,-105.781669360982,-105.3578561943,11.532543774719066,0.99015121,-0.9853695500000001,-0.0047817000000000345,1.3705106999999999,-0.90853145,0.53802073,0.3803594899999999,0.07683810000000013,0.54280243,S,2.782653202220827,6.99165292828477,3.3140938533681834,3.7650553397767794,9.289354694669848,5.719345919132191,ec7628c34812627ffd4af8480adcc73af10ef4af740146c72ad875419ee59b78,bfd02562e308eb5241bcd870d2d980f61fd23189775c8a6a1765c64b79d4a5c9,True,complete,
triad__BMIM__NTF2__THF__CSA,BMIM,NTF2,THF,CSA,CSA,False,7.6,-105.76999959725,-105.769999620182,-105.346660770103,11.519636962432228,0.99884856,-0.9908896200000001,-0.007958909999999975,1.30343817,-0.93388974,0.63045158,0.30458960999999996,0.056999880000000114,0.6384104899999999,S,3.6191344551069227,2.9634094945533347,3.2205538590640086,6.601395122482169,2.999259766783423,3.712070877237207,d7f35c7ba31c888ab9e3db9356c1b094a20df0661edd69315295827a88d2f6cf,443e24ac892a33ca2a0ea174fe7a94078eea0e8c39523194de0862b787802c67,True,complete,
triad__BMIM__NTF2__THF__ACS,BMIM,NTF2,THF,ACS,ACS,False,7.6,-105.774624215365,-105.774624363885,-105.349374052683,11.571650469344009,0.9904395300000002,-0.9903798800000001,-5.962999999994251e-05,1.40711716,-0.94228444,0.5351673,0.4166776299999999,0.0480954400000001,0.53522693,S,2.8651620120595194,3.07417915126117,5.68640891760492,4.644095043127059,3.114725801492534,7.741568549092547,b8451c839ea5969bf159b000f32219a20a269a439d1680e87c5b8d3199c742ff,a044b9cebbddf4baa0e8e0ac1300961b6b3676d551e0b1a4cafdbd951719e964,True,complete,
triad__HMIM__NTF2__PC__CAS,HMIM,NTF2,PC,CAS,CAS,False,65.0,-119.288339357016,-119.288339298726,-118.867279836661,11.457611654778722,0.9872556700000001,-0.9783035899999999,-0.008952070000000131,1.9815616699999996,-0.9718673199999999,-0.00969439000000008,0.9943059999999995,0.006436270000000022,-0.0007423199999999491,C,2.926521396032656,7.290530837574561,2.539880482131649,3.056473008667631,7.655436077157558,4.987591805125463,9fa383d9e90dbae0e5f7085c473d90e8d8976e84158b4f6e100bf5728c44bef5,06631d0b8e0d38e672f167ee8f0cad7b576d27a3c38c6f4dbe24eb4838d8ad58,True,complete,
triad__HMIM__NTF2__PC__CSA,HMIM,NTF2,PC,CSA,CSA,False,65.0,-119.290645029389,-119.290644928667,-118.868186693839,11.49567420070338,0.9898899500000001,-0.98163725,-0.008252730000000152,1.9791735999999998,-0.9827737300000001,0.003600149999999802,0.9892836499999996,-0.0011364800000001063,0.011852879999999955,C,3.052588412950633,2.93598469986928,2.479675782988659,4.0594140915942845,4.016754982452042,2.8715778228950315,d0ac1171e2df9cdae1a939b143fa754b707a968654c1c205438a721d1fbc5f28,7eb1f1804ed059b3213e0fa8c087bcac6ad214b203a810f964912a221e0e3a86,True,complete,
triad__HMIM__NTF2__PC__ACS,HMIM,NTF2,PC,ACS,CAS,True,65.0,-119.280821098636,-119.280821287737,-118.858449833832,11.493312771488492,0.9880755000000001,-0.9830901000000001,-0.00498535999999998,1.98455213,-0.9802093899999997,-0.004342760000000084,0.9964766299999999,0.0028807100000003416,0.000642599999999896,C,2.9992515453047415,3.217020189939016,2.5559924071666726,3.636730583425078,4.219400298230643,5.2096436850289285,e923cc4bcc96e0bea4d41da04981d345ee37a8b3463c550731b48f5f185002ba,e579474bcdedcfe8c01bf2a19f45cfea6a4d6d258710117dac61d5f8fb57af8b,True,complete,
triad__HMIM__NTF2__EG__CAS,HMIM,NTF2,EG,CAS,CAS,False,37.0,-110.869614819711,-110.869614732443,-110.447701035585,11.4808565676757,0.9870547900000001,-0.9675722499999999,-0.019482560000000093,1.7390286499999998,-0.9562919099999999,0.2172633,0.7519738599999998,0.01128034,0.23674586000000009,C,2.8481875881675065,7.219710620194783,2.7995194263235135,3.046999435490255,7.219710620194783,4.6090623834324695,f85bc4b392656449c58ed42218232b275b79aaca0ba4a15fb1848a5f58af32db,718f12639560c77c23e9586314fe7390d149a31136b47d29c29d88660de45a59,True,complete,
triad__HMIM__NTF2__EG__CSA,HMIM,NTF2,EG,CSA,CSA,False,37.0,-110.846561500215,-110.84656129016,-110.42814345139,11.385729422981928,1.0027897000000001,-0.9949034800000002,-0.007886259999999978,1.5382736300000002,-0.99346242,0.45518877,0.53548393,0.001441060000000216,0.46307503,C,6.475255681011083,3.5494273412638058,3.1598430412361167,7.051274421656377,3.618673487675998,4.3732938043180605,7600c51c10da0b318ea322a4f38fa30205dce2aee97208e6713b9c9c8da4366b,378023e137368f93222112cc32d2eb8d801450f8d51eaa0e880659554fc1dfcb,True,complete,
triad__HMIM__NTF2__EG__ACS,HMIM,NTF2,EG,ACS,ACS,False,37.0,-110.856204229098,-110.856204585288,-110.441219160895,11.29232866961304,0.99505348,-0.99210475,-0.002948679999999926,1.5540459599999998,-0.98688159,0.43283562999999997,0.5589924799999998,0.0052231600000000045,0.4357843099999999,C,2.86835107047934,3.5533016906013732,6.406004771658515,3.9988452726347656,3.5533016906013732,7.168009693049153,badd556aefc6ca273efa8195b09086b582f62527be3c8eff047608b0e5957747,227ddcc156029f0aefa9a0692065845386297b2079bc23555678784b3f78717d,True,complete,
triad__HMIM__NTF2__THF__CAS,HMIM,NTF2,THF,CAS,CAS,False,7.6,-112.108015190189,-112.108015257478,-111.686493870538,11.47018127096891,0.9901836599999999,-0.9843658599999998,-0.005817809999999972,1.4651625400000001,-0.9619370800000002,0.49677455,0.4749788800000002,0.022428779999999593,0.50259236,S,2.8843384554531233,7.8779166861702725,3.3330499792429875,2.916480607980584,8.517551105665547,5.694069416932324,84e10c173b296f2c246e7a2137f3f372497061c03c0257b6979afb37d229e531,dfe4f4160b753c9bc1f8e851dd068858da383b6ae2f4303ba23c10dabaf172af,True,complete,
triad__HMIM__NTF2__THF__CSA,HMIM,NTF2,THF,CSA,CSA,False,7.6,-112.09534698379,-112.095347020913,-111.672441728541,11.507839256206793,0.9858678700000001,-0.9930351299999998,0.007167269999999931,1.38643934,-0.9452912899999999,0.55885191,0.4005714699999998,0.04774383999999987,0.5516846400000001,S,6.04943312176595,3.0597214851597125,3.2472784470750957,6.700810092268268,3.0597214851597125,3.7728807525992614,08e46986e0c9094acd897e8cdedc0e3c798362e92328985a95dbae25180cd90a,9539567fd5ab9e3e4fcb6b2db1d39264a474e1b84abfdb09bb435b24dd8af2b4,True,complete,
triad__HMIM__NTF2__THF__ACS,HMIM,NTF2,THF,ACS,ACS,False,7.6,-112.102501219186,-112.10250134834,-111.679348205311,11.51458361616586,0.9951152299999999,-0.9946132,-0.000502020000000044,1.5584265900000003,-0.9648809700000001,0.40645440000000005,0.5633113600000004,0.029732229999999915,0.4069564200000001,C,2.9157294405866274,2.957972651756134,5.800702470392138,5.164284659315096,2.957972651756134,8.060896797840401,31377f6556819c36ac1f95440f95aa99acc2fe3c147081eda8a61b77568f099e,cc7fdaa0853bd0d5f28af623ffee8fbd919c1764b651af0d4dec4f87612303d8,True,complete,
