record_id,submission_id,scheduler_job_id,array_task,slots,wallclock_s,core_h,exit_status,failed,logical_jobs,completed_logical_jobs,runner_status,qacct_path,qacct_sha256,collected_at_utc
423399.1,20260807-echo-custom-s007-s012-v1,423399,1,8,0,0.00000000,2,0,1,0,failed,runs/hpc/submissions/20260807-echo-custom-s007-s012-v1/qacct.txt,3a46983f88e0a56d8612a8250f5547ec592f3e0567e65aa3edad7be986629de0,2026-08-07T20:16:49.733916+00:00
423399.2,20260807-echo-custom-s007-s012-v1,423399,2,8,0,0.00000000,2,0,1,0,failed,runs/hpc/submissions/20260807-echo-custom-s007-s012-v1/qacct.txt,3a46983f88e0a56d8612a8250f5547ec592f3e0567e65aa3edad7be986629de0,2026-08-07T20:16:49.733916+00:00
423412.1,20260807-echo-custom-self-seed-s007-s012-v1,423412,1,8,155,0.34444444,0,0,1,1,complete,runs/hpc/submissions/20260807-echo-custom-self-seed-s007-s012-v1/qacct.txt,9aa199e47d9013a7a549034dc44800357bf4af61febf894bea1814017e1694a3,2026-08-07T21:19:04.092838+00:00
423412.2,20260807-echo-custom-self-seed-s007-s012-v1,423412,2,8,9,0.02000000,0,0,1,1,complete,runs/hpc/submissions/20260807-echo-custom-self-seed-s007-s012-v1/qacct.txt,9aa199e47d9013a7a549034dc44800357bf4af61febf894bea1814017e1694a3,2026-08-07T21:19:04.092838+00:00
423364.1,20260807-echo-sp-v1,423364,1,8,105,0.23333333,137,100,1,0,failed,runs/hpc/submissions/20260807-echo-sp-v1/qacct.txt,1019fc12f719fbec1390a20143d9df1a429c93aeaf057b79d03c0d4b54747f99,2026-08-07T18:50:51.862363+00:00
423364.10,20260807-echo-sp-v1,423364,10,8,2,0.00444444,2,0,1,0,failed,runs/hpc/submissions/20260807-echo-sp-v1/qacct.txt,1019fc12f719fbec1390a20143d9df1a429c93aeaf057b79d03c0d4b54747f99,2026-08-07T18:50:51.862363+00:00
423364.11,20260807-echo-sp-v1,423364,11,8,0,0.00000000,137,100,1,0,failed,runs/hpc/submissions/20260807-echo-sp-v1/qacct.txt,1019fc12f719fbec1390a20143d9df1a429c93aeaf057b79d03c0d4b54747f99,2026-08-07T18:50:51.862363+00:00
423364.2,20260807-echo-sp-v1,423364,2,8,105,0.23333333,137,100,1,0,failed,runs/hpc/submissions/20260807-echo-sp-v1/qacct.txt,1019fc12f719fbec1390a20143d9df1a429c93aeaf057b79d03c0d4b54747f99,2026-08-07T18:50:51.862363+00:00
423364.3,20260807-echo-sp-v1,423364,3,8,105,0.23333333,137,100,1,0,failed,runs/hpc/submissions/20260807-echo-sp-v1/qacct.txt,1019fc12f719fbec1390a20143d9df1a429c93aeaf057b79d03c0d4b54747f99,2026-08-07T18:50:51.862363+00:00
423364.4,20260807-echo-sp-v1,423364,4,8,105,0.23333333,137,100,1,0,failed,runs/hpc/submissions/20260807-echo-sp-v1/qacct.txt,1019fc12f719fbec1390a20143d9df1a429c93aeaf057b79d03c0d4b54747f99,2026-08-07T18:50:51.862363+00:00
