job_id,job_class,state_id,solvent_id,input_path,input_sha256,geometry_key,geometry_sha256,smd_registry_row_sha256,smd_payload_sha256,exact_reuse_key,workflow_revision,method_id,thermochemistry_convention_id,nprocs,maxcore_mb_per_rank,planning_core_h,status,reason
OF001,optfreq,A005_Q0_M2,S001,runs/orca/optfreq/OF001/OF001.inp,94692f963b497323d9fc252588329b9abbd5aedc5a16de8592a6e2ef0a60a6e5,tier1:redox:A005:S001:q0:m2,8875ab7debcbe00c2bfc560b7422f752f1fcb22940fc6c49689c56340a85b102,33991649687f2d2b981d6e03785961ad9457eb27eac9b175c78aef6ac9c44c11,2ac42ed3e22fe59dd5791310aba80df0f44a97fce93a0f99bfc908a252e00b57,93afd90836e4f8163e97184babfce9ba9b52f4e57a7c53d2320e9da3d413dc7c,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF002,optfreq,A005_QM1_M1,S001,runs/orca/optfreq/OF002/OF002.inp,5ddee125866d456c85ccf608e42106708cf43decdfbfddab5458d609008cd521,tier1:redox:A005:S001:q-1:m1,076427c4340388a02876de2020a81504e202b7125bce533084e7c125aa8290cd,33991649687f2d2b981d6e03785961ad9457eb27eac9b175c78aef6ac9c44c11,2ac42ed3e22fe59dd5791310aba80df0f44a97fce93a0f99bfc908a252e00b57,5dbc8aeb099fb1608e1dd8168e17c918867d8330ca2135b35fb3d72583afc20b,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF003,optfreq,D001_QP2_M1,S001,runs/orca/optfreq/OF003/OF003.inp,01d0e830a091625667b183793f1b806e290b75df9a61d833848dbe1339b7e13e,surrogate:sigma_preopt:D001:S001:q2:m1,5adffce99ca2e72873c4163f35d7adf46d50ddad9fa112bbd17e3ff93bd39b53,33991649687f2d2b981d6e03785961ad9457eb27eac9b175c78aef6ac9c44c11,2ac42ed3e22fe59dd5791310aba80df0f44a97fce93a0f99bfc908a252e00b57,549081d998338e09ccd51e83cf6414ce2dc669e1eeba62c04753d5f62466a84a,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,40.0,ready,
OF004,optfreq,M001_Q0_M1,S001,runs/orca/optfreq/OF004/OF004.inp,29df855d66be6fe338f7f44871349a8f9ecea0c6f2ee91e0c7951b34b88b2eab,tier1:redox:M001:S001:q0:m1,5cc4d3a2e10c866ebd5bcdfd1b265bafad69fc9027d004a56bb41fbdfcb0083e,33991649687f2d2b981d6e03785961ad9457eb27eac9b175c78aef6ac9c44c11,2ac42ed3e22fe59dd5791310aba80df0f44a97fce93a0f99bfc908a252e00b57,455b9e30be265b3661ecfd637005fc3e58c4407aab4f86d31a8613130ebd9c5c,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF005,optfreq,M001_QP1_M2,S001,runs/orca/optfreq/OF005/OF005.inp,341d6e2c08bbcb2d700d7ae01948ac89b385e7e679c40a044b4400d3b75e6458,tier1:redox:M001:S001:q1:m2,faf885b9d5371630d7a9cafee2794b0a6eb73497e667a86ceafd8a7f3cd0bba8,33991649687f2d2b981d6e03785961ad9457eb27eac9b175c78aef6ac9c44c11,2ac42ed3e22fe59dd5791310aba80df0f44a97fce93a0f99bfc908a252e00b57,6a7e46a7d83f1bed400915f1d4de6ed8f1b7184706863152fd668f15bcbef295,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF006,optfreq,S001_Q0_M1,S001,runs/orca/optfreq/OF006/OF006.inp,03b4d7891ffe959ca5d59edda899fd53ae6fa14f9a4cf7312ef479991e3d5abb,tier1:redox:S001:S001:q0:m1,2f126b3daee7595eac16f8c867eecec004eb2d795f3c805944c21e598e8b044a,33991649687f2d2b981d6e03785961ad9457eb27eac9b175c78aef6ac9c44c11,2ac42ed3e22fe59dd5791310aba80df0f44a97fce93a0f99bfc908a252e00b57,dd61cb7359a6fd70608d52c45a681c6c44404173db95d8f6aa9591e2143fe209,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF007,optfreq,S001_QP1_M2,S001,runs/orca/optfreq/OF007/OF007.inp,f3ac9a98b50cdf65067edcba545367dc690b9f98cf530c3284322d50712e5cfc,tier1:redox:S001:S001:q1:m2,70f9e8b996986d875f2a7db461a7a274881daf1b7dbc36c0569688b0d9adf796,33991649687f2d2b981d6e03785961ad9457eb27eac9b175c78aef6ac9c44c11,2ac42ed3e22fe59dd5791310aba80df0f44a97fce93a0f99bfc908a252e00b57,7b5a83e8e4e2e9fa9bfa2baa157ed0249637aae59bb19804da9baf77e164ed31,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF008,optfreq,A004_Q0_M2,S002,runs/orca/optfreq/OF008/OF008.inp,3ab4c074a95f82e8a8a29d9ae28009cb9b0f68352f0b760867f6641aa2e41d49,tier1:redox:A004:S002:q0:m2,a6d718f2c8406afba8e90a5f9e6396a0c9e2e30e7e3fa90a77ea3a475ed67b93,3279f41f547d9005cba523bfaf325a0d002b1c248dee7927b9a1376b3ea8ec18,e9105cc8323a6b631985e1efc7a5aa29df42be680536f57d886d0716b6307ff7,02e644b1e1aa9c80fccb3a39d6a8b90cf442fc8fa0222419beb6bde5c26012ca,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF009,optfreq,A004_QM1_M1,S002,runs/orca/optfreq/OF009/OF009.inp,4d19667f146e69eb6a537283bf97cef39af26be29dbda58288d7141275b7e39f,tier1:redox:A004:S002:q-1:m1,e8931ef86d99a86e1f39d2ef8d5e42107d9babc17b8bcf1987a415a6984df5e1,3279f41f547d9005cba523bfaf325a0d002b1c248dee7927b9a1376b3ea8ec18,e9105cc8323a6b631985e1efc7a5aa29df42be680536f57d886d0716b6307ff7,fd6735992409b1e8c936eaf835d3d2994969e1dfd902bdc2d94259ccfacfefe4,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,24.82,ready,
OF010,optfreq,D077_QP2_M1,S002,runs/orca/optfreq/OF010/OF010.inp,6d93fa9d9a99a1b2bf0435b7203183c0880b7761b531049853f74ce0ed429c9b,surrogate:sigma_preopt:D077:S002:q2:m1,66c67869f7ff9619877de4d1b6eece08a48838dd79b595d8fe26442902e85d60,3279f41f547d9005cba523bfaf325a0d002b1c248dee7927b9a1376b3ea8ec18,e9105cc8323a6b631985e1efc7a5aa29df42be680536f57d886d0716b6307ff7,a4e65eb6bc3a8ccef930d4e0adb5299db5adf6974e103a36699ea755a19f7c80,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,8,3000,40.0,ready,
