geometry_key,state_id,solvent_id,formal_charge,multiplicity,status,xyz_path,xyz_sha256,source_kind,source_run_id,source_task_id,source_xyz_sha256,source_output_sha256,source_qc_status,connectivity_status,bonds_broken,bonds_formed,monomer_source_sha256,topology_sha256,preopt_method_id,preopt_epsilon,reason
surrogate:sigma_preopt:D001:S001:q2:m1,D001_QP2_M1,S001,2,1,resolved,runs/geometry_fullspace/resolved/sigma/D001_QP2_M1/S001.xyz,5adffce99ca2e72873c4163f35d7adf46d50ddad9fa112bbd17e3ff93bd39b53,sigma_target_medium_preopt,jhtvs-ft0806-sigma-preopt-v1,sigma-preopt-D001-S001,8780a9bb3c60aaadfbf60388dd63dfd3c1a7e8a25648cac81c7fce733b75df10,128b02e71a79d42425e5fc3427c298bd5cf37fbcf7d00b43dba3daf227872078,pass,pass,0,0,a7781bfb8860257e1817131466ffa686c910c9c9ef7a428975924fcda5fdb3ed,d91b5366538573950dd039992050d34571fc5ef704d76a4f050a5a3b28ba9a44,GFN2-xTB_default_opt_ddCOSMO_v1,35.688,
surrogate:sigma_preopt:D001:S002:q2:m1,D001_QP2_M1,S002,2,1,resolved,runs/geometry_fullspace/resolved/sigma/D001_QP2_M1/S002.xyz,fe20b47ba8b6dbd91189a512472337c13186e6c5cffda3fbc059f338ae13dcfb,sigma_target_medium_preopt,jhtvs-ft0806-sigma-preopt-v1,sigma-preopt-D001-S002,8780a9bb3c60aaadfbf60388dd63dfd3c1a7e8a25648cac81c7fce733b75df10,f73ffc094a6e0217e0972be5599b5681f523705b50307292ed2c9bae3fa1cdfd,pass,pass,0,0,a7781bfb8860257e1817131466ffa686c910c9c9ef7a428975924fcda5fdb3ed,d91b5366538573950dd039992050d34571fc5ef704d76a4f050a5a3b28ba9a44,GFN2-xTB_default_opt_ddCOSMO_v1,8.93,
surrogate:sigma_preopt:D001:S003:q2:m1,D001_QP2_M1,S003,2,1,resolved,runs/geometry_fullspace/resolved/sigma/D001_QP2_M1/S003.xyz,f3d9623ed1bd4004a575a0a0628aa0a29dc2d3936fb16ef723d1a90bafff003f,sigma_target_medium_preopt,jhtvs-ft0806-sigma-preopt-v1,sigma-preopt-D001-S003,8780a9bb3c60aaadfbf60388dd63dfd3c1a7e8a25648cac81c7fce733b75df10,12002a17339d321991c08beb1427a32a7441f93996284f4b565caa036451a59f,pass,pass,0,0,a7781bfb8860257e1817131466ffa686c910c9c9ef7a428975924fcda5fdb3ed,d91b5366538573950dd039992050d34571fc5ef704d76a4f050a5a3b28ba9a44,GFN2-xTB_default_opt_ddCOSMO_v1,64.92,
surrogate:sigma_preopt:D001:S004:q2:m1,D001_QP2_M1,S004,2,1,resolved,runs/geometry_fullspace/resolved/sigma/D001_QP2_M1/S004.xyz,43613b0ff619903c6e2f2c27f263bbbef70112cf8cee7812eef08f0f03bfe282,sigma_target_medium_preopt,jhtvs-ft0806-sigma-preopt-v1,sigma-preopt-D001-S004,8780a9bb3c60aaadfbf60388dd63dfd3c1a7e8a25648cac81c7fce733b75df10,a06ffbe9985de5abea5bba2f7d816f1bb85ebc3bd712554215f0642e275f628a,pass,pass,0,0,a7781bfb8860257e1817131466ffa686c910c9c9ef7a428975924fcda5fdb3ed,d91b5366538573950dd039992050d34571fc5ef704d76a4f050a5a3b28ba9a44,GFN2-xTB_default_opt_ddCOSMO_v1,34.809,
surrogate:sigma_preopt:D001:S005:q2:m1,D001_QP2_M1,S005,2,1,resolved,runs/geometry_fullspace/resolved/sigma/D001_QP2_M1/S005.xyz,6ea21ed37a9072aa302b42238b8e339ba53a145f9c5266bd8cc1b48f39349c9c,sigma_target_medium_preopt,jhtvs-ft0806-sigma-preopt-v1,sigma-preopt-D001-S005,8780a9bb3c60aaadfbf60388dd63dfd3c1a7e8a25648cac81c7fce733b75df10,a586abd9f699bed501f5a2c3c793742b7d1c3f426aca778e1d0c99c0f9c083be,pass,pass,0,0,a7781bfb8860257e1817131466ffa686c910c9c9ef7a428975924fcda5fdb3ed,d91b5366538573950dd039992050d34571fc5ef704d76a4f050a5a3b28ba9a44,GFN2-xTB_default_opt_ddCOSMO_v1,25.592,
surrogate:sigma_preopt:D001:S006:q2:m1,D001_QP2_M1,S006,2,1,resolved,runs/geometry_fullspace/resolved/sigma/D001_QP2_M1/S006.xyz,b783f891ea1c0f3e2978eb862231567b9ac16bb34720fd56e9fcf68715e1444a,sigma_target_medium_preopt,jhtvs-ft0806-sigma-preopt-v1,sigma-preopt-D001-S006,8780a9bb3c60aaadfbf60388dd63dfd3c1a7e8a25648cac81c7fce733b75df10,ce25a90291142f4cc0935b63149caabb69bbd044c1c7a202fae6a473864857fa,pass,pass,0,0,a7781bfb8860257e1817131466ffa686c910c9c9ef7a428975924fcda5fdb3ed,d91b5366538573950dd039992050d34571fc5ef704d76a4f050a5a3b28ba9a44,GFN2-xTB_default_opt_ddCOSMO_v1,37.219,
surrogate:sigma_preopt:D001:S007:q2:m1,D001_QP2_M1,S007,2,1,resolved,runs/geometry_fullspace/resolved/sigma/D001_QP2_M1/S007.xyz,3a9c036d6ecc4617fda35014cd33afb0eef4783a8741f93aaea436c3cae43428,sigma_target_medium_preopt,jhtvs-ft0806-sigma-preopt-v1,sigma-preopt-D001-S007,8780a9bb3c60aaadfbf60388dd63dfd3c1a7e8a25648cac81c7fce733b75df10,0166c98dffcfc869c8f3c5a598deb19c076aa6c1c7e85c3fe34d4c86bcbe0ea8,pass,pass,0,0,a7781bfb8860257e1817131466ffa686c910c9c9ef7a428975924fcda5fdb3ed,d91b5366538573950dd039992050d34571fc5ef704d76a4f050a5a3b28ba9a44,GFN2-xTB_default_opt_ddCOSMO_v1,46.826,
surrogate:sigma_preopt:D001:S008:q2:m1,D001_QP2_M1,S008,2,1,resolved,runs/geometry_fullspace/resolved/sigma/D001_QP2_M1/S008.xyz,8d45f6a312b6a37bae700216156f99a4c2036559fa46ae88ae5f295323bd7f32,sigma_target_medium_preopt,jhtvs-ft0806-sigma-preopt-v1,sigma-preopt-D001-S008,8780a9bb3c60aaadfbf60388dd63dfd3c1a7e8a25648cac81c7fce733b75df10,b6967036e72ac353aa8aaee1bc272bb2da90c00f18e312e3864f61531aca0d2e,pass,pass,0,0,a7781bfb8860257e1817131466ffa686c910c9c9ef7a428975924fcda5fdb3ed,d91b5366538573950dd039992050d34571fc5ef704d76a4f050a5a3b28ba9a44,GFN2-xTB_default_opt_ddCOSMO_v1,7.4257,
surrogate:sigma_preopt:D001:S009:q2:m1,D001_QP2_M1,S009,2,1,resolved,runs/geometry_fullspace/resolved/sigma/D001_QP2_M1/S009.xyz,5d0d220ceb485a05b25e73e2a80b103ab34c5e4a81f445208c404a3eb20898cc,sigma_target_medium_preopt,jhtvs-ft0806-sigma-preopt-v1,sigma-preopt-D001-S009,8780a9bb3c60aaadfbf60388dd63dfd3c1a7e8a25648cac81c7fce733b75df10,acc29552d4c08aae05863372c77d9777b570a67307a7346379c1f6138e039a57,pass,pass,0,0,a7781bfb8860257e1817131466ffa686c910c9c9ef7a428975924fcda5fdb3ed,d91b5366538573950dd039992050d34571fc5ef704d76a4f050a5a3b28ba9a44,GFN2-xTB_default_opt_ddCOSMO_v1,36.562,
surrogate:sigma_preopt:D001:S010:q2:m1,D001_QP2_M1,S010,2,1,resolved,runs/geometry_fullspace/resolved/sigma/D001_QP2_M1/S010.xyz,1cf339e0f4c6828f50e7daa8fbf38a834f24ffcfb4eebf5964dcdc2a2884c631,sigma_target_medium_preopt,jhtvs-ft0806-sigma-preopt-v1,sigma-preopt-D001-S010,8780a9bb3c60aaadfbf60388dd63dfd3c1a7e8a25648cac81c7fce733b75df10,724ff363f5ffe9a6e57f305cef4fc6be5097e07edd81f44d1681830124097cdd,pass,pass,0,0,a7781bfb8860257e1817131466ffa686c910c9c9ef7a428975924fcda5fdb3ed,d91b5366538573950dd039992050d34571fc5ef704d76a4f050a5a3b28ba9a44,GFN2-xTB_default_opt_ddCOSMO_v1,78.355,
