geometry_key,state_id,solvent_id,formal_charge,multiplicity,status,xyz_path,xyz_sha256,source_kind,source_run_id,source_task_id,source_xyz_sha256,source_output_sha256,source_qc_status,connectivity_status,bonds_broken,bonds_formed,monomer_source_sha256,topology_sha256,preopt_method_id,preopt_epsilon,reason
surrogate:sigma_preopt:D001:S001:q2:m1,D001_QP2_M1,S001,2,1,resolved,runs/geometry/resolved/sigma/D001_QP2_M1/S001.xyz,5adffce99ca2e72873c4163f35d7adf46d50ddad9fa112bbd17e3ff93bd39b53,sigma_target_medium_preopt,jhtvs-ft0806-sigma-preopt-v1,sigma-preopt-D001-S001,8780a9bb3c60aaadfbf60388dd63dfd3c1a7e8a25648cac81c7fce733b75df10,514060eb1b78907463b4e4e4f166c7dd06b5b7074b7e67a08a820353c0b05c7b,pass,pass,0,0,a7781bfb8860257e1817131466ffa686c910c9c9ef7a428975924fcda5fdb3ed,d91b5366538573950dd039992050d34571fc5ef704d76a4f050a5a3b28ba9a44,GFN2-xTB_default_opt_ddCOSMO_v1,35.688,
surrogate:sigma_preopt:D001:S007:q2:m1,D001_QP2_M1,S007,2,1,resolved,runs/geometry/resolved/sigma/D001_QP2_M1/S007.xyz,3a9c036d6ecc4617fda35014cd33afb0eef4783a8741f93aaea436c3cae43428,sigma_target_medium_preopt,jhtvs-ft0806-sigma-preopt-v1,sigma-preopt-D001-S007,8780a9bb3c60aaadfbf60388dd63dfd3c1a7e8a25648cac81c7fce733b75df10,3cc4e9343be224d0e4c5427de13cda84f6f8daf8deec5ef2cbe09ac11d7c9949,pass,pass,0,0,a7781bfb8860257e1817131466ffa686c910c9c9ef7a428975924fcda5fdb3ed,d91b5366538573950dd039992050d34571fc5ef704d76a4f050a5a3b28ba9a44,GFN2-xTB_default_opt_ddCOSMO_v1,46.826,
surrogate:sigma_preopt:D001:S015:q2:m1,D001_QP2_M1,S015,2,1,resolved,runs/geometry/resolved/sigma/D001_QP2_M1/S015.xyz,6639a1556ec0fb2492b0dfc778fe6f22e7649ecccb765fb06087e3ee5b42e3dd,sigma_target_medium_preopt,jhtvs-ft0806-sigma-preopt-v1,sigma-preopt-D001-S015,8780a9bb3c60aaadfbf60388dd63dfd3c1a7e8a25648cac81c7fce733b75df10,7080efe601cc0eec9cd0a17b9fc42d8262ceca6547b6de061d48c16ed113acfa,pass,pass,0,0,a7781bfb8860257e1817131466ffa686c910c9c9ef7a428975924fcda5fdb3ed,d91b5366538573950dd039992050d34571fc5ef704d76a4f050a5a3b28ba9a44,GFN2-xTB_default_opt_ddCOSMO_v1,11.4,
surrogate:sigma_preopt:D001:S022:q2:m1,D001_QP2_M1,S022,2,1,resolved,runs/geometry/resolved/sigma/D001_QP2_M1/S022.xyz,acfd3d8f4a46c47b2c734cb458b7109db133927d638d879af38f52c44baf4ce6,sigma_target_medium_preopt,jhtvs-ft0806-sigma-preopt-v1,sigma-preopt-D001-S022,8780a9bb3c60aaadfbf60388dd63dfd3c1a7e8a25648cac81c7fce733b75df10,bc364d891b5d79ce833b73e562f14fb4a8f078ae0d33faefe39c5b3622ae3a37,pass,pass,0,0,a7781bfb8860257e1817131466ffa686c910c9c9ef7a428975924fcda5fdb3ed,d91b5366538573950dd039992050d34571fc5ef704d76a4f050a5a3b28ba9a44,GFN2-xTB_default_opt_ddCOSMO_v1,89.78,
surrogate:sigma_preopt:D007:S004:q2:m1,D007_QP2_M1,S004,2,1,resolved,runs/geometry/resolved/sigma/D007_QP2_M1/S004.xyz,0efab730f80847159e2455e2bdd13bf8cad977fe8eee9f77e67ff2c9223e5b0a,sigma_target_medium_preopt,jhtvs-ft0806-sigma-preopt-v1,sigma-preopt-D007-S004,286d4b0edd4d69784f8048b287dca7ed6bb7bc35f43ca47bde339a9a279a2c1a,2213aebed66b97f9e6552dc0dee9654c1ee26c016cc6f92d22ed9e6b7c6b6444,pass,pass,0,0,a7781bfb8860257e1817131466ffa686c910c9c9ef7a428975924fcda5fdb3ed,c22e5822a2ba731f97573b42599174645134b4d9d684f49d0c6d8f472656a7d6,GFN2-xTB_default_opt_ddCOSMO_v1,34.809,
surrogate:sigma_preopt:D007:S011:q2:m1,D007_QP2_M1,S011,2,1,resolved,runs/geometry/resolved/sigma/D007_QP2_M1/S011.xyz,c8cde41807ca08f33e71d0b4509839a71fc895e508a57f70a0d1dc9240bd49a0,sigma_target_medium_preopt,jhtvs-ft0806-sigma-preopt-v1,sigma-preopt-D007-S011,286d4b0edd4d69784f8048b287dca7ed6bb7bc35f43ca47bde339a9a279a2c1a,3b7feb8546bfe35c0c6dc43461f3fd5bd75d2583eec0b79d1caea08eac10995e,pass,pass,0,0,a7781bfb8860257e1817131466ffa686c910c9c9ef7a428975924fcda5fdb3ed,c22e5822a2ba731f97573b42599174645134b4d9d684f49d0c6d8f472656a7d6,GFN2-xTB_default_opt_ddCOSMO_v1,41.7,
surrogate:sigma_preopt:D007:S016:q2:m1,D007_QP2_M1,S016,2,1,resolved,runs/geometry/resolved/sigma/D007_QP2_M1/S016.xyz,2f82a50b2f366c622f57867713ee8b618c40ac1376577f8e1f671d05daaefae3,sigma_target_medium_preopt,jhtvs-ft0806-sigma-preopt-v1,sigma-preopt-D007-S016,286d4b0edd4d69784f8048b287dca7ed6bb7bc35f43ca47bde339a9a279a2c1a,c21f99a584f9a2afc5ada5a1fc244d0851f1446175f3c8c1c636bc98070ed0dd,pass,pass,0,0,a7781bfb8860257e1817131466ffa686c910c9c9ef7a428975924fcda5fdb3ed,c22e5822a2ba731f97573b42599174645134b4d9d684f49d0c6d8f472656a7d6,GFN2-xTB_default_opt_ddCOSMO_v1,9.7,
surrogate:sigma_preopt:D007:S024:q2:m1,D007_QP2_M1,S024,2,1,resolved,runs/geometry/resolved/sigma/D007_QP2_M1/S024.xyz,9b4d0adc49e9f52e2268fb2e7feea38cb66416e10daf841134b7b8f20cd09203,sigma_target_medium_preopt,jhtvs-ft0806-sigma-preopt-v1,sigma-preopt-D007-S024,286d4b0edd4d69784f8048b287dca7ed6bb7bc35f43ca47bde339a9a279a2c1a,a16db0c2389d271ce77b43f18a7a70f8600dc5feb1059afa6412cfefbeb91b29,pass,pass,0,0,a7781bfb8860257e1817131466ffa686c910c9c9ef7a428975924fcda5fdb3ed,c22e5822a2ba731f97573b42599174645134b4d9d684f49d0c6d8f472656a7d6,GFN2-xTB_default_opt_ddCOSMO_v1,2.2099,
surrogate:sigma_preopt:D022:S001:q2:m1,D022_QP2_M1,S001,2,1,resolved,runs/geometry/resolved/sigma/D022_QP2_M1/S001.xyz,f824f543517095f3e0beb448eadf5ed9401775434c57f8906c346970b25715fa,sigma_target_medium_preopt,jhtvs-ft0806-sigma-preopt-v1,sigma-preopt-D022-S001,b97f24e6e72b4d28f9f11a2fa736347882d8fdc904235ec824bcb564641d7fc2,d583976ae40cc58ebcbf20f45912e1a9118538d2d8815bbf9650609240d5c6e5,pass,pass,0,0,a7781bfb8860257e1817131466ffa686c910c9c9ef7a428975924fcda5fdb3ed,c52a7955c993523ae0b74d691655b76a0a83b8f91fef3ddce29d735a8839c10d,GFN2-xTB_default_opt_ddCOSMO_v1,35.688,
surrogate:sigma_preopt:D022:S002:q2:m1,D022_QP2_M1,S002,2,1,resolved,runs/geometry/resolved/sigma/D022_QP2_M1/S002.xyz,5f1271355e5fa1abf9630b0cdd7cbf62787917512da10c0f13ff8f63331adab6,sigma_target_medium_preopt,jhtvs-ft0806-sigma-preopt-v1,sigma-preopt-D022-S002,b97f24e6e72b4d28f9f11a2fa736347882d8fdc904235ec824bcb564641d7fc2,91bce794d3312804ccf177236b9ff9d43c21a3793276d6ee2314b21f419dbe22,pass,pass,0,0,a7781bfb8860257e1817131466ffa686c910c9c9ef7a428975924fcda5fdb3ed,c52a7955c993523ae0b74d691655b76a0a83b8f91fef3ddce29d735a8839c10d,GFN2-xTB_default_opt_ddCOSMO_v1,8.93,
