job_id,job_class,state_id,solvent_id,input_path,input_sha256,geometry_key,geometry_sha256,smd_registry_row_sha256,smd_payload_sha256,exact_reuse_key,workflow_revision,method_id,thermochemistry_convention_id,nprocs,maxcore_mb_per_rank,planning_core_h,status,reason
SP0039,smd_energy_sp,A011_Q0_M2,S001,runs/orca/sp/SP0039/SP0039.inp,8e9137c8dd3a27afa06a06c21d8055fd1942ee331980248002e4a524c26efdc7,tier1:redox:A011:S001:q0:m2,4ef4f79c50ca1be022a9ca3dd5c0a459465049e58668e44e5beb63440a3f12d3,33991649687f2d2b981d6e03785961ad9457eb27eac9b175c78aef6ac9c44c11,2ac42ed3e22fe59dd5791310aba80df0f44a97fce93a0f99bfc908a252e00b57,7e02954fb678332a0dcc9b6726c19bda73a02a3ffe5b4fa1678c31449a1655e1,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,not_applicable,8,3000,1.74,ready,
SP0064,smd_energy_sp,A002_Q0_M2,S002,runs/orca/sp/SP0064/SP0064.inp,aa9d7f243e88327d929c6e86a8f2dfdb873806de46beebf071614f807635669e,tier1:redox:A002:S002:q0:m2,46dea405532789b7d76d67c72931d6270fcbd9f716a5245dc88bc6917be48893,3279f41f547d9005cba523bfaf325a0d002b1c248dee7927b9a1376b3ea8ec18,e9105cc8323a6b631985e1efc7a5aa29df42be680536f57d886d0716b6307ff7,e4a704f812c82e3e5503cacee299cf3b55070663a9c9259c7797758a02046c55,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,not_applicable,8,3000,1.74,ready,
SP0095,smd_energy_sp,A002_Q0_M2,S003,runs/orca/sp/SP0095/SP0095.inp,0969b7b1c6ed1b976a7774ec73172bb38b4356271863dec2a21817ac9704770c,tier1:redox:A002:S003:q0:m2,ad780b2f95304732421d87979beb3cc437341b5a46aa85234c2c193f2e8d5586,94b7361eaf5260ed8fd9bcbaacaf98b81c0cd78f856ef20334bbdf0a14579d35,8508d5bf039f7a04d859bedf9951b9127cbbbf245c79170c66812080a3ec5460,db5a54a84bb0111b52d7b68dee87ea7c7f5c1b950427d6d2d7837ab93cf9ab51,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,not_applicable,8,3000,1.74,ready,
SP0125,smd_energy_sp,A002_Q0_M2,S004,runs/orca/sp/SP0125/SP0125.inp,04c3c554f08821fceb95db459d67a50a0351f851ce8c3fe0051fd2d672090b3c,tier1:redox:A002:S004:q0:m2,6c2ec646d07676adf8e5545a5ceb5e0989df0853fd73f4a310dce9942244cc9d,53a1420e98ef8a080444862fc39f2c03ee25566ff1de370361ddb92eda222557,fc84c6c0fdedfad4ad7162cbe466ea9adb5b8ade8ed807efe9a91b7a14935117,1d3c170e32bb91cd62359038d0f942807689a7e128ecd5fd9bc2be6f3a4f6263,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,not_applicable,8,3000,1.74,ready,
SP0158,smd_energy_sp,A002_Q0_M2,S005,runs/orca/sp/SP0158/SP0158.inp,d3977232086a06a2d93604b0bd99f3f76f2e4597fee21d9dd21e467dd18f9639,tier1:redox:A002:S005:q0:m2,6198fbb6669a61c27219e345dd5c9edc527fc27cb67059aafbc068dab6c08971,a412888f46b361d7cbf5e7ffcf874bfab9b52585c5104ae7d5aae27154ae6883,6081598179efd9e152f2a5286000222d826f38a6215f04a8ed4e35831524afa6,89e8cbdc86dc2d65468e22c4bed2bab1707301871220cf95c3a7ad57c8685d5f,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,not_applicable,8,3000,1.74,ready,
SP0191,smd_energy_sp,A002_Q0_M2,S006,runs/orca/sp/SP0191/SP0191.inp,bfb631ca3b83b26c235d7960b00595c58638e11c9bf20eb3b7542a64ec7e4e09,tier1:redox:A002:S006:q0:m2,7a39d8c734e407a3e8a74b4006d61f8466be2a6aaff3fbb382dcbc8107bdd8f1,c27bd40db930eb8dcc20055d433024f1a0da5e372ae0bbe4b02d3a5026a8beca,f575e634b72386a2d8924dc432e7b3ddc1e226c049b4f1906ded7bfba712d698,154300a1adaf9aba6b49f21ed07766f8d0c8b59cfaa5a440535b5f53064cc89a,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,not_applicable,8,3000,1.74,ready,
SP0230,smd_energy_sp,A011_Q0_M2,S007,runs/orca/sp/SP0230/SP0230.inp,d604c2d9a1effffc6b66c771acfee4eb009f1f31ccf9613075cd94a74a2c8859,tier1:redox:A011:S007:q0:m2,4ef4f79c50ca1be022a9ca3dd5c0a459465049e58668e44e5beb63440a3f12d3,5dd40b69faf3ece4c90529debfc08841e0ec47fe682dd57d5b7520686961eaa4,bdfff4b97121e7d5cdb7f0d658e82efa6da3238c090896ee64609097ef51a0f3,4da56be3160397b617745485a910bc094a64f76e6cedc6b2204a16321a61d1e2,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,not_applicable,8,3000,1.74,ready,
SP0255,smd_energy_sp,A002_Q0_M2,S008,runs/orca/sp/SP0255/SP0255.inp,6caf5b86c6ab1380c77eb78d896116e3177d7841840fe10642adb420254e9cfe,tier1:redox:A002:S008:q0:m2,9c911056e0272330262d4581ca84e5a2199d661de3d1255ff665e7e3d4c3ef36,db5885de49cc709f6674fc164be562158c5d5d811fffe5edb26c03db360f6770,20f0b3d9e5e1b001b6b4d198f6d4b5b60911007a3f3e091edb170082f568fb26,2b3ab9a4cb36e5c1dbda863e21edd779fc09addabb8f69dfab1f78411a1f0c58,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,not_applicable,8,3000,1.74,ready,
SP0280,smd_energy_sp,A002_Q0_M2,S009,runs/orca/sp/SP0280/SP0280.inp,afac31a64dea4aed4533d31e2554e9086a3de6d3b76757f308f6edffd9c22ce1,tier1:redox:A002:S009:q0:m2,a2bc50aee9a2c9d27e46619c47e11551f333ea5006dc8001d0a28ed02d6428eb,3762de9c5172934e9e191da8237f760ff32b89d20d82fa4cd7c8d2d42bc425c5,b96c0bc277f09cdc2543087aff275075346c6237811069703b3b5bf8b66007ec,13c1eb69602157df62553a4ac9bf691943bcff371673c1385dc8df055230b5c1,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,not_applicable,8,3000,1.74,ready,
SP0304,smd_energy_sp,S010_Q0_M1,S010,runs/orca/sp/SP0304/SP0304.inp,42a15477ce0e30446471369b6611fa23ba402c28a55a819ba70cfc600193c5c2,tier1:redox:S010:S010:q0:m1,c77a5be1cfca229f5f858be64206379b212aa421cfee78f9a0321bd9b4cc3c4a,f3dc5f0765cc40c174acd002103d9641a879c4185439df60b68c90bbd68abd5f,b88e190a80414bc4a098f4732a9c5f791c1157e2f7c12087b194e03bfee03079,aba034dc43f83d16501e436a103a073b1e7087ad0ab2607f3c151a3c3fa8ebed,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,not_applicable,8,3000,1.74,ready,
