job_id,job_class,state_id,solvent_id,workflow_revision,method_id,geometry_key,geometry_sha256,smd_registry_row_sha256,smd_payload_sha256,exact_reuse_key,input_path,input_sha256,output_path,output_sha256,orca_version,normal_termination,orca_error,final_energy_Eh,cpcm_dielectric_Eh,smd_cds_Eh,E_freq_Eh,G_minus_E_freq_Eh,E_final_SP_Eh,G_composite_1atm_Eh,standard_state_1M_correction_Eh,G_composite_1M_Eh,thermochemistry_temperature_K,thermochemistry_pressure_atm,quasi_rrho,frequency_count,significant_imaginary_count,most_negative_frequency_cm1,optimization_converged,optimized_geometry_path,optimized_geometry_sha256,connectivity_status,bonds_broken,bonds_formed,echo_solvent_name,echo_epsilon,echo_refrac,echo_soln,echo_soln25,echo_sola,echo_solb,echo_solg,echo_solc,echo_solh,echo_max_abs_delta,echo_qc,qc_status,qc_reasons,scientific_stop_required
SP0039,smd_energy_sp,A011_Q0_M2,S001,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,tier1:redox:A011:S001:q0:m2,4ef4f79c50ca1be022a9ca3dd5c0a459465049e58668e44e5beb63440a3f12d3,33991649687f2d2b981d6e03785961ad9457eb27eac9b175c78aef6ac9c44c11,2ac42ed3e22fe59dd5791310aba80df0f44a97fce93a0f99bfc908a252e00b57,7e02954fb678332a0dcc9b6726c19bda73a02a3ffe5b4fa1678c31449a1655e1,runs/orca/sp/SP0039/SP0039.inp,8e9137c8dd3a27afa06a06c21d8055fd1942ee331980248002e4a524c26efdc7,runs/orca/sp/SP0039/SP0039.out,0db7762dabf8f7a9c040e14b380c2c3f9ef184bc8b6931b92d84e1273d4e8349,6.1.0,true,false,-460.150368304724,-0.00066141196766,-0.0016884621595,,,,,,,,,not_applicable,,,,not_applicable,,,not_applicable,,,ACETONITRILE,35.688,1.3442,1.3442,1.3416,0.07,0.32,41.25,0.0,0.0,0,pass,clean,,false
SP0064,smd_energy_sp,A002_Q0_M2,S002,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,tier1:redox:A002:S002:q0:m2,46dea405532789b7d76d67c72931d6270fcbd9f716a5245dc88bc6917be48893,3279f41f547d9005cba523bfaf325a0d002b1c248dee7927b9a1376b3ea8ec18,e9105cc8323a6b631985e1efc7a5aa29df42be680536f57d886d0716b6307ff7,e4a704f812c82e3e5503cacee299cf3b55070663a9c9259c7797758a02046c55,runs/orca/sp/SP0064/SP0064.inp,aa9d7f243e88327d929c6e86a8f2dfdb873806de46beebf071614f807635669e,runs/orca/sp/SP0064/SP0064.out,baf8a9d409419dee583beaac6dcf62ae861be5c3de6a23433df1e70b7dbc5966,6.1.0,true,false,-424.344150589306,-0.00138715356369,0.00172180790826,,,,,,,,,not_applicable,,,,not_applicable,,,not_applicable,,,DICHLOROMETHANE,8.93,1.4242,1.4242,1.4212,0.1,0.05,39.15,0.0,0.667,0,pass,clean,,false
SP0095,smd_energy_sp,A002_Q0_M2,S003,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,tier1:redox:A002:S003:q0:m2,ad780b2f95304732421d87979beb3cc437341b5a46aa85234c2c193f2e8d5586,94b7361eaf5260ed8fd9bcbaacaf98b81c0cd78f856ef20334bbdf0a14579d35,8508d5bf039f7a04d859bedf9951b9127cbbbf245c79170c66812080a3ec5460,db5a54a84bb0111b52d7b68dee87ea7c7f5c1b950427d6d2d7837ab93cf9ab51,runs/orca/sp/SP0095/SP0095.inp,0969b7b1c6ed1b976a7774ec73172bb38b4356271863dec2a21817ac9704770c,runs/orca/sp/SP0095/SP0095.out,f26682764ee9e7f8a4e6bd2ab86490bbc6efb3f5419beb3e0985add847e2bf40,6.1.0,true,false,-424.340656483911,-0.0015542422344,0.00537020085272,,,,,,,,,not_applicable,,,,not_applicable,,,not_applicable,,,CUSTOM,64.92,1.4198,1.421,1.4198,0.0,0.4,59.4151,0.0,0.0,3e-05,pass,clean,,false
SP0125,smd_energy_sp,A002_Q0_M2,S004,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,tier1:redox:A002:S004:q0:m2,6c2ec646d07676adf8e5545a5ceb5e0989df0853fd73f4a310dce9942244cc9d,53a1420e98ef8a080444862fc39f2c03ee25566ff1de370361ddb92eda222557,fc84c6c0fdedfad4ad7162cbe466ea9adb5b8ade8ed807efe9a91b7a14935117,1d3c170e32bb91cd62359038d0f942807689a7e128ecd5fd9bc2be6f3a4f6263,runs/orca/sp/SP0125/SP0125.inp,04c3c554f08821fceb95db459d67a50a0351f851ce8c3fe0051fd2d672090b3c,runs/orca/sp/SP0125/SP0125.out,bad68ceb69b43c71b3b875eeead44edea93c097613494af2bc4f4092a41e5a4b,6.1.0,true,false,-424.343072796383,-0.00153100053668,0.00293240782263,,,,,,,,,not_applicable,,,,not_applicable,,,not_applicable,,,NITROBENZENE,34.809,1.5562,1.5562,1.503,0.0,0.28,57.54,0.667,0.0,0,pass,clean,,false
SP0158,smd_energy_sp,A002_Q0_M2,S005,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,tier1:redox:A002:S005:q0:m2,6198fbb6669a61c27219e345dd5c9edc527fc27cb67059aafbc068dab6c08971,a412888f46b361d7cbf5e7ffcf874bfab9b52585c5104ae7d5aae27154ae6883,6081598179efd9e152f2a5286000222d826f38a6215f04a8ed4e35831524afa6,89e8cbdc86dc2d65468e22c4bed2bab1707301871220cf95c3a7ad57c8685d5f,runs/orca/sp/SP0158/SP0158.inp,d3977232086a06a2d93604b0bd99f3f76f2e4597fee21d9dd21e467dd18f9639,runs/orca/sp/SP0158/SP0158.out,8cd0af7951af1e94bdbd9219adf5af9fe771f04bd70d721f929ccdba6862a92a,6.1.0,true,false,-424.343231649421,-0.00151296858753,0.00275729058347,,,,,,,,,not_applicable,,,,not_applicable,,,not_applicable,,,BENZONITRILE,25.592,1.5289,1.5289,1.5257,0.0,0.33,55.83,0.75,0.0,0,pass,clean,,false
SP0191,smd_energy_sp,A002_Q0_M2,S006,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,tier1:redox:A002:S006:q0:m2,7a39d8c734e407a3e8a74b4006d61f8466be2a6aaff3fbb382dcbc8107bdd8f1,c27bd40db930eb8dcc20055d433024f1a0da5e372ae0bbe4b02d3a5026a8beca,f575e634b72386a2d8924dc432e7b3ddc1e226c049b4f1906ded7bfba712d698,154300a1adaf9aba6b49f21ed07766f8d0c8b59cfaa5a440535b5f53064cc89a,runs/orca/sp/SP0191/SP0191.inp,bfb631ca3b83b26c235d7960b00595c58638e11c9bf20eb3b7542a64ec7e4e09,runs/orca/sp/SP0191/SP0191.out,2c86fdc6369ae24be449821064cd6902585fdc0669374552a71b6e5045c76a0d,6.1.0,true,false,-424.34322587549,-0.00153423902663,0.00278335481558,,,,,,,,,not_applicable,,,,not_applicable,,,not_applicable,,,"N,N-DIMETHYLFORMAMIDE",37.219,1.4305,1.4305,1.428,0.0,0.74,49.56,0.0,0.0,0,pass,clean,,false
SP0230,smd_energy_sp,A011_Q0_M2,S007,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,tier1:redox:A011:S007:q0:m2,4ef4f79c50ca1be022a9ca3dd5c0a459465049e58668e44e5beb63440a3f12d3,5dd40b69faf3ece4c90529debfc08841e0ec47fe682dd57d5b7520686961eaa4,bdfff4b97121e7d5cdb7f0d658e82efa6da3238c090896ee64609097ef51a0f3,4da56be3160397b617745485a910bc094a64f76e6cedc6b2204a16321a61d1e2,runs/orca/sp/SP0230/SP0230.inp,d604c2d9a1effffc6b66c771acfee4eb009f1f31ccf9613075cd94a74a2c8859,runs/orca/sp/SP0230/SP0230.out,622967e334a2f997a3d5b0cfb5c640fd474977296abe599ee014d36e0e41fb30,6.1.0,true,false,-460.150009460485,-0.000666070476,-0.00132507913068,,,,,,,,,not_applicable,,,,not_applicable,,,not_applicable,,,CUSTOM,46.826,1.4783,1.4783,1.4783,0.0,0.88,61.78,0.0,0.0,0,pass,clean,,false
SP0255,smd_energy_sp,A002_Q0_M2,S008,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,tier1:redox:A002:S008:q0:m2,9c911056e0272330262d4581ca84e5a2199d661de3d1255ff665e7e3d4c3ef36,db5885de49cc709f6674fc164be562158c5d5d811fffe5edb26c03db360f6770,20f0b3d9e5e1b001b6b4d198f6d4b5b60911007a3f3e091edb170082f568fb26,2b3ab9a4cb36e5c1dbda863e21edd779fc09addabb8f69dfab1f78411a1f0c58,runs/orca/sp/SP0255/SP0255.inp,6caf5b86c6ab1380c77eb78d896116e3177d7841840fe10642adb420254e9cfe,runs/orca/sp/SP0255/SP0255.out,1d05dbf1359feb0cccc1f98a8020b977223f1fc012f3ebbef039de75fd63fded,6.1.0,true,false,-424.343621449314,-0.00134840360976,0.00221493632755,,,,,,,,,not_applicable,,,,not_applicable,,,not_applicable,,,TETRAHYDROFURAN,7.4257,1.405,1.405,1.4044,0.0,0.48,39.44,0.0,0.0,0,pass,clean,,false
SP0280,smd_energy_sp,A002_Q0_M2,S009,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,tier1:redox:A002:S009:q0:m2,a2bc50aee9a2c9d27e46619c47e11551f333ea5006dc8001d0a28ed02d6428eb,3762de9c5172934e9e191da8237f760ff32b89d20d82fa4cd7c8d2d42bc425c5,b96c0bc277f09cdc2543087aff275075346c6237811069703b3b5bf8b66007ec,13c1eb69602157df62553a4ac9bf691943bcff371673c1385dc8df055230b5c1,runs/orca/sp/SP0280/SP0280.inp,afac31a64dea4aed4533d31e2554e9086a3de6d3b76757f308f6edffd9c22ce1,runs/orca/sp/SP0280/SP0280.out,3013bffd455fdd879f8f260eb4c5379f3370c786f3b7450229cfcf8e50b9d41b,6.1.0,true,false,-424.34305467918,-0.00153341214733,0.0029529615481,,,,,,,,,not_applicable,,,,not_applicable,,,not_applicable,,,NITROMETHANE,36.562,1.3817,1.3817,1.3796,0.06,0.31,52.58,0.0,0.0,0,pass,clean,,false
SP0304,smd_energy_sp,S010_Q0_M1,S010,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,tier1:redox:S010:S010:q0:m1,c77a5be1cfca229f5f858be64206379b212aa421cfee78f9a0321bd9b4cc3c4a,f3dc5f0765cc40c174acd002103d9641a879c4185439df60b68c90bbd68abd5f,b88e190a80414bc4a098f4732a9c5f791c1157e2f7c12087b194e03bfee03079,aba034dc43f83d16501e436a103a073b1e7087ad0ab2607f3c151a3c3fa8ebed,runs/orca/sp/SP0304/SP0304.inp,42a15477ce0e30446471369b6611fa23ba402c28a55a819ba70cfc600193c5c2,runs/orca/sp/SP0304/SP0304.out,7c50662995a4d297f73bd68a2b1d42dfed082999fc90471f2e77d0d436ff59df,6.1.0,true,false,-76.454125048901,-0.01716156533863,0.00230971110528,,,,,,,,,not_applicable,,,,not_applicable,,,not_applicable,,,WATER,78.355,1.3328,1.3328,1.3323,0.0,0.0,0.0,0.0,0.0,0,pass,clean,,false
