job_id,job_class,state_id,solvent_id,input_path,input_sha256,geometry_key,geometry_sha256,smd_registry_row_sha256,smd_payload_sha256,exact_reuse_key,workflow_revision,method_id,thermochemistry_convention_id,nprocs,maxcore_mb_per_rank,planning_core_h,status,reason
SP0093,smd_energy_sp,S002_Q0_M1,S002,runs/orca/sp/SP0093/SP0093.inp,33efb7a3d3226bd281ffc9e748609f636c571f817ecce090833696b89e5a2210,tier1:redox:S002:S002:q0:m1,7db8876d824400a79dd93ce95b0b46e5a10b7a266ed3889747a122ff6ba63bcb,3279f41f547d9005cba523bfaf325a0d002b1c248dee7927b9a1376b3ea8ec18,e9105cc8323a6b631985e1efc7a5aa29df42be680536f57d886d0716b6307ff7,6f0e3e6af691bcb9c9142a6854d1a271a561c7c58b6f08136a2a98eb31ec63a1,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,not_applicable,8,3000,1.74,ready,
SP0231,smd_energy_sp,A011_QM1_M1,S007,runs/orca/sp/SP0231/SP0231.inp,fc5d1b4a7a8612a929c3e9be937fb8c48a520ddd5489c50ea1396b4c61d4120d,tier1:redox:A011:S007:q-1:m1,858fe9c1797d7b7087bd4e98d3c607ccfae413451b4e6ac98f6c134211400962,b1d32a50d1fd87e81e116e3b12ba076a4f1510bbc975de790b7e2914ba7cda1b,bdfff4b97121e7d5cdb7f0d658e82efa6da3238c090896ee64609097ef51a0f3,5354a41abcf5c9ec0284d6b1ca8f682d95d1d3d35ed8eb419826839e8ce6f8b6,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,not_applicable,8,3000,1.74,ready,
SP0232,smd_energy_sp,D001_QP2_M1,S007,runs/orca/sp/SP0232/SP0232.inp,4a0710701b5e0f1769c446fb4f59775d311fa995f6b6a4ff06f0c77066415162,surrogate:sigma_preopt:D001:S007:q2:m1,3a9c036d6ecc4617fda35014cd33afb0eef4783a8741f93aaea436c3cae43428,b1d32a50d1fd87e81e116e3b12ba076a4f1510bbc975de790b7e2914ba7cda1b,bdfff4b97121e7d5cdb7f0d658e82efa6da3238c090896ee64609097ef51a0f3,dfc494bea7d7661b31118d8d2c316a3a66e12fe6a66b069ad1248e0039db0925,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,not_applicable,8,3000,4.22,ready,
SP0247,smd_energy_sp,M083_Q0_M1,S007,runs/orca/sp/SP0247/SP0247.inp,a9bcdd04e6c1d69e48621b3b57da2db3acce212f3bd2a92ade2093bb30367584,tier1:redox:M083:S007:q0:m1,fde8dc0ef70a15d3055ec4f4998112c45d77386c9cff0a3e1411105eac4cb87f,b1d32a50d1fd87e81e116e3b12ba076a4f1510bbc975de790b7e2914ba7cda1b,bdfff4b97121e7d5cdb7f0d658e82efa6da3238c090896ee64609097ef51a0f3,35db9cfd94daaa8c831fe874b2276c04b8a29cbaf7ef082bde02c85bc984d649,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,not_applicable,8,3000,1.74,ready,
SP0305,smd_energy_sp,S010_QP1_M2,S010,runs/orca/sp/SP0305/SP0305.inp,ddb0f3c8a93a1874da2f08e27600c39298b281441069eeddee3d272838aca399,tier1:redox:S010:S010:q1:m2,06f224dde8dcc2ca613e04d06ab007ece9f77df8c605f6cf39a9c1c579d5b4c5,f3dc5f0765cc40c174acd002103d9641a879c4185439df60b68c90bbd68abd5f,b88e190a80414bc4a098f4732a9c5f791c1157e2f7c12087b194e03bfee03079,12a4d2559fe79d50ccada6575328ad7b7ae734e36a9bec8feb935d1f9b3eb754,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,not_applicable,8,3000,1.74,ready,
SP0341,smd_energy_sp,A003_Q0_M2,S012,runs/orca/sp/SP0341/SP0341.inp,4917919ba0cb531dee3929cd7600220ab3f838275a786f32fe66bcb0705d60b0,tier1:redox:A003:S012:q0:m2,a034103c6dbbc21f425e5aa9c983055f4bccaca36d803528c3a3b2fb45781038,da86540057750ed3d8a2e780e5f7bb29ff8a2618dff1085d2b3c9e0794cef692,11fa88dcb57823d53c0e7944ee495b04d8a78637f2ba1d73a28eb906b2733b7f,1bf7176f871ca2275ec2335ff0d4988e86cbeb78caa871a60028a3383c81b99d,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,not_applicable,8,3000,1.74,ready,
SP0481,smd_energy_sp,M083_QP1_M2,S016,runs/orca/sp/SP0481/SP0481.inp,26211ce7b201373beb94f4e698dbb38679a98d96c8700e56387c562cc88e8e10,tier1:redox:M083:S016:q1:m2,09b21abbf6e118e68510ed26aefb82f53ea907ae66d6709ba5fd998ffe9b8ef2,52547a40ce41486a7fe9d4c90401a978aec516425cb5f231668ef5b77905b868,45b71b41a4ba5a7cd7d6908d95ea1f83b8e85bd4eb374d3df0b2f5b333cb5d52,cdfcf658254f1f57fcac8bfbd20e8e5db8e8b6c6aef7386246700b4e6cca998b,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,not_applicable,8,3000,1.74,ready,
SP0492,smd_energy_sp,A007_Q0_M2,S017,runs/orca/sp/SP0492/SP0492.inp,a2b32d0717ec479df7e75e327d9dbf69f2571148d7c56f7cab7e66fa7156a9e2,tier1:redox:A007:S017:q0:m2,e89a5f13b4526559359349b578360ca4dd02d0b8a827203802b5d48b53fa6351,6dd988edb26c90d3fe035c8ae74f8e63336d90c9a3a4324caadf46c12b91c02e,1dda48776c318e0509679fb60584571ea415cd30241f2845dd815ced49d9a036,101fa4a8502b2b308ff840101be406dbcec2c2d8d73e582957d36d0d979f0472,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,not_applicable,8,3000,1.74,ready,
SP0493,smd_energy_sp,A007_QM1_M1,S017,runs/orca/sp/SP0493/SP0493.inp,6a605c91c756973b2d2712c83e8a523fd33d20110ae998f2261c86d998182c34,tier1:redox:A007:S017:q-1:m1,7c1c695b55a18fbe2f38961c4d7c2abdef451ad0cda5222a9bd491076856e0d9,6dd988edb26c90d3fe035c8ae74f8e63336d90c9a3a4324caadf46c12b91c02e,1dda48776c318e0509679fb60584571ea415cd30241f2845dd815ced49d9a036,fc47a163ff63d0c9f6dfc92753c76bc7a9a6dd12fdef8de39f19dbf5b9f4dc5a,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,not_applicable,8,3000,1.74,ready,
SP0500,smd_energy_sp,D096_QP2_M1,S017,runs/orca/sp/SP0500/SP0500.inp,f12a26cd62a2dd89821b4ab0cf88655b0e0031555ad2fba515aa1ec0b970e8d9,surrogate:sigma_preopt:D096:S017:q2:m1,22574640c8d11a20ff700ebff460da5bb8f860b9d872823fce104624236fcc57,6dd988edb26c90d3fe035c8ae74f8e63336d90c9a3a4324caadf46c12b91c02e,1dda48776c318e0509679fb60584571ea415cd30241f2845dd815ced49d9a036,7e4d3ed1a3eaf275d515174b642e8be6ec207fc9271993a5f31a2e708a0d383e,jhtvs-ft0806-sp-v3,T2_wB97X-D3_def2-TZVPD_SMD_energy_SP_v1,not_applicable,8,3000,4.22,ready,
