Molecule,Family,Species_ID,SMILES,Theory_Level,Implicit_Solvent,Implicit_Solvent_Family,Solvation_Model,Dielectric_Constant,Value,Unit,Reference_Electrode,Eox_Definition,Raw_AIP_eV,DeltaG_Ox_eV,Calibration_Channel,Calibration_Model,Calibration_RMSE_V,Calibration_Status,QC_Status,QC_Notes,Workflow_Revision,Source_File,Source_Row
BF4-,,CE02,[B-](F)(F)(F)F,"wB97X-D3/def2-TZVPD//wB97X-D3/def2-TZVP (ma-def2-TZVP for q<0), Opt/Freq + SP",Acetonitrile,Nitrile,SMD,35.688,4.920270,V vs Ag/AgCl,Ag/AgCl,adiabatic_gibbs_single_pass_1M,9.509087,9.397270,,,,independent DFT target,clean,,tier2-directive-jojo-v4,/Users/shichen/GitHub/20260707/tier2/output/descriptors/redox_dft.csv,3
BF4−,,JVA001,F[B-](F)(F)F,"wB97X-D3/def2-TZVPD//wB97X-D3/def2-SVP, Opt/Freq + SP",Propylene carbonate,Cyclic carbonate,SMD (library or project-approved custom parameters),64.92,4.92675072,V vs Ag/AgCl,Ag/AgCl,"adiabatic Gibbs oxidation potential, 1 M",,9.40375072,,,,independent DFT target,clean,Adiabatic oxidation descriptor using the clean q=-1 parent state and the lowest-Gibbs clean intact q=0 mode-follow minimum.,validation-tier2-mode-follow-v1,/Users/shichen/GitHub/20260707/validation/runs/20260727-jhtvs-validation-anion-modefollow-v6/tier2/results/descriptors.csv,23
Cl-,,CE07,[Cl-],"wB97X-D3/def2-TZVPD//wB97X-D3/def2-TZVP (ma-def2-TZVP for q<0), Opt/Freq + SP",Water,Aqueous,SMD,78.355,1.968365,V vs Ag/AgCl,Ag/AgCl,adiabatic_gibbs_single_pass_1M,6.463174,6.445365,,,,independent DFT target,clean,,tier2-directive-jojo-v4,/Users/shichen/GitHub/20260707/tier2/output/descriptors/redox_dft.csv,8
ClO4-,,CE03,[O-]Cl(=O)(=O)=O,"wB97X-D3/def2-TZVPD//wB97X-D3/def2-TZVP (ma-def2-TZVP for q<0), Opt/Freq + SP",Acetonitrile,Nitrile,SMD,35.688,2.903636,V vs Ag/AgCl,Ag/AgCl,adiabatic_gibbs_single_pass_1M,7.468897,7.380636,,,,independent DFT target,clean,,tier2-directive-jojo-v4,/Users/shichen/GitHub/20260707/tier2/output/descriptors/redox_dft.csv,4
ClO4−,,JVA002,[O-][Cl+3]([O-])([O-])[O-],"wB97X-D3/def2-TZVPD//wB97X-D3/def2-SVP, Opt/Freq + SP",Propylene carbonate,Cyclic carbonate,SMD (library or project-approved custom parameters),64.92,3.23565940,V vs Ag/AgCl,Ag/AgCl,"adiabatic Gibbs oxidation potential, 1 M",,7.71265940,,,,independent DFT target,clean,,validation-tier2-d25-v1,/Users/shichen/GitHub/20260707/validation/runs/20260727-jhtvs-validation-anion-modefollow-v6/tier2/results/descriptors.csv,24
HSO4-,,CE06,OS(=O)(=O)[O-],"wB97X-D3/def2-TZVPD//wB97X-D3/def2-TZVP (ma-def2-TZVP for q<0), Opt/Freq + SP",Water,Aqueous,SMD,78.355,2.778949,V vs Ag/AgCl,Ag/AgCl,adiabatic_gibbs_single_pass_1M,7.337862,7.255949,,,,independent DFT target,clean,,tier2-directive-jojo-v4,/Users/shichen/GitHub/20260707/tier2/output/descriptors/redox_dft.csv,7
OTf-,,CE12,O=S(=O)([O-])C(F)(F)F,"wB97X-D3/def2-TZVPD//wB97X-D3/def2-TZVP (ma-def2-TZVP for q<0), Opt/Freq + SP",Acetonitrile,Nitrile,SMD,35.688,2.841399,V vs Ag/AgCl,Ag/AgCl,adiabatic_gibbs_single_pass_1M,7.419495,7.318399,,,,independent DFT target,clean,,tier2-directive-jojo-v4,/Users/shichen/GitHub/20260707/tier2/output/descriptors/redox_dft.csv,13
OTf− (CF3SO3−),,JVA004,O=S(=O)([O-])C(F)(F)F,"wB97X-D3/def2-TZVPD//wB97X-D3/def2-SVP, Opt/Freq + SP",Propylene carbonate,Cyclic carbonate,SMD (library or project-approved custom parameters),64.92,3.11791471,V vs Ag/AgCl,Ag/AgCl,"adiabatic Gibbs oxidation potential, 1 M",,7.59491471,,,,independent DFT target,clean,Adiabatic oxidation descriptor using the clean q=-1 parent state and the lowest-Gibbs clean intact q=0 mode-follow minimum.,validation-tier2-mode-follow-v1,/Users/shichen/GitHub/20260707/validation/runs/20260727-jhtvs-validation-anion-modefollow-v6/tier2/results/descriptors.csv,26
PF6-,,CE01,F[P-](F)(F)(F)(F)F,"wB97X-D3/def2-TZVPD//wB97X-D3/def2-TZVP (ma-def2-TZVP for q<0), Opt/Freq + SP",Acetonitrile,Nitrile,SMD,35.688,4.661824,V vs Ag/AgCl,Ag/AgCl,adiabatic_gibbs_single_pass_1M,9.385337,9.138824,,,,independent DFT target,flagged,q+0 base state flagged fragmented,tier2-directive-jojo-v4,/Users/shichen/GitHub/20260707/tier2/output/descriptors/redox_dft.csv,2
TFSI-,,CE04,O=S(=O)(C(F)(F)F)[N-]S(=O)(=O)C(F)(F)F,"wB97X-D3/def2-TZVPD//wB97X-D3/def2-TZVP (ma-def2-TZVP for q<0), Opt/Freq + SP",Acetonitrile,Nitrile,SMD,35.688,2.858475,V vs Ag/AgCl,Ag/AgCl,adiabatic_gibbs_single_pass_1M,7.403905,7.335475,,,,independent DFT target,clean,,tier2-directive-jojo-v4,/Users/shichen/GitHub/20260707/tier2/output/descriptors/redox_dft.csv,5
