record_id,property,species,environment,n_units,experimental_value,computed_value,unit,method,calibrated_tier1,tier2_dft,source,source_url,source_file,source_location,protocol_or_conditions,normalization
AP-UE94-CLO4,Anion Eox,ClO4−,Propylene carbonate,,3.144,4.02148731,V vs Ag/AgCl,Calibrated Tier-1,4.02148731,3.2356594,"M. Ue, K. Ida, S. Mori, J. Electrochem. Soc. 1994, 141, 2989-2996.",https://doi.org/10.1149/1.2059270,Ue_1994_J._Electrochem._Soc._141_2989.pdf,Table II and accompanying anion-stability discussion,0.65 M Et4N[ClO4−] in propylene carbonate; Current density exceeds 1 mA cm^-2,Nominal SCE -> Ag/AgCl(sat. KCl) shift +0.044 V.
AP-UE94-OTF,Anion Eox,OTf−,Propylene carbonate,,3.144,2.8264787,V vs Ag/AgCl,Calibrated Tier-1,2.8264787,3.11791471,"M. Ue, K. Ida, S. Mori, J. Electrochem. Soc. 1994, 141, 2989-2996.",https://doi.org/10.1149/1.2059270,Ue_1994_J._Electrochem._Soc._141_2989.pdf,Table II and accompanying anion-stability discussion,0.65 M Et4N[OTf−] in propylene carbonate; Current density exceeds 1 mA cm^-2,Nominal SCE -> Ag/AgCl(sat. KCl) shift +0.044 V.
AP-UETHESIS-LICLO4,Anion Eox,ClO4−,Propylene carbonate,,3.144,4.02148731,V vs Ag/AgCl,Calibrated Tier-1,4.02148731,3.2356594,"M. Ue, Preparation and Properties of Organic Electrolytes for Electrochemical Devices, University of Tokyo, 1994.",https://repository.dl.itc.u-tokyo.ac.jp/records/2908,301148-2.pdf,"Chapter 4.2, Table 6",1.0 M Li[ClO4−] in propylene carbonate; Current density exceeds 1 mA cm^-2,Nominal reported SCE -> Ag/AgCl shift +0.044 V.
AP-UETHESIS-LIOTF,Anion Eox,OTf−,Propylene carbonate,,3.144,2.8264787,V vs Ag/AgCl,Calibrated Tier-1,2.8264787,3.11791471,"M. Ue, Preparation and Properties of Organic Electrolytes for Electrochemical Devices, University of Tokyo, 1994.",https://repository.dl.itc.u-tokyo.ac.jp/records/2908,301148-2.pdf,"Chapter 4.2, Table 6",1.0 M Li[OTf−] in propylene carbonate; Current density exceeds 1 mA cm^-2,Nominal reported SCE -> Ag/AgCl shift +0.044 V.
AP-UE97-CLO4,Anion Eox,ClO4−,Propylene carbonate,,2.8599999999999994,4.02148731,V vs Ag/AgCl,Calibrated Tier-1,4.02148731,3.2356594,"M. Ue, M. Takeda, M. Takehara, S. Mori, J. Electrochem. Soc. 1997, 144, 2684-2688.",https://doi.org/10.1149/1.1837882,Ue_1997_J._Electrochem._Soc._144_2684 (3).pdf,Tables I-II and electrochemical-stability discussion,0.65 M Et4N[ClO4−] in propylene carbonate; 1 mA cm^-2,Nominal project conversion E(vs Ag/AgCl) = E(vs Li/Li+) - 3.24 V; nonaqueous junction effects are not corrected.
AP-UE97-OTF,Anion Eox,OTf−,Propylene carbonate,,2.76,2.8264787,V vs Ag/AgCl,Calibrated Tier-1,2.8264787,3.11791471,"M. Ue, M. Takeda, M. Takehara, S. Mori, J. Electrochem. Soc. 1997, 144, 2684-2688.",https://doi.org/10.1149/1.1837882,Ue_1997_J._Electrochem._Soc._144_2684 (3).pdf,Tables I-II and electrochemical-stability discussion,0.65 M Et4N[OTf−] in propylene carbonate; 1 mA cm^-2,Nominal project conversion E(vs Ag/AgCl) = E(vs Li/Li+) - 3.24 V; nonaqueous junction effects are not corrected.
AP-UE97-TFSI,Anion Eox,TFSI−,Propylene carbonate,,3.0599999999999996,3.01732464,V vs Ag/AgCl,Calibrated Tier-1,3.01732464,3.06920906,"M. Ue, M. Takeda, M. Takehara, S. Mori, J. Electrochem. Soc. 1997, 144, 2684-2688.",https://doi.org/10.1149/1.1837882,Ue_1997_J._Electrochem._Soc._144_2684 (3).pdf,Tables I-II and electrochemical-stability discussion,0.65 M Et4N[TFSI−] in propylene carbonate; 1 mA cm^-2,Nominal project conversion E(vs Ag/AgCl) = E(vs Li/Li+) - 3.24 V; nonaqueous junction effects are not corrected.
AP-BUZZEO-CLO4-AU,Anion Eox,ClO4−,Acetonitrile,,2.924,3.99622015,V vs Ag/AgCl,Calibrated Tier-1,3.99622015,2.903636,"M. C. Buzzeo, C. Hardacre, R. G. Compton, ChemPhysChem 2006, 7, 176-180.",https://doi.org/10.1002/cphc.200500361,Primary source carried forward from prior audit,Table 1,0.1 M TBAP in acetonitrile; Anodic limiting current reaches 1×10^-7 A,"Nominal project conversion Fc+/Fc(ACN) -> SCE +0.380 V, then SCE -> Ag/AgCl +0.044 V; total +0.424 V."
AP-BUZZEO-CLO4-PT,Anion Eox,ClO4−,Acetonitrile,,3.024,3.99622015,V vs Ag/AgCl,Calibrated Tier-1,3.99622015,2.903636,"M. C. Buzzeo, C. Hardacre, R. G. Compton, ChemPhysChem 2006, 7, 176-180.",https://doi.org/10.1002/cphc.200500361,Primary source carried forward from prior audit,Table 1,0.1 M TBAP in acetonitrile; Anodic limiting current reaches 1×10^-7 A,"Nominal project conversion Fc+/Fc(ACN) -> SCE +0.380 V, then SCE -> Ag/AgCl +0.044 V; total +0.424 V."
AP-BUZZEO-TFSI-EMIM-AU,Anion Eox,TFSI−,Acetonitrile,,3.024,3.00030702,V vs Ag/AgCl,Calibrated Tier-1,3.00030702,2.858475,"M. C. Buzzeo, C. Hardacre, R. G. Compton, ChemPhysChem 2006, 7, 176-180.",https://doi.org/10.1002/cphc.200500361,Primary source carried forward from prior audit,Table 1,0.1 M [C2mim][NTf2] in acetonitrile; Anodic limiting current reaches 1×10^-7 A,"Nominal project conversion Fc+/Fc(ACN) -> SCE +0.380 V, then SCE -> Ag/AgCl +0.044 V; total +0.424 V."
