Molecule,Family,Species_ID,SMILES,Theory_Level,Implicit_Solvent,Implicit_Solvent_Family,Solvation_Model,Dielectric_Constant,Value,Unit,Reference_Electrode,Eox_Definition,Raw_AIP_eV,DeltaG_Ox_eV,Calibration_Channel,Calibration_Model,Calibration_RMSE_V,Calibration_Status,QC_Status,QC_Notes,Workflow_Revision,Source_File,Source_Row
Acetonitrile,Nitrile,CS01,CC#N,"wB97X-D3/def2-TZVPD//wB97X-D3/def2-TZVP (ma-def2-TZVP for q<0), Opt/Freq + SP",Acetonitrile,Nitrile,SMD,35.688,4.454990,V vs Ag/AgCl,Ag/AgCl,adiabatic_gibbs_single_pass_1M,9.114864,8.931990,,,,independent DFT target,clean,,tier2-directive-jojo-v4,/Users/shichen/GitHub/20260707/tier2/output/descriptors/redox_dft.csv,40
Acetonitrile,Nitrile,JVS001,CC#N,"wB97X-D3/def2-TZVPD//wB97X-D3/def2-SVP, Opt/Freq + SP",Acetonitrile (self/neat),Nitrile,SMD (library or project-approved custom parameters),35.688,4.45321980,V vs Ag/AgCl,Ag/AgCl,"adiabatic Gibbs oxidation potential, 1 M",,8.93021980,,,,independent DFT target,clean,,validation-tier2-d25-v1,/Users/shichen/GitHub/20260707/validation/runs/20260727-jhtvs-validation-anion-modefollow-v6/tier2/results/descriptors.csv,14
Benzonitrile,Nitrile,CS13,N#Cc1ccccc1,"wB97X-D3/def2-TZVPD//wB97X-D3/def2-TZVP (ma-def2-TZVP for q<0), Opt/Freq + SP",Benzonitrile,Nitrile,SMD,25.592,2.598069,V vs Ag/AgCl,Ag/AgCl,adiabatic_gibbs_single_pass_1M,7.173433,7.075069,,,,independent DFT target,clean,,tier2-directive-jojo-v4,/Users/shichen/GitHub/20260707/tier2/output/descriptors/redox_dft.csv,49
Dichloromethane,Halogenated solvent,CS08,ClCCl,"wB97X-D3/def2-TZVPD//wB97X-D3/def2-TZVP (ma-def2-TZVP for q<0), Opt/Freq + SP",Dichloromethane,Halogenated solvent,SMD,8.93,4.223746,V vs Ag/AgCl,Ag/AgCl,adiabatic_gibbs_single_pass_1M,8.839672,8.700746,,,,independent DFT target,clean,reduction review flag basis_sensitive_state_ambiguous: Intact ma-def2-TZVP anion is only a local minimum; compare explicit fragment basins before calibration,tier2-directive-jojo-v4,/Users/shichen/GitHub/20260707/tier2/output/descriptors/redox_dft.csv,46
Dichloromethane (DCM),Halogenated solvent,JVS009,ClCCl,"wB97X-D3/def2-TZVPD//wB97X-D3/def2-SVP, Opt/Freq + SP",Dichloromethane (DCM) (self/neat),Halogenated solvent,SMD (library or project-approved custom parameters),8.93,4.23084356,V vs Ag/AgCl,Ag/AgCl,"adiabatic Gibbs oxidation potential, 1 M",,8.70784356,,,,independent DFT target,clean,,validation-tier2-d25-v1,/Users/shichen/GitHub/20260707/validation/runs/20260727-jhtvs-validation-anion-modefollow-v6/tier2/results/descriptors.csv,22
Dimethyl sulfoxide (DMSO),Sulfoxide,JVS007,CS(C)=O,"wB97X-D3/def2-TZVPD//wB97X-D3/def2-SVP, Opt/Freq + SP",Dimethyl sulfoxide (DMSO) (self/neat),Sulfoxide,SMD (library or project-approved custom parameters),46.826,1.71586382,V vs Ag/AgCl,Ag/AgCl,"adiabatic Gibbs oxidation potential, 1 M",,6.19286382,,,,independent DFT target,clean,,validation-tier2-d25-v1,/Users/shichen/GitHub/20260707/validation/runs/20260727-jhtvs-validation-anion-modefollow-v6/tier2/results/descriptors.csv,20
DMF,Amide,CS03,CN(C)C=O,"wB97X-D3/def2-TZVPD//wB97X-D3/def2-TZVP (ma-def2-TZVP for q<0), Opt/Freq + SP",DMF,Amide,SMD,37.219,1.902714,V vs Ag/AgCl,Ag/AgCl,adiabatic_gibbs_single_pass_1M,6.464241,6.379714,,,,independent DFT target,clean,,tier2-directive-jojo-v4,/Users/shichen/GitHub/20260707/tier2/output/descriptors/redox_dft.csv,41
DMSO,Sulfoxide,CS04,CS(C)=O,"wB97X-D3/def2-TZVPD//wB97X-D3/def2-TZVP (ma-def2-TZVP for q<0), Opt/Freq + SP",DMSO,Sulfoxide,SMD,46.826,1.691709,V vs Ag/AgCl,Ag/AgCl,adiabatic_gibbs_single_pass_1M,6.208223,6.168709,,,,independent DFT target,clean,,tier2-directive-jojo-v4,/Users/shichen/GitHub/20260707/tier2/output/descriptors/redox_dft.csv,42
Nitrobenzene,Nitro solvent,CS07,O=[N+]([O-])c1ccccc1,"wB97X-D3/def2-TZVPD//wB97X-D3/def2-TZVP (ma-def2-TZVP for q<0), Opt/Freq + SP",Nitrobenzene,Nitro solvent,SMD,34.809,2.591902,V vs Ag/AgCl,Ag/AgCl,adiabatic_gibbs_single_pass_1M,7.188365,7.068902,,,,independent DFT target,clean,,tier2-directive-jojo-v4,/Users/shichen/GitHub/20260707/tier2/output/descriptors/redox_dft.csv,45
Nitromethane,Nitro solvent,CS06,C[N+](=O)[O-],"wB97X-D3/def2-TZVPD//wB97X-D3/def2-TZVP (ma-def2-TZVP for q<0), Opt/Freq + SP",Nitromethane,Nitro solvent,SMD,36.562,3.938197,V vs Ag/AgCl,Ag/AgCl,adiabatic_gibbs_single_pass_1M,8.528407,8.415197,,,,independent DFT target,clean,,tier2-directive-jojo-v4,/Users/shichen/GitHub/20260707/tier2/output/descriptors/redox_dft.csv,44
Nitromethane,Nitro solvent,JVS003,C[N+](=O)[O-],"wB97X-D3/def2-TZVPD//wB97X-D3/def2-SVP, Opt/Freq + SP",Nitromethane (self/neat),Nitro solvent,SMD (library or project-approved custom parameters),36.562,3.94099698,V vs Ag/AgCl,Ag/AgCl,"adiabatic Gibbs oxidation potential, 1 M",,8.41799698,,,,independent DFT target,clean,,validation-tier2-d25-v1,/Users/shichen/GitHub/20260707/validation/runs/20260727-jhtvs-validation-anion-modefollow-v6/tier2/results/descriptors.csv,16
