phase,calculation_key,state_role,job_id,job_class,state_id,solvent_id,formal_charge,multiplicity,input_path,input_sha256,output_path,geometry_key,geometry_sha256,coordinate_payload_sha256,smd_registry_row_sha256,smd_payload_sha256,exact_reuse_key,workflow_revision,method_id,thermochemistry_convention_id,functional,optfreq_basis,final_sp_basis,final_sp_hirshfeld,nprocs,maxcore_mb_per_rank,planning_core_h,status
A,acetonitrile__self,oxidized,R5EOX_A01_OX,optfreq,acetonitrile__self_oxidized_q1_m2,S001,1,2,diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A01_OX/R5EOX_A01_OX.inp,df980f3387a49e519a4305057f1ed6e88300014fcf201a1e39d9ebdc9c004b7a,diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A01_OX/R5EOX_A01_OX.out,explicit_r5:acetonitrile__self,3527b064df265fde41aa1441ecf691b2e8ec9ec0f7d4732bd122f91ff8f9a626,39af9b6b0fae82bbc5f53b1faaa027221493d5246fb2e385a649b7912997fcbb,33991649687f2d2b981d6e03785961ad9457eb27eac9b175c78aef6ac9c44c11,2ac42ed3e22fe59dd5791310aba80df0f44a97fce93a0f99bfc908a252e00b57,99f0733bb018de0855cc0a3d8714b93abf4d9c2bfc5a6f0a5064d871f35c0b05,jhtvs-ft0806-explicit-r5-eox-v1,T2_wB97X-D3_def2-SVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_Hirshfeld_v1,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,wB97X-D3,def2-SVP,def2-TZVPD,true,8,3000,192,ready
A,acetonitrile__self,reduced,R5EOX_A01_RED,optfreq,acetonitrile__self_reduced_q0_m1,S001,0,1,diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A01_RED/R5EOX_A01_RED.inp,f1628a0e45c75c77333d8bba00a34d3536563066cab27c16c18f7cd9a46f0e92,diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A01_RED/R5EOX_A01_RED.out,explicit_r5:acetonitrile__self,3527b064df265fde41aa1441ecf691b2e8ec9ec0f7d4732bd122f91ff8f9a626,39af9b6b0fae82bbc5f53b1faaa027221493d5246fb2e385a649b7912997fcbb,33991649687f2d2b981d6e03785961ad9457eb27eac9b175c78aef6ac9c44c11,2ac42ed3e22fe59dd5791310aba80df0f44a97fce93a0f99bfc908a252e00b57,bd5ffa9124e399b49628c7902fe52cbd3190c21aee944600caaa3beb86527e9a,jhtvs-ft0806-explicit-r5-eox-v1,T2_wB97X-D3_def2-SVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_v1,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,wB97X-D3,def2-SVP,def2-TZVPD,false,8,3000,192,ready
A,clo4__acetonitrile,oxidized,R5EOX_A04_OX,optfreq,clo4__acetonitrile_oxidized_q0_m2,S001,0,2,diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A04_OX/R5EOX_A04_OX.inp,fe14507a9609561acc15e9390549c670f139aaf65a76f3b0969dd3cf02443b9c,diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A04_OX/R5EOX_A04_OX.out,explicit_r5:clo4__acetonitrile,954705d733d602fa42e84725332e23026e3925d8348e80995272b5bdca795b25,1d2ca99de0461b39ddeeb27355f56cfb175b808e64c1ee7bc35b265832818157,33991649687f2d2b981d6e03785961ad9457eb27eac9b175c78aef6ac9c44c11,2ac42ed3e22fe59dd5791310aba80df0f44a97fce93a0f99bfc908a252e00b57,5bf7d9b54aa0d82f32f133c0336b17b4bd5ab143d3ccf23a373b2e0b764b718d,jhtvs-ft0806-explicit-r5-eox-v1,T2_wB97X-D3_def2-TZVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_Hirshfeld_v1,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,wB97X-D3,def2-TZVP,def2-TZVPD,true,8,3000,192,ready
A,clo4__acetonitrile,reduced,R5EOX_A04_RED,optfreq,clo4__acetonitrile_reduced_q-1_m1,S001,-1,1,diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A04_RED/R5EOX_A04_RED.inp,ba03d4a98c9a166b02c8dd565d1176f1d38baa6e2a46351ebd164df9661aae69,diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A04_RED/R5EOX_A04_RED.out,explicit_r5:clo4__acetonitrile,954705d733d602fa42e84725332e23026e3925d8348e80995272b5bdca795b25,1d2ca99de0461b39ddeeb27355f56cfb175b808e64c1ee7bc35b265832818157,33991649687f2d2b981d6e03785961ad9457eb27eac9b175c78aef6ac9c44c11,2ac42ed3e22fe59dd5791310aba80df0f44a97fce93a0f99bfc908a252e00b57,4b4555a6bb713f791358b0f4d8916eb3e09f43304c0e4f15b5747d87ec3f038c,jhtvs-ft0806-explicit-r5-eox-v1,T2_wB97X-D3_ma-def2-TZVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_v1,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,wB97X-D3,ma-def2-TZVP,def2-TZVPD,false,8,3000,192,ready
A,clo4__propylene_carbonate,oxidized,R5EOX_A06_OX,optfreq,clo4__propylene_carbonate_oxidized_q0_m2,S003,0,2,diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A06_OX/R5EOX_A06_OX.inp,811643f005d0a5070477f81b61caca269f00f3b0c2f62632c205047b30c50304,diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A06_OX/R5EOX_A06_OX.out,explicit_r5:clo4__propylene_carbonate,433652f1e3580bf9a5a8c363e8f75767e696d2784dae36827a35188ce0c8dd9a,366b46c8df6ef8b858cc177c86b1de9b81480df2155124332764564889a9d4ed,94b7361eaf5260ed8fd9bcbaacaf98b81c0cd78f856ef20334bbdf0a14579d35,8508d5bf039f7a04d859bedf9951b9127cbbbf245c79170c66812080a3ec5460,4ea4d7bcee13e49846dac08555c22699ecdef6ce0d3af6ab5acd08820b28d16b,jhtvs-ft0806-explicit-r5-eox-v1,T2_wB97X-D3_def2-SVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_Hirshfeld_v1,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,wB97X-D3,def2-SVP,def2-TZVPD,true,8,3000,192,ready
A,clo4__propylene_carbonate,reduced,R5EOX_A06_RED,optfreq,clo4__propylene_carbonate_reduced_q-1_m1,S003,-1,1,diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A06_RED/R5EOX_A06_RED.inp,2cda7e2302fb1943378bf3ff7f7fac4542951b4644b2dda044d0e929ad08d017,diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A06_RED/R5EOX_A06_RED.out,explicit_r5:clo4__propylene_carbonate,433652f1e3580bf9a5a8c363e8f75767e696d2784dae36827a35188ce0c8dd9a,366b46c8df6ef8b858cc177c86b1de9b81480df2155124332764564889a9d4ed,94b7361eaf5260ed8fd9bcbaacaf98b81c0cd78f856ef20334bbdf0a14579d35,8508d5bf039f7a04d859bedf9951b9127cbbbf245c79170c66812080a3ec5460,536890d907f4f7c91653d9d31fd0f0591d1c3eb24fa35715f9d6c8136d82e66e,jhtvs-ft0806-explicit-r5-eox-v1,T2_wB97X-D3_def2-SVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_v1,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,wB97X-D3,def2-SVP,def2-TZVPD,false,8,3000,192,ready
A,gamma_butyrolactone__self,oxidized,R5EOX_A03_OX,optfreq,gamma_butyrolactone__self_oxidized_q1_m2,S011,1,2,diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A03_OX/R5EOX_A03_OX.inp,339812701aead7b86c1f980156a49c155e6e17b38cf199b0282b1fd7d657b2c1,diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A03_OX/R5EOX_A03_OX.out,explicit_r5:gamma_butyrolactone__self,ce9fe8ebe5ffc0b7da0e814a3a905f712ed896c70e2220a44d97ab0dd3f2556b,5c8b1c03e4499a8bfee4cb2a5385d82d82d892dfd831541065de19b3cc250976,6291d651ef2f652d7d62ed30a194c0b1850313b02754f55ad0583ff3834bb373,a30bedf4bdd1a1f4fe3537eff26456de80870e0d221a1d3bb9427086b6dad759,ef79724aadb6bb3823c92fe41438b1b4ac7ffb9822dbd38dca5a1e4aabd3967d,jhtvs-ft0806-explicit-r5-eox-v1,T2_wB97X-D3_def2-SVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_Hirshfeld_v1,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,wB97X-D3,def2-SVP,def2-TZVPD,true,8,3000,192,ready
A,gamma_butyrolactone__self,reduced,R5EOX_A03_RED,optfreq,gamma_butyrolactone__self_reduced_q0_m1,S011,0,1,diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A03_RED/R5EOX_A03_RED.inp,9610f366f8a191eb86b893e6fade7a57c7f00523e641235ddc3bc2992b418923,diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A03_RED/R5EOX_A03_RED.out,explicit_r5:gamma_butyrolactone__self,ce9fe8ebe5ffc0b7da0e814a3a905f712ed896c70e2220a44d97ab0dd3f2556b,5c8b1c03e4499a8bfee4cb2a5385d82d82d892dfd831541065de19b3cc250976,6291d651ef2f652d7d62ed30a194c0b1850313b02754f55ad0583ff3834bb373,a30bedf4bdd1a1f4fe3537eff26456de80870e0d221a1d3bb9427086b6dad759,e35e72a2bcb3b0db7748ff23d0b66edbf79e8107234be6928a8b08c6993e9163,jhtvs-ft0806-explicit-r5-eox-v1,T2_wB97X-D3_def2-SVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_v1,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,wB97X-D3,def2-SVP,def2-TZVPD,false,8,3000,192,ready
A,propylene_carbonate__self,oxidized,R5EOX_A02_OX,optfreq,propylene_carbonate__self_oxidized_q1_m2,S003,1,2,diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A02_OX/R5EOX_A02_OX.inp,8356ade3876283634a407224c0535fefc2c75ff43e8a622e5d85b371f54741a6,diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A02_OX/R5EOX_A02_OX.out,explicit_r5:propylene_carbonate__self,83a82ffc2615592cd9412185beaefc4fdc09f699e23900a8d6bdb45fa1e99644,8fe00530b89afc50447d1405f63d1094eeea652da4065ec1f13909903714a11d,94b7361eaf5260ed8fd9bcbaacaf98b81c0cd78f856ef20334bbdf0a14579d35,8508d5bf039f7a04d859bedf9951b9127cbbbf245c79170c66812080a3ec5460,25c1e8b70f0b92f763ff039bd281e3bfee74ad98c72c677593218d4e9f29116f,jhtvs-ft0806-explicit-r5-eox-v1,T2_wB97X-D3_def2-SVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_Hirshfeld_v1,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,wB97X-D3,def2-SVP,def2-TZVPD,true,8,3000,192,ready
A,propylene_carbonate__self,reduced,R5EOX_A02_RED,optfreq,propylene_carbonate__self_reduced_q0_m1,S003,0,1,diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A02_RED/R5EOX_A02_RED.inp,e824bdd7f65f257f280054f6e5ff0b385c68214af7c694e216905322ca3ec5e2,diagnostics/explicit_solvation_eox_r5/orca/jobs/R5EOX_A02_RED/R5EOX_A02_RED.out,explicit_r5:propylene_carbonate__self,83a82ffc2615592cd9412185beaefc4fdc09f699e23900a8d6bdb45fa1e99644,8fe00530b89afc50447d1405f63d1094eeea652da4065ec1f13909903714a11d,94b7361eaf5260ed8fd9bcbaacaf98b81c0cd78f856ef20334bbdf0a14579d35,8508d5bf039f7a04d859bedf9951b9127cbbbf245c79170c66812080a3ec5460,cb2e03b8809f90cd82c08134484f3db8407ea8b7ea91a5f57028dd7771a0c32a,jhtvs-ft0806-explicit-r5-eox-v1,T2_wB97X-D3_def2-SVP_OptFreq_def2-TZVPD-SP_SMD_ExplicitR5_v1,orca_298.15K_1atm_QuasiRRHO_project_1M_v1,wB97X-D3,def2-SVP,def2-TZVPD,false,8,3000,192,ready
