reaction_id,reaction_class,role,parent_id,parent_name,parent_smiles,family,selected_for_calibration,split,anchor_type,solvent_count,solvent_ids,selection_basis,source_id
RXN_MOX_M001,redox,monomer,M001,Thiophene,c1ccsc1,Thiophenes,1,train,,4,S001;S007;S022;S015,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M007,redox,monomer,M007,3-Octylthiophene,CCCCCCCCc1ccsc1,Thiophenes,1,test,,4,S024;S004;S011;S016,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M013,redox,monomer,M013,Thiophene-3-carbonitrile,N#Cc1ccsc1,Thiophenes,1,train,,4,S021;S005;S012;S017,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M014,redox,monomer,M014,Methyl thiophene-3-carboxylate,COC(=O)c1ccsc1,Thiophenes,1,train,,4,S014;S002;S006;S018,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M017,redox,monomer,M017,"3,4-Diethylthiophene",CCc1cscc1CC,Thiophenes,1,train,,4,S008;S020;S013;S003,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M022,redox,monomer,M022,"3,4-Ethylenedioxythiophene (EDOT)",c1scc2c1OCCO2,Thiophenes,1,train,train_full25,25,S001;S002;S003;S004;S005;S006;S007;S008;S009;S010;S011;S012;S013;S014;S015;S016;S017;S018;S019;S020;S021;S022;S023;S024;S025,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M024,redox,monomer,M024,"2,2′-Bithiophene",c1csc(-c2cccs2)c1,Thiophenes,1,train,,4,S023;S004;S011;S017,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M026,redox,monomer,M026,Pyrrole,c1cc[nH]c1,Pyrroles,1,train,,4,S024;S005;S012;S018,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M027,redox,monomer,M027,N-Methylpyrrole,Cn1cccc1,Pyrroles,1,test,,4,S021;S002;S006;S015,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M031,redox,monomer,M031,N-Octylpyrrole,CCCCCCCCn1cccc1,Pyrroles,1,val,,4,S014;S020;S013;S003,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M036,redox,monomer,M036,"3,4-Ethylenedioxypyrrole (EDOP)",c1[nH]cc2c1OCCO2,Pyrroles,1,train,,4,S001;S007;S022;S017,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M038,redox,monomer,M038,Furan,c1ccoc1,Furans,1,train,,4,S025;S004;S011;S018,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M042,redox,monomer,M042,3-Octylfuran,CCCCCCCCc1ccoc1,Furans,1,train,,4,S023;S005;S012;S015,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M047,redox,monomer,M047,"3,4-Dimethoxyfuran",COc1cocc1OC,Furans,1,val,,4,S024;S002;S006;S016,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M048,redox,monomer,M048,"2,2′-Bifuran",c1coc(-c2ccco2)c1,Furans,1,test,,4,S021;S020;S013;S003,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M050,redox,monomer,M050,Selenophene,c1cc[se]c1,Selenophenes,1,train,,4,S001;S007;S022;S018,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M055,redox,monomer,M055,3-Octylselenophene,CCCCCCCCc1cc[se]c1,Selenophenes,1,train,,4,S008;S004;S011;S015,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
RXN_MOX_M058,redox,monomer,M058,"3,4-Ethylenedioxyselenophene (EDOS)",c1[se]cc2c1OCCO2,Selenophenes,1,val,,4,S025;S005;S012;S016,family quota + Morgan/descriptor maximin; balanced 4-stratum medium assignment or full25 anchor,SRC_FULLSPACE_MONOMER;SRC_HANDOFF_SPEC
