reaction_id,reaction_class,role,parent_id,reaction_name,stoichiometry,equation,primary_target,derived_target,internal_unit,solvent_policy,selected_for_calibration,split,anchor_type,assigned_solvent_ids,source_id
RXN_MOX_M001,redox,monomer,M001,Oxidation of Thiophene,M001_Q0_M1:-1;M001_QP1_M2:+1,M001_Q0_M1 -> M001_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,1,train,,S001;S007;S022;S015,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M002,redox,monomer,M002,Oxidation of 3-Methylthiophene,M002_Q0_M1:-1;M002_QP1_M2:+1,M002_Q0_M1 -> M002_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M003,redox,monomer,M003,Oxidation of 3-Ethylthiophene,M003_Q0_M1:-1;M003_QP1_M2:+1,M003_Q0_M1 -> M003_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M004,redox,monomer,M004,Oxidation of 3-Propylthiophene,M004_Q0_M1:-1;M004_QP1_M2:+1,M004_Q0_M1 -> M004_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M005,redox,monomer,M005,Oxidation of 3-Butylthiophene,M005_Q0_M1:-1;M005_QP1_M2:+1,M005_Q0_M1 -> M005_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M006,redox,monomer,M006,Oxidation of 3-Hexylthiophene (3HT),M006_Q0_M1:-1;M006_QP1_M2:+1,M006_Q0_M1 -> M006_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M007,redox,monomer,M007,Oxidation of 3-Octylthiophene,M007_Q0_M1:-1;M007_QP1_M2:+1,M007_Q0_M1 -> M007_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,1,test,,S024;S004;S011;S016,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M008,redox,monomer,M008,Oxidation of 3-Methoxythiophene,M008_Q0_M1:-1;M008_QP1_M2:+1,M008_Q0_M1 -> M008_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M009,redox,monomer,M009,Oxidation of 3-Ethoxythiophene,M009_Q0_M1:-1;M009_QP1_M2:+1,M009_Q0_M1 -> M009_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
RXN_MOX_M010,redox,monomer,M010,Oxidation of 3-Fluorothiophene,M010_Q0_M1:-1;M010_QP1_M2:+1,M010_Q0_M1 -> M010_QP1_M2 + e-,deltaG_ox_T2_SMD,Eox_vs_AgAgCl,eV,all project media at inference,0,,,,SRC_PROJECT_ORIGIN;SRC_PROJECT_TIER2_CURRENT
