state_id,parent_id,entity_type,species_name,smiles_or_generator,canonical_smiles,family,target_object_definition,state_label,formal_charge,multiplicity,reference_geometry_protocol,reference_geometry_key,source_id
M001_Q0_M1,M001,monomer,Thiophene,c1ccsc1,c1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M001:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M001_QP1_M2,M001,monomer,Thiophene,c1ccsc1,c1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M001:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M002_Q0_M1,M002,monomer,3-Methylthiophene,Cc1ccsc1,Cc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M002:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M002_QP1_M2,M002,monomer,3-Methylthiophene,Cc1ccsc1,Cc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M002:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M003_Q0_M1,M003,monomer,3-Ethylthiophene,CCc1ccsc1,CCc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M003:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M003_QP1_M2,M003,monomer,3-Ethylthiophene,CCc1ccsc1,CCc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M003:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M004_Q0_M1,M004,monomer,3-Propylthiophene,CCCc1ccsc1,CCCc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M004:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M004_QP1_M2,M004,monomer,3-Propylthiophene,CCCc1ccsc1,CCCc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M004:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M005_Q0_M1,M005,monomer,3-Butylthiophene,CCCCc1ccsc1,CCCCc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M005:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M005_QP1_M2,M005,monomer,3-Butylthiophene,CCCCc1ccsc1,CCCCc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M005:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M006_Q0_M1,M006,monomer,3-Hexylthiophene (3HT),CCCCCCc1ccsc1,CCCCCCc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M006:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M006_QP1_M2,M006,monomer,3-Hexylthiophene (3HT),CCCCCCc1ccsc1,CCCCCCc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M006:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M007_Q0_M1,M007,monomer,3-Octylthiophene,CCCCCCCCc1ccsc1,CCCCCCCCc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M007:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M007_QP1_M2,M007,monomer,3-Octylthiophene,CCCCCCCCc1ccsc1,CCCCCCCCc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M007:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M008_Q0_M1,M008,monomer,3-Methoxythiophene,COc1ccsc1,COc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M008:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M008_QP1_M2,M008,monomer,3-Methoxythiophene,COc1ccsc1,COc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M008:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M009_Q0_M1,M009,monomer,3-Ethoxythiophene,CCOc1ccsc1,CCOc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M009:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M009_QP1_M2,M009,monomer,3-Ethoxythiophene,CCOc1ccsc1,CCOc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,radical_cation,1,2,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M009:{solvent_id}:q1:m2,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
M010_Q0_M1,M010,monomer,3-Fluorothiophene,Fc1ccsc1,Fc1ccsc1,Thiophenes,exact monomer registered in the supplied full-space table,neutral,0,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M010:{solvent_id}:q0:m1,SRC_FULLSPACE_MONOMER;SRC_PROJECT_TIER1_CURRENT
