job_id,state_id,solvent_id,reaction_ids,purposes,entity_type,species_name,family,formal_charge,multiplicity,split,use_for_training,start_geometry_source,start_geometry_key,start_geometry_hash,smd_parameter_temperature_K,thermochemistry_temperature_K,functional,optfreq_basis,final_sp_basis,ri_acceleration,scf_grid_geometry,thermochemistry,smd_vector_source,smd_parameter_status,nprocs,maxcore_mb_per_rank,planning_core_h,workflow_revision,method_id,output_fields,job_status,method_source_id
OF001,A005_Q0_M2,S001,RXN_AOX_A005,complete anion oxidation tuple,electrolyte_anion,Bis(trifluoromethanesulfonyl)imide (TFSI−),Lithium; Tetraalkylammonium,0,2,train,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:A005:S001:q0:m2,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,24.82,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF002,A005_QM1_M1,S001,RXN_AOX_A005,complete anion oxidation tuple,electrolyte_anion,Bis(trifluoromethanesulfonyl)imide (TFSI−),Lithium; Tetraalkylammonium,-1,1,train,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:A005:S001:q-1:m1,,298.15,298.15,wB97X-D3,ma-def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,24.82,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF003,D001_QP2_M1,S001,RXN_SIG_M001,complete sigma tuple; radical-cation state reused,sigma_complex_dication,Thiophene sigma-complex dication,Thiophenes,2,1,train,1,deterministic sigma construction then solvent-specific GFN2/ddCOSMO preoptimization with connectivity QC,surrogate:sigma_preopt:D001:S001:q2:m1,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,40.0,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF004,M001_Q0_M1,S001,RXN_MOX_M001,complete monomer oxidation tuple,monomer,Thiophene,Thiophenes,0,1,train,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M001:S001:q0:m1,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,24.82,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF005,M001_QP1_M2,S001,RXN_MOX_M001;RXN_SIG_M001,complete monomer oxidation tuple; reused by sigma tuple,monomer,Thiophene,Thiophenes,1,2,train,1,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:M001:S001:q1:m2,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,24.82,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF006,S001_Q0_M1,S001,RXN_SOX_S001,complete solvent self-oxidation tuple,solvent_oxidation_target,Acetonitrile (MeCN),Nitrile,0,1,train,1,self-medium Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:S001:S001:q0:m1,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,24.82,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF007,S001_QP1_M2,S001,RXN_SOX_S001,complete solvent self-oxidation tuple,solvent_oxidation_target,Acetonitrile (MeCN),Nitrile,1,2,train,1,self-medium Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:S001:S001:q1:m2,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,24.82,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF008,A004_Q0_M2,S002,RXN_AOX_A004,complete anion oxidation tuple,electrolyte_anion,Trifluoromethanesulfonate (OTf−),Tetraalkylammonium,0,2,test,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:A004:S002:q0:m2,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,24.82,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF009,A004_QM1_M1,S002,RXN_AOX_A004,complete anion oxidation tuple,electrolyte_anion,Trifluoromethanesulfonate (OTf−),Tetraalkylammonium,-1,1,test,0,solvent-specific Tier-1 GFN2/ddCOSMO optimized state geometry,tier1:redox:A004:S002:q-1:m1,,298.15,298.15,wB97X-D3,ma-def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,24.82,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
OF010,D077_QP2_M1,S002,RXN_SIG_M077,complete sigma tuple; radical-cation state reused,sigma_complex_dication,"3,6-Bis(EDOT-2-yl)-9-methylcarbazole sigma-complex dication",Carbazoles,2,1,train,1,deterministic sigma construction then solvent-specific GFN2/ddCOSMO preoptimization with connectivity QC,surrogate:sigma_preopt:D077:S002:q2:m1,,298.15,298.15,wB97X-D3,def2-TZVP,def2-TZVPD,RIJCOSX + def2/J,TightSCF; DEFGRID3; Opt Freq; tight geometry; MaxIter 200,298.15 K; 1 atm frequency; Quasi-RRHO; project 1 M composite Gibbs convention,solvent_smd_registry.csv,resolved_authoritative,8,3000,40.0,jhtvs-ft0806-optfreq-v3,T2_wB97X-D3_OptFreq_TZVPD-SP_SMD_v4,E_freq_Eh;G_minus_E_freq_Eh;E_final_SP_Eh;G_composite_1M_Eh;frequencies;optimized_geometry;QC_flags;echoed_smd_vector,planned,SRC_PROJECT_TIER2_CURRENT;SRC_ORCA61_SMD;SRC_HANDOFF_SPEC
