filename,format,rows,bytes,sha256,authority,description
00_START_HERE.md,md,,2193,85a937c23b0e83fd039deca1676165e7ba0ef2036cb4ee03a9910e5d2cae07aa,supporting,Bundle entry point and frozen counts
01_SCIENTIFIC_SPEC.md,md,,4909,fa50127778dcf2c5be9b4fa9d0ed905acb5d13229564164b70ce227b3f201a54,production,"Scientific targets, labels and model definition"
02_DATA_DICTIONARY.md,md,,2782,d7fd2a3bf6d2f082d70b53bcfc71fbeee3b671f68753454a165da593d02ac98a,supporting,"IDs, schemas, units and provenance rules"
03_ACCEPTANCE.md,md,,2839,129de90d92874d42815d2bf3ffb25f3ce639bc87d67b550ccc86ff6b6932279a,production,Implementation and validation acceptance criteria
AGENTS.md,md,,1405,51acc0475028ffd5d0cac6a0fdf77e606f317cfc2e95575c3e324d19de28dc4c,production,Repository-resident execution rules
CODEX_PROMPT.md,md,,9292,1aaba22794902920a157418d2584f6f480b83ff55acc1ccb3f4fe8ec2fdcea05,production,Direct implementation prompt for Codex
CODEX_CONTINUE_PROMPT.md,md,,2787,159cdc945d08d7e9fdef0d4d9fb1e57549c18f8e60d6863c425cde8737a96a76,production,Approved sigma-topology continuation instructions
SIGMA_TOPOLOGY_DECISION.md,md,,2368,3c6d96f24d196ce6d833a936e27f03af07a831681e196155010895d5a90e21f1,production,Frozen sigma topology decision and construction semantics
SMD_PARAMETER_DECISIONS.md,md,,6121,e82e5f9049a710945780315ca506fa0080abce3a19eca177b75b355625c54cd7,supporting,Resolved 25-medium parameter decisions
VALIDATION_REPORT.md,md,,1144,4746a28c6ff64105fc8bd1b375206d34fcca9e7eca2f2f2dd43ca4993cb5eedd,supporting,Sigma topology validation report
calibration_tuple_design.csv,csv,88,22731,2da5d552c3f1aad78e51d50428228f76e7decb88770e8c6030ed6429aba40429,production,88 reaction calibration design
compute_budget.csv,csv,5,824,dcddd4b9e5cc65f8c4249ef240694753562662a710d73583009cd075ac6660d4,production,Planned costs and hard guards
existing_tier2_reuse_inventory.csv,csv,0,216,980ba51d030cc361a2c0ca2d1f4429e3967bb557be78234a3ad501a3030e0b06,supporting,Exact-reuse inventory template
fullspace_predictions_template.csv,csv,0,368,7c181bdf70390935fffce57d8c9bbf7e80e0f2c0edd1616ea589bc851ceba570,supporting,Full-space prediction output schema
fullspace_reaction_registry.csv,csv,236,64047,44859ba062627b1d350cc87a6103085f1bd668b29398d8053bc6d3d0fe305344,production,236 reaction definitions
fullspace_state_registry.csv,csv,372,137051,8cab075ab020e4f63f0a0d5a7bda98cb038980517be8e6d6c2b30f9414f6d431,production,372 electronic states
optfreq_job_manifest.csv,csv,80,61493,63ba8e0ced6e4358c4979952cdce551f7282cae13469dfb73c130c2c4a65581a,production,80 complete-free-energy state jobs
package_manifest_sigma_addendum.csv,csv,7,1075,23d465a5f9eab6d714f301ba39ca0349d072e9c00aa2bc1f0564d4965e81dfd2,supporting,Source manifest for the approved sigma topology continuation bundle
reaction_final_labels.csv,csv,0,286,33e511ea4f25e84c3c33c9943bff22287127fdf817f8f3add83a67908445339d,supporting,Final reaction label schema
reaction_sp_labels.csv,csv,0,238,45a7aa098397b50bbaf434b57ff514ac15f87264a334e2fee5c04afcb0d5e5eb,supporting,Reaction SP label schema
solvent_smd_registry.csv,csv,25,32420,fd3a84bd53cae13941b6766e6d72cb287c2cb0a8ceb47c2a69e85fb22d9cd4bc,production,Sole production SMD authority
source_fullspace_electrolytes.csv,csv,20,2941,dce96254f79dd86659d857a249610720804bf2dc51104673220429e736523455,supporting,Supplied electrolyte snapshot
source_fullspace_hexamers.csv,csv,100,18691,591811f592d032728632b85ae35a270f4cb82308dd5d1631d05c44d4709052e2,production,Pinned explicit n=6 topology authority
source_fullspace_monomers.csv,csv,100,5572,a7781bfb8860257e1817131466ffa686c910c9c9ef7a428975924fcda5fdb3ed,supporting,Supplied monomer snapshot
source_fullspace_monomers_with_coupling.csv,csv,100,22148,46e446888323f895ac0ea882127bdb3e4c1e77d29bf830a583cbfd78f48821fd,production,Monomer registry with explicit coupling indices
source_fullspace_solvents.csv,csv,25,10757,c61f926a3aae371cab69209a43e333fd14f2c98e7b934d450d3463932cb0dc8f,supporting,Supplied solvent snapshot; provenance only for SMD
source_project_origin.md,md,,16345,db652d90ba0c77d08994575cae0157ec1498d60966f7d097b36f585589d1aad3,supporting,Original project context; not current method authority
source_registry.csv,csv,32,8417,877153a949d857fc7108797ab52a5557085784128733e6249fe747270f8cf5f6,supporting,Complete source and version registry
source_registry_sigma_addendum.csv,csv,4,1312,7bc6ceb2bdf3aaddc13604869861922b98266ba3ac689db922c65076259a96fd,supporting,Source registry rows supplied with the sigma continuation
sigma_coupling_topology.csv,csv,100,75395,81006564e712b536edc2253a89b74d557998a967bd9dcd0298d8055c57a432dd,production,Authoritative 100-row frozen sigma topology
sp_job_manifest.csv,csv,735,466999,4a4e192f021a882ceaafe37ad07a5cec9855a8b16a80d3f49c230967e08da454,production,735 fixed-geometry logical SP jobs
state_sp_labels.csv,csv,0,257,559e3ef4f0913047d3218fe350dc4f35aab05a9443e9e7de772dec966e0c91e7,supporting,State SP output schema
training_config.csv,csv,57,7557,8b525e041ffc4f7a001a686d71b4b52c7722ac3d4ea28dc1f4311b538f0fde76,production,Model/training configuration
