parent_id,sigma_state_id,reaction_id,monomer_name,family,source_monomer_smiles,source_hexamer_smiles,rdkit_atom_index_base,site_a_atom_index_0based,site_b_atom_index_0based,site_a_atom_map_1based,site_b_atom_map_1based,site_a_element,site_b_element,site_a_total_h_in_monomer,site_b_total_h_in_monomer,site_a_is_aromatic,site_b_is_aromatic,site_a_canonical_rank,site_b_canonical_rank,site_pair_symmetry_equivalent,link_atom_pair,repeat_link_rule,inter_repeat_bond_type,coupling_marker,coupling_smiles,coupling_atom_mapped_smiles,all_atom_mapped_smiles,hexamer_substructure_match_count,hexamer_exact_cover_count,hexamer_inter_repeat_bond_count,reconstructed_hexamer_matches_source,monomer_heavy_atom_count,monomer_formula,neutral_dimer_smiles,neutral_dimer_heavy_atom_count,neutral_dimer_formula,neutral_dimer_formula_is_2M_minus_H2,junction_copy1_atom_index_0based,junction_copy2_atom_index_0based,sigma_formula_expected,sigma_product_charge,sigma_product_multiplicity,sigma_geometry_semantics,topology_source,topology_status,topology_sha256
M001,D001_QP2_M1,RXN_SIG_M001,Thiophene,Thiophenes,c1ccsc1,c1csc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6cccs6)s5)s4)s3)s2)c1,0,2,4,3,5,C,C,1,1,True,True,2,2,True,C-C,copy_i.site_b--copy_i+1.site_a,single,I,Ic1ccc(I)s1,c1c[cH:1]s[cH:2]1,[cH:1]1[cH:2][cH:3][s:4][cH:5]1,6,1,5,True,5,C4H4S,c1csc(-c2cccs2)c1,10,C8H6S2,true,4,7,C8H8S2+2,2,1,neutral n=2 backbone at frozen link; add one H to each junction atom; target-medium GFN2/ddCOSMO preopt,frozen explicit n=6 hexamer,approved,d91b5366538573950dd039992050d34571fc5ef704d76a4f050a5a3b28ba9a44
M002,D002_QP2_M1,RXN_SIG_M002,3-Methylthiophene,Thiophenes,Cc1ccsc1,Cc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6C)cc5C)cc4C)cc3C)cc2C)c1,0,3,5,4,6,C,C,1,1,True,True,1,3,False,C-C,copy_i.site_b--copy_i+1.site_a,single,I,Cc1cc(I)sc1I,Cc1c[cH:1]s[cH:2]1,[CH3:1][c:2]1[cH:3][cH:4][s:5][cH:6]1,6,1,5,True,6,C5H6S,Cc1csc(-c2sccc2C)c1,12,C10H10S2,true,5,9,C10H12S2+2,2,1,neutral n=2 backbone at frozen link; add one H to each junction atom; target-medium GFN2/ddCOSMO preopt,frozen explicit n=6 hexamer,approved,3e1ab749ead160fb5f4855e5153c7682ef27882e4e8446f31280c9003c4ec3d7
M003,D003_QP2_M1,RXN_SIG_M003,3-Ethylthiophene,Thiophenes,CCc1ccsc1,CCc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6CC)cc5CC)cc4CC)cc3CC)cc2CC)c1,0,4,6,5,7,C,C,1,1,True,True,1,3,False,C-C,copy_i.site_b--copy_i+1.site_a,single,I,CCc1cc(I)sc1I,CCc1c[cH:1]s[cH:2]1,[CH3:1][CH2:2][c:3]1[cH:4][cH:5][s:6][cH:7]1,6,1,5,True,7,C6H8S,CCc1csc(-c2sccc2CC)c1,14,C12H14S2,true,6,11,C12H16S2+2,2,1,neutral n=2 backbone at frozen link; add one H to each junction atom; target-medium GFN2/ddCOSMO preopt,frozen explicit n=6 hexamer,approved,933b0aa8446c9fc4c4f729ed6b62a84d9da28c8dc2f018f714d965d4f8575da9
M004,D004_QP2_M1,RXN_SIG_M004,3-Propylthiophene,Thiophenes,CCCc1ccsc1,CCCc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6CCC)cc5CCC)cc4CCC)cc3CCC)cc2CCC)c1,0,5,7,6,8,C,C,1,1,True,True,1,3,False,C-C,copy_i.site_b--copy_i+1.site_a,single,I,CCCc1cc(I)sc1I,CCCc1c[cH:1]s[cH:2]1,[CH3:1][CH2:2][CH2:3][c:4]1[cH:5][cH:6][s:7][cH:8]1,6,1,5,True,8,C7H10S,CCCc1csc(-c2sccc2CCC)c1,16,C14H18S2,true,7,13,C14H20S2+2,2,1,neutral n=2 backbone at frozen link; add one H to each junction atom; target-medium GFN2/ddCOSMO preopt,frozen explicit n=6 hexamer,approved,bd028378051c5a1b83c45a66cd1b838f541e7d911498a8a31f0b720157bf899b
M005,D005_QP2_M1,RXN_SIG_M005,3-Butylthiophene,Thiophenes,CCCCc1ccsc1,CCCCc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6CCCC)cc5CCCC)cc4CCCC)cc3CCCC)cc2CCCC)c1,0,6,8,7,9,C,C,1,1,True,True,1,3,False,C-C,copy_i.site_b--copy_i+1.site_a,single,I,CCCCc1cc(I)sc1I,CCCCc1c[cH:1]s[cH:2]1,[CH3:1][CH2:2][CH2:3][CH2:4][c:5]1[cH:6][cH:7][s:8][cH:9]1,6,1,5,True,9,C8H12S,CCCCc1csc(-c2sccc2CCCC)c1,18,C16H22S2,true,8,15,C16H24S2+2,2,1,neutral n=2 backbone at frozen link; add one H to each junction atom; target-medium GFN2/ddCOSMO preopt,frozen explicit n=6 hexamer,approved,d569a749e490e5011b11d38ed1f749a14b30d99255671a559d5518870e2829d7
M006,D006_QP2_M1,RXN_SIG_M006,3-Hexylthiophene (3HT),Thiophenes,CCCCCCc1ccsc1,CCCCCCc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6CCCCCC)cc5CCCCCC)cc4CCCCCC)cc3CCCCCC)cc2CCCCCC)c1,0,8,10,9,11,C,C,1,1,True,True,1,3,False,C-C,copy_i.site_b--copy_i+1.site_a,single,I,CCCCCCc1cc(I)sc1I,CCCCCCc1c[cH:1]s[cH:2]1,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][c:7]1[cH:8][cH:9][s:10][cH:11]1,6,1,5,True,11,C10H16S,CCCCCCc1csc(-c2sccc2CCCCCC)c1,22,C20H30S2,true,10,19,C20H32S2+2,2,1,neutral n=2 backbone at frozen link; add one H to each junction atom; target-medium GFN2/ddCOSMO preopt,frozen explicit n=6 hexamer,approved,c19c63a6ae9e84493e4ef4dd6804c3a3eef5658d764ed53427804fad7773670a
M007,D007_QP2_M1,RXN_SIG_M007,3-Octylthiophene,Thiophenes,CCCCCCCCc1ccsc1,CCCCCCCCc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6CCCCCCCC)cc5CCCCCCCC)cc4CCCCCCCC)cc3CCCCCCCC)cc2CCCCCCCC)c1,0,10,12,11,13,C,C,1,1,True,True,1,3,False,C-C,copy_i.site_b--copy_i+1.site_a,single,I,CCCCCCCCc1cc(I)sc1I,CCCCCCCCc1c[cH:1]s[cH:2]1,[CH3:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][c:9]1[cH:10][cH:11][s:12][cH:13]1,6,1,5,True,13,C12H20S,CCCCCCCCc1csc(-c2sccc2CCCCCCCC)c1,26,C24H38S2,true,12,23,C24H40S2+2,2,1,neutral n=2 backbone at frozen link; add one H to each junction atom; target-medium GFN2/ddCOSMO preopt,frozen explicit n=6 hexamer,approved,c22e5822a2ba731f97573b42599174645134b4d9d684f49d0c6d8f472656a7d6
M008,D008_QP2_M1,RXN_SIG_M008,3-Methoxythiophene,Thiophenes,COc1ccsc1,COc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6OC)cc5OC)cc4OC)cc3OC)cc2OC)c1,0,4,6,5,7,C,C,1,1,True,True,1,3,False,C-C,copy_i.site_b--copy_i+1.site_a,single,I,COc1cc(I)sc1I,COc1c[cH:1]s[cH:2]1,[CH3:1][O:2][c:3]1[cH:4][cH:5][s:6][cH:7]1,6,1,5,True,7,C5H6OS,COc1csc(-c2sccc2OC)c1,14,C10H10O2S2,true,6,11,C10H12O2S2+2,2,1,neutral n=2 backbone at frozen link; add one H to each junction atom; target-medium GFN2/ddCOSMO preopt,frozen explicit n=6 hexamer,approved,6ed0fd2600b5edc462019b60934ccf2c6feea5da52f67367c7570934cad5dc12
M009,D009_QP2_M1,RXN_SIG_M009,3-Ethoxythiophene,Thiophenes,CCOc1ccsc1,CCOc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6OCC)cc5OCC)cc4OCC)cc3OCC)cc2OCC)c1,0,5,7,6,8,C,C,1,1,True,True,1,3,False,C-C,copy_i.site_b--copy_i+1.site_a,single,I,CCOc1cc(I)sc1I,CCOc1c[cH:1]s[cH:2]1,[CH3:1][CH2:2][O:3][c:4]1[cH:5][cH:6][s:7][cH:8]1,6,1,5,True,8,C6H8OS,CCOc1csc(-c2sccc2OCC)c1,16,C12H14O2S2,true,7,13,C12H16O2S2+2,2,1,neutral n=2 backbone at frozen link; add one H to each junction atom; target-medium GFN2/ddCOSMO preopt,frozen explicit n=6 hexamer,approved,44d588c17741072a5aa7dad1e81b0a24417572675ac4bacb6765a98df802a11a
M010,D010_QP2_M1,RXN_SIG_M010,3-Fluorothiophene,Thiophenes,Fc1ccsc1,Fc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6F)cc5F)cc4F)cc3F)cc2F)c1,0,3,5,4,6,C,C,1,1,True,True,1,3,False,C-C,copy_i.site_b--copy_i+1.site_a,single,I,Fc1cc(I)sc1I,Fc1c[cH:1]s[cH:2]1,[F:1][c:2]1[cH:3][cH:4][s:5][cH:6]1,6,1,5,True,6,C4H3FS,Fc1csc(-c2sccc2F)c1,12,C8H4F2S2,true,5,9,C8H6F2S2+2,2,1,neutral n=2 backbone at frozen link; add one H to each junction atom; target-medium GFN2/ddCOSMO preopt,frozen explicit n=6 hexamer,approved,2362108fcaef6578270115b1df78fbca4d4ae941ad8911e3bb41bc19813fa6d2
