solvent_id,solvent_name,smiles,family,smd_parameter_temperature_K,thermochemistry_temperature_K,orca_smd_mode,orca_smd_input_from_source,epsilon,soln_293K,soln25_298K,sola,solb,solg,solc,solh,model_vector_order,numeric_vector_complete_in_this_file,parameter_status,special_case,parameter_source_id,source_payload,orca_echo_fields_to_capture,refrac_cpcm,log_epsilon_natural,resolved_model_vector,parameter_origin_class,row_source_ids,row_source_urls,parameter_decision,orca_parameter_payload_resolved,production_status,echo_absolute_tolerance,temperature_note
S001,Acetonitrile (MeCN),CC#N,Nitrile,298.15,298.15,native_orca_smd,native: SMD(Acetonitrile),35.688,1.3442,1.3416,0.07,0.32,41.25,0,0,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,epsilon=35.688; refrac=1.3416; soln=1.3442; soln25=1.3416; sola=0.07; solb=0.32; solg=41.25; solc=0; solh=0,epsilon;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.3416,3.57481449783,3.57481449783|1.3442|1.3416|0.07|0.32|41.25|0|0,native_library_audit_vector,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,https://comp.chem.umn.edu/solvation/mnsddb.pdf;https://www.faccts.de/docs/orca/6.1/manual/contents/essentialelements/solvationmodels.html,MNSol/ORCA native Acetonitrile descriptors; execute with native ORCA SMD keyword.,epsilon=35.688; refrac=1.3416; soln=1.3442; soln25=1.3416; sola=0.07; solb=0.32; solg=41.25; solc=0; solh=0,authoritative_for_jhtvs_ft0806_v3,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
S002,Dichloromethane (DCM),ClCCl,Halogenated solvent,298.15,298.15,native_orca_smd,native: SMD(DCM),8.93,1.4242,1.4212,0.1,0.05,39.15,0,0.667,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,epsilon=8.93; refrac=1.4212; soln=1.4242; soln25=1.4212; sola=0.1; solb=0.05; solg=39.15; solc=0; solh=0.667,epsilon;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.4212,2.18941639489,2.18941639489|1.4242|1.4212|0.1|0.05|39.15|0|0.667,native_library_audit_vector,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,https://comp.chem.umn.edu/solvation/mnsddb.pdf;https://www.faccts.de/docs/orca/6.1/manual/contents/essentialelements/solvationmodels.html,MNSol/ORCA native dichloromethane descriptors; execute with native ORCA SMD keyword.,epsilon=8.93; refrac=1.4212; soln=1.4242; soln25=1.4212; sola=0.1; solb=0.05; solg=39.15; solc=0; solh=0.667,authoritative_for_jhtvs_ft0806_v3,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
S003,Propylene carbonate (PC),CC1COC(=O)O1,Cyclic carbonate,298.15,298.15,custom_smd,custom: epsilon=64.92; refrac=1.4198; soln=1.421; soln25=1.4198; sola=0; solb=0.4; solg=59.41513; solc=0; solh=0,64.92,1.421,1.4198,0,0.4,59.41513,0,0,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,,SRC_FULLSPACE_SOLVENT;SRC_SMD2009,epsilon=64.92; refrac=1.4198; soln=1.421; soln25=1.4198; sola=0; solb=0.4; solg=59.41513; solc=0; solh=0,epsilon;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.4198,4.17315574265,4.17315574265|1.421|1.4198|0|0.4|59.41513|0|0,project_complete_custom,SRC_FULLSPACE_SOLVENT;SRC_SMD2009,source_fullspace_solvents.csv;https://doi.org/10.1021/jp810292n,Retain the project-reviewed complete propylene-carbonate custom SMD set without modification.,epsilon=64.92; refrac=1.4198; soln=1.421; soln25=1.4198; sola=0; solb=0.4; solg=59.41513; solc=0; solh=0,authoritative_for_jhtvs_ft0806_v3,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
S004,Nitrobenzene,O=[N+]([O-])c1ccccc1,Nitro solvent,298.15,298.15,native_orca_smd,native: SMD(Nitrobenzene),34.809,1.5562,1.503,0,0.28,57.54,0.667,0,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,epsilon=34.809; refrac=1.503; soln=1.5562; soln25=1.503; sola=0; solb=0.28; solg=57.54; solc=0.667; solh=0,epsilon;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.503,3.54987597403,3.54987597403|1.5562|1.503|0|0.28|57.54|0.667|0,native_library_audit_vector,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,https://comp.chem.umn.edu/solvation/mnsddb.pdf;https://www.faccts.de/docs/orca/6.1/manual/contents/essentialelements/solvationmodels.html,MNSol/ORCA native nitrobenzene descriptors; execute with native ORCA SMD keyword.,epsilon=34.809; refrac=1.503; soln=1.5562; soln25=1.503; sola=0; solb=0.28; solg=57.54; solc=0.667; solh=0,authoritative_for_jhtvs_ft0806_v3,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
S005,Benzonitrile,N#Cc1ccccc1,Nitrile,298.15,298.15,native_orca_smd,native: SMD(Benzonitrile),25.592,1.5289,1.5257,0,0.33,55.83,0.75,0,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,epsilon=25.592; refrac=1.5257; soln=1.5289; soln25=1.5257; sola=0; solb=0.33; solg=55.83; solc=0.75; solh=0,epsilon;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.5257,3.24227980265,3.24227980265|1.5289|1.5257|0|0.33|55.83|0.75|0,native_library_audit_vector,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,https://comp.chem.umn.edu/solvation/mnsddb.pdf;https://www.faccts.de/docs/orca/6.1/manual/contents/essentialelements/solvationmodels.html,MNSol/ORCA native benzonitrile descriptors; execute with native ORCA SMD keyword.,epsilon=25.592; refrac=1.5257; soln=1.5289; soln25=1.5257; sola=0; solb=0.33; solg=55.83; solc=0.75; solh=0,authoritative_for_jhtvs_ft0806_v3,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
S006,"N,N-Dimethylformamide (DMF)",CN(C)C=O,Amide,298.15,298.15,native_orca_smd,native: SMD(DMF),37.219,1.4305,1.428,0,0.74,49.56,0,0,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,epsilon=37.219; refrac=1.428; soln=1.4305; soln25=1.428; sola=0; solb=0.74; solg=49.56; solc=0; solh=0,epsilon;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.428,3.61681938358,3.61681938358|1.4305|1.428|0|0.74|49.56|0|0,native_library_audit_vector,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,https://comp.chem.umn.edu/solvation/mnsddb.pdf;https://www.faccts.de/docs/orca/6.1/manual/contents/essentialelements/solvationmodels.html,MNSol/ORCA native DMF descriptors; execute with native ORCA SMD keyword.,epsilon=37.219; refrac=1.428; soln=1.4305; soln25=1.428; sola=0; solb=0.74; solg=49.56; solc=0; solh=0,authoritative_for_jhtvs_ft0806_v3,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
S007,Dimethyl sulfoxide (DMSO),CS(C)=O,Sulfoxide,298.15,298.15,custom_smd,"custom self-seed: SMDsolvent(""DMSO"")",46.826,1.4783,1.4783,0,0.88,61.78,0,0,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,custom_self_seed_registry_exact,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,epsilon=46.826; refrac=1.4783; soln=1.4783; soln25=1.4783; sola=0; solb=0.88; solg=61.78; solc=0; solh=0,epsilon;refrac;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.4783,3.84643860422,3.84643860422|1.4783|1.4783|0|0.88|61.78|0|0,custom_self_seed_registry_exact_from_frozen_mnsol_vector,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,https://comp.chem.umn.edu/solvation/mnsddb.pdf;https://www.faccts.de/docs/orca/6.1/manual/contents/essentialelements/solvationmodels.html,"Keep the frozen MNSol DMSO vector unchanged; initialize ORCA with the self SMDsolvent DMSO name, then explicitly override all nine registry fields with smd18 and draco disabled.",epsilon=46.826; refrac=1.4783; soln=1.4783; soln25=1.4783; sola=0.0; solb=0.88; solg=61.78; solc=0.0; solh=0.0,custom_self_seed_registry_exact,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
S008,Tetrahydrofuran (THF),C1CCOC1,Ether,298.15,298.15,native_orca_smd,native: SMD(THF),7.4257,1.405,1.4044,0,0.48,39.44,0,0,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,epsilon=7.4257; refrac=1.4044; soln=1.405; soln25=1.4044; sola=0; solb=0.48; solg=39.44; solc=0; solh=0,epsilon;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.4044,2.00494695634,2.00494695634|1.405|1.4044|0|0.48|39.44|0|0,native_library_audit_vector,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,https://comp.chem.umn.edu/solvation/mnsddb.pdf;https://www.faccts.de/docs/orca/6.1/manual/contents/essentialelements/solvationmodels.html,MNSol/ORCA native THF descriptors; execute with native ORCA SMD keyword.,epsilon=7.4257; refrac=1.4044; soln=1.405; soln25=1.4044; sola=0; solb=0.48; solg=39.44; solc=0; solh=0,authoritative_for_jhtvs_ft0806_v3,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
S009,Nitromethane,C[N+](=O)[O-],Nitro solvent,298.15,298.15,native_orca_smd,native: SMD(Nitromethane),36.562,1.3817,1.3796,0.06,0.31,52.58,0,0,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,epsilon=36.562; refrac=1.3796; soln=1.3817; soln25=1.3796; sola=0.06; solb=0.31; solg=52.58; solc=0; solh=0,epsilon;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.3796,3.59900944968,3.59900944968|1.3817|1.3796|0.06|0.31|52.58|0|0,native_library_audit_vector,SRC_MNSOL_DESCRIPTORS;SRC_ORCA61_SMD,https://comp.chem.umn.edu/solvation/mnsddb.pdf;https://www.faccts.de/docs/orca/6.1/manual/contents/essentialelements/solvationmodels.html,MNSol/ORCA native nitromethane descriptors; execute with native ORCA SMD keyword.,epsilon=36.562; refrac=1.3796; soln=1.3817; soln25=1.3796; sola=0.06; solb=0.31; solg=52.58; solc=0; solh=0,authoritative_for_jhtvs_ft0806_v3,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
S010,Water,O,Aqueous,298.15,298.15,native_orca_smd,native: SMD(Water),78.355,1.3328,1.3323,0,0,0,0,0,log_epsilon|soln|soln25|sola|solb|solg|solc|solh,1,resolved_and_frozen,water_internal_cds; must execute native SMD(Water),SRC_ORCA61_SMD;SRC_SMD2009;SRC_FULLSPACE_SOLVENT,epsilon=78.355; refrac=1.3323; soln=1.3328; soln25=1.3323; sola=0; solb=0; solg=0; solc=0; solh=0,epsilon;soln;soln25;sola;solb;solg;solc;solh;CPCM_Dielectric_Eh;SMD_CDS_Eh,1.3323,4.36124978298,4.36124978298|1.3328|1.3323|0|0|0|0|0,native_water_special,SRC_ORCA61_SMD;SRC_SMD2009;SRC_FULLSPACE_SOLVENT,https://www.faccts.de/docs/orca/6.1/manual/contents/essentialelements/solvationmodels.html;https://doi.org/10.1021/jp810292n;source_fullspace_solvents.csv,Use native SMD(Water); ORCA/SMD treats water with a special internal CDS parameterization and echoes zeros for the generic descriptor fields.,epsilon=78.355; refrac=1.3323; soln=1.3328; soln25=1.3323; sola=0; solb=0; solg=0; solc=0; solh=0,authoritative_for_jhtvs_ft0806_v3,"max(5e-4,5e-5*abs(expected))",SMD descriptor temperatures follow field definitions (soln 293 K; soln25 298 K); thermochemistry remains 298.15 K unless the project medium row explicitly fixes a different physical-medium temperature.
