input,smiles,family
Thiophene hexamer (n=6),c1csc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6cccs6)s5)s4)s3)s2)c1,Thiophenes
3-Methylthiophene hexamer (n=6),Cc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6C)cc5C)cc4C)cc3C)cc2C)c1,Thiophenes
3-Ethylthiophene hexamer (n=6),CCc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6CC)cc5CC)cc4CC)cc3CC)cc2CC)c1,Thiophenes
3-Propylthiophene hexamer (n=6),CCCc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6CCC)cc5CCC)cc4CCC)cc3CCC)cc2CCC)c1,Thiophenes
3-Butylthiophene hexamer (n=6),CCCCc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6CCCC)cc5CCCC)cc4CCCC)cc3CCCC)cc2CCCC)c1,Thiophenes
3-Hexylthiophene (3HT) hexamer (n=6),CCCCCCc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6CCCCCC)cc5CCCCCC)cc4CCCCCC)cc3CCCCCC)cc2CCCCCC)c1,Thiophenes
3-Octylthiophene hexamer (n=6),CCCCCCCCc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6CCCCCCCC)cc5CCCCCCCC)cc4CCCCCCCC)cc3CCCCCCCC)cc2CCCCCCCC)c1,Thiophenes
3-Methoxythiophene hexamer (n=6),COc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6OC)cc5OC)cc4OC)cc3OC)cc2OC)c1,Thiophenes
3-Ethoxythiophene hexamer (n=6),CCOc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6OCC)cc5OCC)cc4OCC)cc3OCC)cc2OCC)c1,Thiophenes
3-Fluorothiophene hexamer (n=6),Fc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6F)cc5F)cc4F)cc3F)cc2F)c1,Thiophenes
3-Chlorothiophene hexamer (n=6),Clc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6Cl)cc5Cl)cc4Cl)cc3Cl)cc2Cl)c1,Thiophenes
3-Bromothiophene hexamer (n=6),Brc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6Br)cc5Br)cc4Br)cc3Br)cc2Br)c1,Thiophenes
Thiophene-3-carbonitrile hexamer (n=6),N#Cc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6C#N)cc5C#N)cc4C#N)cc3C#N)cc2C#N)c1,Thiophenes
Methyl thiophene-3-carboxylate hexamer (n=6),COC(=O)c1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6C(=O)OC)cc5C(=O)OC)cc4C(=O)OC)cc3C(=O)OC)cc2C(=O)OC)c1,Thiophenes
3-Acetylthiophene hexamer (n=6),CC(=O)c1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6sccc6C(C)=O)cc5C(C)=O)cc4C(C)=O)cc3C(C)=O)cc2C(C)=O)c1,Thiophenes
"3,4-Dimethylthiophene hexamer (n=6)",Cc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6scc(C)c6C)c(C)c5C)c(C)c4C)c(C)c3C)c(C)c2C)c1C,Thiophenes
"3,4-Diethylthiophene hexamer (n=6)",CCc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6scc(CC)c6CC)c(CC)c5CC)c(CC)c4CC)c(CC)c3CC)c(CC)c2CC)c1CC,Thiophenes
"3,4-Difluorothiophene hexamer (n=6)",Fc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6scc(F)c6F)c(F)c5F)c(F)c4F)c(F)c3F)c(F)c2F)c1F,Thiophenes
"3,4-Dichlorothiophene hexamer (n=6)",Clc1csc(-c2sc(-c3sc(-c4sc(-c5sc(-c6scc(Cl)c6Cl)c(Cl)c5Cl)c(Cl)c4Cl)c(Cl)c3Cl)c(Cl)c2Cl)c1Cl,Thiophenes
