input,smiles,family
Thiophene,c1ccsc1,Thiophenes
3-Methylthiophene,Cc1ccsc1,Thiophenes
3-Ethylthiophene,CCc1ccsc1,Thiophenes
3-Propylthiophene,CCCc1ccsc1,Thiophenes
3-Butylthiophene,CCCCc1ccsc1,Thiophenes
3-Hexylthiophene (3HT),CCCCCCc1ccsc1,Thiophenes
3-Octylthiophene,CCCCCCCCc1ccsc1,Thiophenes
3-Methoxythiophene,COc1ccsc1,Thiophenes
3-Ethoxythiophene,CCOc1ccsc1,Thiophenes
3-Fluorothiophene,Fc1ccsc1,Thiophenes
3-Chlorothiophene,Clc1ccsc1,Thiophenes
3-Bromothiophene,Brc1ccsc1,Thiophenes
Thiophene-3-carbonitrile,N#Cc1ccsc1,Thiophenes
Methyl thiophene-3-carboxylate,COC(=O)c1ccsc1,Thiophenes
3-Acetylthiophene,CC(=O)c1ccsc1,Thiophenes
"3,4-Dimethylthiophene",Cc1cscc1C,Thiophenes
"3,4-Diethylthiophene",CCc1cscc1CC,Thiophenes
"3,4-Difluorothiophene",Fc1cscc1F,Thiophenes
"3,4-Dichlorothiophene",Clc1cscc1Cl,Thiophenes
"3,4-Dimethoxythiophene",COc1cscc1OC,Thiophenes
3-(Trifluoromethyl)thiophene,FC(F)(F)c1ccsc1,Thiophenes
"3,4-Ethylenedioxythiophene (EDOT)",c1scc2c1OCCO2,Thiophenes
"3,4-Propylenedioxythiophene (ProDOT)",c1scc2c1OCCCO2,Thiophenes
"2,2′-Bithiophene",c1csc(-c2cccs2)c1,Thiophenes
"2,2′:5′,2″-Terthiophene",c1csc(-c2ccc(-c3cccs3)s2)c1,Thiophenes
Pyrrole,c1cc[nH]c1,Pyrroles
N-Methylpyrrole,Cn1cccc1,Pyrroles
N-Ethylpyrrole,CCn1cccc1,Pyrroles
N-Propylpyrrole,CCCn1cccc1,Pyrroles
N-Hexylpyrrole,CCCCCCn1cccc1,Pyrroles
N-Octylpyrrole,CCCCCCCCn1cccc1,Pyrroles
3-Methylpyrrole,Cc1cc[nH]c1,Pyrroles
3-Ethylpyrrole,CCc1cc[nH]c1,Pyrroles
"3,4-Dimethylpyrrole",Cc1c[nH]cc1C,Pyrroles
"3,4-Diethylpyrrole",CCc1c[nH]cc1CC,Pyrroles
"3,4-Ethylenedioxypyrrole (EDOP)",c1[nH]cc2c1OCCO2,Pyrroles
"N-Methyl-3,4-ethylenedioxypyrrole (N-Me-EDOP)",Cn1cc2c(c1)OCCO2,Pyrroles
Furan,c1ccoc1,Furans
3-Methylfuran,Cc1ccoc1,Furans
3-Ethylfuran,CCc1ccoc1,Furans
3-Hexylfuran,CCCCCCc1ccoc1,Furans
3-Octylfuran,CCCCCCCCc1ccoc1,Furans
3-Methoxyfuran,COc1ccoc1,Furans
3-Fluorofuran,Fc1ccoc1,Furans
"3,4-Dimethylfuran",Cc1cocc1C,Furans
"3,4-Difluorofuran",Fc1cocc1F,Furans
"3,4-Dimethoxyfuran",COc1cocc1OC,Furans
"2,2′-Bifuran",c1coc(-c2ccco2)c1,Furans
"2,2′:5′,2″-Terfuran",c1coc(-c2ccc(-c3ccco3)o2)c1,Furans
Selenophene,c1cc[se]c1,Selenophenes
3-Methylselenophene,Cc1cc[se]c1,Selenophenes
3-Ethylselenophene,CCc1cc[se]c1,Selenophenes
3-Butylselenophene,CCCCc1cc[se]c1,Selenophenes
3-Hexylselenophene,CCCCCCc1cc[se]c1,Selenophenes
3-Octylselenophene,CCCCCCCCc1cc[se]c1,Selenophenes
3-Fluoroselenophene,Fc1cc[se]c1,Selenophenes
"3,4-Dimethylselenophene",Cc1c[se]cc1C,Selenophenes
"3,4-Ethylenedioxyselenophene (EDOS)",c1[se]cc2c1OCCO2,Selenophenes
"3,4-Propylenedioxyselenophene (ProDOS)",c1[se]cc2c1OCCCO2,Selenophenes
Aniline,Nc1ccccc1,Anilines
2-Methylaniline (o-toluidine),Cc1ccccc1N,Anilines
3-Methylaniline (m-toluidine),Cc1cccc(N)c1,Anilines
2-Methoxyaniline (o-anisidine),COc1ccccc1N,Anilines
3-Methoxyaniline (m-anisidine),COc1cccc(N)c1,Anilines
2-Aminophenol (o-aminophenol),Nc1ccccc1O,Anilines
3-Aminophenol (m-aminophenol),Nc1cccc(O)c1,Anilines
2-Fluoroaniline,Nc1ccccc1F,Anilines
"2,6-Dimethylaniline",Cc1cccc(C)c1N,Anilines
Diphenylamine,c1ccc(Nc2ccccc2)cc1,Anilines
Carbazole,c1ccc2c(c1)[nH]c1ccccc12,Carbazoles
N-Methylcarbazole,Cn1c2ccccc2c2ccccc21,Carbazoles
N-Ethylcarbazole,CCn1c2ccccc2c2ccccc21,Carbazoles
N-Hexylcarbazole,CCCCCCn1c2ccccc2c2ccccc21,Carbazoles
N-Octylcarbazole,CCCCCCCCn1c2ccccc2c2ccccc21,Carbazoles
N-Vinylcarbazole,C=Cn1c2ccccc2c2ccccc21,Carbazoles
"3,6-Bis(thiophen-2-yl)-9-methylcarbazole",Cn1c2ccc(-c3cccs3)cc2c2cc(-c3cccs3)ccc21,Carbazoles
"3,6-Bis(EDOT-2-yl)-9-methylcarbazole",Cn1c2ccc(-c3scc4c3OCCO4)cc2c2cc(-c3scc4c3OCCO4)ccc21,Carbazoles
"9,9-Dimethylfluorene",CC1(C)c2ccccc2-c2ccccc21,Fluorenes
"9,9-Diethylfluorene",CCC1(CC)c2ccccc2-c2ccccc21,Fluorenes
