parent_id,input,smiles,family,site_a_atom_index_0based,site_b_atom_index_0based,coupling_marker,coupling_smiles,coupling_atom_mapped_smiles,repeat_link_rule,link_atom_pair,topology_sha256
M001,Thiophene,c1ccsc1,Thiophenes,2,4,I,Ic1ccc(I)s1,c1c[cH:1]s[cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,d91b5366538573950dd039992050d34571fc5ef704d76a4f050a5a3b28ba9a44
M002,3-Methylthiophene,Cc1ccsc1,Thiophenes,3,5,I,Cc1cc(I)sc1I,Cc1c[cH:1]s[cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,3e1ab749ead160fb5f4855e5153c7682ef27882e4e8446f31280c9003c4ec3d7
M003,3-Ethylthiophene,CCc1ccsc1,Thiophenes,4,6,I,CCc1cc(I)sc1I,CCc1c[cH:1]s[cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,933b0aa8446c9fc4c4f729ed6b62a84d9da28c8dc2f018f714d965d4f8575da9
M004,3-Propylthiophene,CCCc1ccsc1,Thiophenes,5,7,I,CCCc1cc(I)sc1I,CCCc1c[cH:1]s[cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,bd028378051c5a1b83c45a66cd1b838f541e7d911498a8a31f0b720157bf899b
M005,3-Butylthiophene,CCCCc1ccsc1,Thiophenes,6,8,I,CCCCc1cc(I)sc1I,CCCCc1c[cH:1]s[cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,d569a749e490e5011b11d38ed1f749a14b30d99255671a559d5518870e2829d7
M006,3-Hexylthiophene (3HT),CCCCCCc1ccsc1,Thiophenes,8,10,I,CCCCCCc1cc(I)sc1I,CCCCCCc1c[cH:1]s[cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,c19c63a6ae9e84493e4ef4dd6804c3a3eef5658d764ed53427804fad7773670a
M007,3-Octylthiophene,CCCCCCCCc1ccsc1,Thiophenes,10,12,I,CCCCCCCCc1cc(I)sc1I,CCCCCCCCc1c[cH:1]s[cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,c22e5822a2ba731f97573b42599174645134b4d9d684f49d0c6d8f472656a7d6
M008,3-Methoxythiophene,COc1ccsc1,Thiophenes,4,6,I,COc1cc(I)sc1I,COc1c[cH:1]s[cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,6ed0fd2600b5edc462019b60934ccf2c6feea5da52f67367c7570934cad5dc12
M009,3-Ethoxythiophene,CCOc1ccsc1,Thiophenes,5,7,I,CCOc1cc(I)sc1I,CCOc1c[cH:1]s[cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,44d588c17741072a5aa7dad1e81b0a24417572675ac4bacb6765a98df802a11a
M010,3-Fluorothiophene,Fc1ccsc1,Thiophenes,3,5,I,Fc1cc(I)sc1I,Fc1c[cH:1]s[cH:2]1,copy_i.site_b--copy_i+1.site_a,C-C,2362108fcaef6578270115b1df78fbca4d4ae941ad8911e3bb41bc19813fa6d2
