input,smiles,family,calculation_temperature_K,epsilon_r,epsilon_temperature_K,epsilon_status,refractive_index,refractive_index_temperature_K,ddCOSMO_input,CPCM_input,SMD_input,SMD_parameters_or_missing,COSMO_RS_input,COSMO_RS_representation,notes,custom_parameter_source
Acetonitrile (MeCN),CC#N,Nitrile,298.15,35.688,298.15,tabulated experimental value,1.3416,298.15,native: DDCOSMO(Acetonitrile),native: CPCM(Acetonitrile),native: SMD(Acetonitrile),,native: COSMORS(Acetonitrile),,Use ORCA internal parameters; tabulated epsilon/n are audit values only.,
Dichloromethane (DCM),ClCCl,Halogenated solvent,298.15,8.93,298.15,tabulated experimental value,1.4212,298.15,native: DDCOSMO(DCM),native: CPCM(DCM),native: SMD(DCM),,native: COSMORS(DCM),,Use ORCA internal parameters; tabulated epsilon/n are audit values only.,
Propylene carbonate (PC),CC1COC(=O)O1,Cyclic carbonate,298.15,64.92,293.15,tabulated experimental value,1.4198,298.15,custom: epsilon=64.92,custom: epsilon=64.92; refrac=1.4198,custom complete parameter candidate,epsilon=64.92; refrac=1.4198; soln=1.421; soln25=1.4198; sola=0.0; solb=0.4; solg=59.41513; solc=0.0; solh=0.0,custom molecular .cosmorsxyz,single neutral molecule from listed SMILES,PC custom-SMD set carried from project review; retain approval/provenance flag before production.,Project-reviewed PC custom-SMD candidate; MNSol convention
Nitrobenzene,O=[N+]([O-])c1ccccc1,Nitro solvent,298.15,34.809,298.15,tabulated experimental value,1.5562,293.15,custom: epsilon=34.809,native: CPCM(Nitrobenzene),native: SMD(Nitrobenzene),,native: COSMORS(Nitrobenzene),,ddCOSMO has no native keyword in ORCA 6.1; use epsilon only. C-PCM/SMD/COSMO-RS are native.,MNSol solvent descriptor database; ORCA 6.1 manual
Benzonitrile,N#Cc1ccccc1,Nitrile,298.15,25.592,298.15,tabulated experimental value,1.5257,298.15,custom: epsilon=25.592,native: CPCM(Benzonitrile),native: SMD(Benzonitrile),,native: COSMORS(Benzonitrile),,ddCOSMO has no native keyword in ORCA 6.1; use epsilon only.,MNSol solvent descriptor database; ORCA 6.1 manual
"N,N-Dimethylformamide (DMF)",CN(C)C=O,Amide,298.15,37.219,298.15,tabulated experimental value,1.428,298.15,native: DDCOSMO(DMF),native: CPCM(DMF),native: SMD(DMF),,native: COSMORS(DMF),,Use ORCA internal parameters; tabulated epsilon/n are audit values only.,
Dimethyl sulfoxide (DMSO),CS(C)=O,Sulfoxide,298.15,46.826,298.15,tabulated experimental value,1.4783,298.15,native: DDCOSMO(DMSO),native: CPCM(DMSO),native: SMD(DMSO),,native: COSMORS(DMSO),,Use ORCA internal parameters; tabulated epsilon/n are audit values only.,
Tetrahydrofuran (THF),C1CCOC1,Ether,298.15,7.4257,298.15,tabulated experimental value,1.4044,298.15,native: DDCOSMO(THF),native: CPCM(THF),native: SMD(THF),,native: COSMORS(THF),,Use ORCA internal parameters; tabulated epsilon/n are audit values only.,
Nitromethane,C[N+](=O)[O-],Nitro solvent,298.15,36.562,298.15,tabulated experimental value,1.3796,298.15,native: DDCOSMO(Nitromethane),native: CPCM(Nitromethane),native: SMD(Nitromethane),,native: COSMORS(Nitromethane),,Use ORCA internal parameters; tabulated epsilon/n are audit values only.,
Water,O,Aqueous,298.15,78.355,298.15,tabulated experimental value,1.3323,298.15,native: DDCOSMO(Water),native: CPCM(Water),native: SMD(Water),,native: COSMORS(Water),,Use ORCA built-in SMD(Water); do not replace its special internal CDS treatment with generic hand-entered descriptors.,"ORCA 6.1 manual; project registry ε,n"
γ-Butyrolactone (GBL),O=C1CCCO1,Lactone,298.15,41.7,293.15,tabulated experimental value,1.4356,298.15,custom: epsilon=41.7,custom: epsilon=41.7; refrac=1.4356,custom complete parameter candidate,epsilon=41.7; refrac=1.4356; soln=1.437; soln25=1.4356; sola=0.0; solb=0.54; solg=64.19367; solc=0.0; solh=0.0,custom molecular .cosmorsxyz,single neutral molecule from listed SMILES,GBL custom-SMD set carried from project review; retain approval/provenance flag before production.,Project-reviewed GBL custom-SMD candidate; MNSol convention
Sulfolane,O=S1(=O)CCCC1,Sulfone,303.15,43.3,303.15,tabulated experimental value,1.484,293.15,custom: epsilon=43.3,native: CPCM(Sulfolane),native: SMD(Sulfolane),,custom molecular .cosmorsxyz,single neutral molecule from listed SMILES,ORCA 6.1 has native C-PCM/SMD but not ddCOSMO or COSMO-RS. Temperature is explicit because sulfolane is near its melting point at room temperature.,"PubChem/CRC ε,n; ORCA 6.1 manual"
N-Methyl-2-pyrrolidone (NMP),CN1CCCC1=O,Lactam,298.15,32.2,298.15,tabulated experimental value,1.469,298.15,custom: epsilon=32.2,custom: epsilon=32.2; refrac=1.469,custom incomplete; use CPCM until validated,"known: epsilon=32.2, refrac=1.469; missing: soln, soln25, sola, solb, solg, solc, solh",custom molecular .cosmorsxyz,single neutral molecule from listed SMILES,epsilon and refractive index are available; validated Abraham acidity/basicity and SMD surface-tension descriptor are still required for custom SMD.,"Eastman/PubChem ε,n; ORCA 6.1 manual"
Boron trifluoride diethyl etherate (BFEE),CC[O+](CC)[B-](F)(F)F,Lewis-acid etherate,298.15,4.34,298.15,HTS proxy (diethyl ether parent medium),1.344,293.15,custom: epsilon=4.34,custom: epsilon=4.34; refrac=1.344,custom incomplete; use CPCM until validated,"known: epsilon=4.34 proxy, refrac=1.344; missing: soln, soln25, sola, solb, solg, solc, solh",custom molecular .cosmorsxyz,neutral BF3·OEt2 adduct from listed SMILES,Unified Tier-1 effective-medium proxy; ε is not a measured neat-BFEE value.,ε proxy: MNSol diethyl ether; n: Sigma-Aldrich BF3·OEt2
1-Butyl-3-methylimidazolium hexafluorophosphate ([BMIM][PF6]),CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,Ionic liquid,298.15,11.4,293.0,measured local/cybotactic dielectric proxy,1.523,293.0,custom: epsilon=11.4,custom: epsilon=11.4; refrac=1.523,custom incomplete; use CPCM until validated,"known: epsilon=11.4, refrac=1.523; missing: soln, soln25, sola, solb, solg, solc, solh",custom ion-pair .cosmorsxyz proxy,fixed neutral 1:1 [BMIM]+/[PF6]− contact ion pair,Parameter-driven HTS proxy; preserve temperature and dry-sample convention.,"Baker et al., JPCB 2001, DOI 10.1021/jp0103528"
1-Butyl-3-methylimidazolium tetrafluoroborate ([BMIM][BF4]),CCCCn1cc[n+](C)c1.F[B-](F)(F)F,Ionic liquid,298.15,9.7,298.0,measured static relative permittivity,,,custom: epsilon=9.7,custom: epsilon=9.7,custom incomplete; use CPCM until validated,"known: epsilon=9.7; missing: refrac, soln, soln25, sola, solb, solg, solc, solh",custom ion-pair .cosmorsxyz proxy,fixed neutral 1:1 [BMIM]+/[BF4]− contact ion pair,Dry 298 K static-permittivity value; SMD remains incomplete.,"Bennett et al., J. Mol. Liq. 2019, DOI 10.1016/j.molliq.2019.111571"
1-Ethyl-3-methylimidazolium bis(trifluoromethanesulfonyl)imide ([EMIM][TFSI]),CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,Ionic liquid,298.15,13.8,298.0,measured static relative permittivity,,,custom: epsilon=13.8,custom: epsilon=13.8,custom incomplete; use CPCM until validated,"known: epsilon=13.8; missing: refrac, soln, soln25, sola, solb, solg, solc, solh",custom ion-pair .cosmorsxyz proxy,fixed neutral 1:1 [EMIM]+/[TFSI]− contact ion pair,Dry 298 K static-permittivity value; SMD remains incomplete.,"Bennett et al., J. Mol. Liq. 2019, DOI 10.1016/j.molliq.2019.111571"
Choline chloride/urea (1:2) deep eutectic solvent,C[N+](C)(C)CCO.NC(N)=O.NC(N)=O.[Cl-],Deep eutectic solvent,298.15,9.8,298.0,measured static relative permittivity,,,custom: epsilon=9.8,custom: epsilon=9.8,custom incomplete; use CPCM until validated,"known: epsilon=9.8; missing: refrac, soln, soln25, sola, solb, solg, solc, solh",custom cluster .cosmorsxyz proxy,fixed neutral 1 Choline+ : 1 Cl− : 2 urea cluster,Use dry 1:2 composition at 298 K; water content must remain controlled.,"Bennett et al., J. Mol. Liq. 2019, DOI 10.1016/j.molliq.2019.111571"
Propionitrile,CCC#N,Nitrile,298.15,29.324,298.15,tabulated experimental value,1.3633,298.15,custom: epsilon=29.324,native: CPCM(Propanonitrile),native: SMD(Propanonitrile),,custom molecular .cosmorsxyz,single neutral molecule from listed SMILES,ORCA keyword is Propanonitrile. It is not native for ddCOSMO or COSMO-RS.,MNSol solvent descriptor database; ORCA 6.1 manual
"1,2-Dichloroethane",ClCCCl,Halogenated solvent,298.15,10.125,298.15,tabulated experimental value,1.4425,298.15,custom: epsilon=10.125,"native: CPCM(1,2-Dichloroethane)","native: SMD(1,2-Dichloroethane)",,"native: COSMORS(1,2-Dichloroethane)",,"CPCM-X is native for xTB, but ddCOSMO is not; this registry specifically uses ddCOSMO epsilon fallback.",MNSol solvent descriptor database; ORCA 6.1 manual
