registry_row,class,species_id,species_name,environment,canonical_key,experimental_value,decision,reason
2,monomer,CM01,Thiophene,Acetonitrile,monomer|c1ccsc1|CC#N,1.5,exclude,registry_value_provenance_conflict
3,monomer,CM01,Thiophene,Dichloromethane,monomer|c1ccsc1|ClCCl,,exclude,non_scalar_or_missing_experiment
4,monomer,CM02,EDOT,Acetonitrile,monomer|c1scc2c1OCCO2|CC#N,1.32,exclude,registry_value_not_supported_by_cited_normalization
5,monomer,CM02,EDOT,Dichloromethane,monomer|c1scc2c1OCCO2|ClCCl,,exclude,non_scalar_or_missing_experiment
6,monomer,CM03,3-methylthiophene,Acetonitrile,monomer|Cc1ccsc1|CC#N,1.85,include,included_objective_scalar
7,monomer,CM04,"3,4-difluorothiophene",Acetonitrile,monomer|Fc1cscc1F|CC#N,/,exclude,non_scalar_or_missing_experiment
8,monomer,CM05,"2,2′-bithiophene",Acetonitrile,monomer|c1csc(-c2cccs2)c1|CC#N,1.35,include,included_objective_scalar
9,monomer,CM06,Pyrrole,Acetonitrile,monomer|c1cc[nH]c1|CC#N,1.34,exclude,incompatible_or_insufficient_observable
10,monomer,CM07,Furan,Acetonitrile,monomer|c1ccoc1|CC#N,/,exclude,non_scalar_or_missing_experiment
11,monomer,CM08,Selenophene,Acetonitrile,monomer|c1cc[se]c1|CC#N,1.65,include,included_objective_scalar
12,monomer,CM09,EDOS,Acetonitrile,monomer|c1[se]cc2c1OCCO2|CC#N,/,exclude,non_scalar_or_missing_experiment
13,monomer,CM10,Aniline,Acetonitrile,monomer|Nc1ccccc1|CC#N,/,exclude,non_scalar_or_missing_experiment
14,monomer,CM10,Aniline,Water,monomer|Nc1ccccc1|O,,exclude,non_scalar_or_missing_experiment
15,monomer,CM11,Carbazole,Acetonitrile,monomer|c1ccc2c(c1)[nH]c1ccccc12|CC#N,1.1,include,included_objective_scalar
16,monomer,CM12,"9,9-dimethylfluorene",Acetonitrile,monomer|CC1(C)c2ccccc2-c2ccccc21|CC#N,/,exclude,non_scalar_or_missing_experiment
17,monomer,CM13,CPDT,Acetonitrile,monomer|c1cc2c(s1)-c1sccc1C2|CC#N,1.08,include,included_objective_scalar
18,monomer,CM14,TBT,Acetonitrile,monomer|c1csc(-c2ccc3nsnc3c2-c2cccs2)c1|CC#N,/,exclude,non_scalar_or_missing_experiment
19,monomer,CM15,TDPPMe,Acetonitrile,monomer|CN1C(=O)C2=C(c3cccs3)N(C)C(=O)C2=C1c1cccs1|CC#N,,exclude,non_scalar_or_missing_experiment
20,monomer,CM16,TTDQ,Acetonitrile,monomer|c1csc(-c2c3nccnc3c(-c3cccs3)c3nsnc23)c1|CC#N,/,exclude,non_scalar_or_missing_experiment
21,monomer,CM17,ProDOT,Acetonitrile,monomer|c1scc2c1OCCCO2|CC#N,/,exclude,non_scalar_or_missing_experiment
22,monomer,CM18,Nmethylpyrrole,Acetonitrile,monomer|Cn1cccc1|CC#N,,exclude,non_scalar_or_missing_experiment
23,monomer,CM19,Terthiophene,Acetonitrile,monomer|c1csc(-c2ccc(-c3cccs3)s2)c1|CC#N,1.09,exclude,validation_key_overlap
24,monomer,CM20,Isoindigo,Acetonitrile,,/,exclude,non_scalar_or_missing_experiment
25,monomer,CM21,3-methoxythiophene,Acetonitrile,monomer|COc1ccsc1|CC#N,1.15,exclude,insufficient_source_provenance
50,solvent,CS01,Acetonitrile,Acetonitrile,solvent|CC#N|CC#N,3.05,exclude,validation_key_overlap
51,solvent,CS03,DMF,DMF,solvent|CN(C)C=O|CN(C)C=O,,exclude,non_scalar_or_missing_experiment
52,solvent,CS04,DMSO,DMSO,solvent|CS(C)=O|CS(C)=O,,exclude,non_scalar_or_missing_experiment
53,solvent,CS05,Sulfolane,Sulfolane,solvent|O=S1(=O)CCCC1|O=S1(=O)CCCC1,,exclude,non_scalar_or_missing_experiment
54,solvent,CS06,Nitromethane,Nitromethane,solvent|C[N+](=O)[O-]|C[N+](=O)[O-],/,exclude,non_scalar_or_missing_experiment
55,solvent,CS07,Nitrobenzene,Nitrobenzene,solvent|O=[N+]([O-])c1ccccc1|O=[N+]([O-])c1ccccc1,/,exclude,non_scalar_or_missing_experiment
56,solvent,CS08,Dichloromethane,Dichloromethane,solvent|ClCCl|ClCCl,/,exclude,non_scalar_or_missing_experiment
57,solvent,CS09,THF,THF,solvent|C1CCOC1|C1CCOC1,/,exclude,non_scalar_or_missing_experiment
58,solvent,CS10,Water,Water,solvent|O|O,1.03,exclude,incompatible_or_insufficient_observable
59,solvent,CS13,Benzonitrile,Benzonitrile,solvent|N#Cc1ccccc1|N#Cc1ccccc1,/,exclude,non_scalar_or_missing_experiment
60,anion,CE02,BF₄⁻,Acetonitrile,anion|F[B-](F)(F)F|CC#N,2.96,exclude,experimental_medium_mismatch
61,anion,CE03,ClO₄⁻,Acetonitrile,anion|[O-][Cl+3]([O-])([O-])[O-]|CC#N,2.76,exclude,experimental_medium_mismatch
62,anion,CE04,TFSI,Acetonitrile,anion|O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F|CC#N,,exclude,non_scalar_or_missing_experiment
63,anion,CE05,Tosylate,Acetonitrile,,,exclude,non_scalar_or_missing_experiment
66,anion,CE12,OTf⁻,Acetonitrile,anion|O=S(=O)([O-])C(F)(F)F|CC#N,2.66,exclude,experimental_medium_mismatch
