logical_trajectory_id,system_id,seed_index,state,R0_A,escape_boundary_A,production_samples,solvent_index,restraint_activation_fraction,maximum_COM_distance_A,max_excess_over_R0_A,longest_continuous_exceedance_over_R0_plus_2A_ps,shell_escape
val-mon-jvm001-86771f02__seed-0__lower,val-mon-jvm001-86771f02,0,lower,7.2513742384,9.2513742384,100,1,0.0,7.009730723079547,0.0,0.0,False
val-mon-jvm001-86771f02__seed-0__lower,val-mon-jvm001-86771f02,0,lower,7.2513742384,9.2513742384,100,2,0.0,5.906963180246243,0.0,0.0,False
val-mon-jvm001-86771f02__seed-0__lower,val-mon-jvm001-86771f02,0,lower,7.2513742384,9.2513742384,100,3,0.0,6.014701422098154,0.0,0.0,False
val-mon-jvm001-86771f02__seed-0__lower,val-mon-jvm001-86771f02,0,lower,7.2513742384,9.2513742384,100,4,0.0,6.71116484968134,0.0,0.0,False
val-mon-jvm001-86771f02__seed-0__lower,val-mon-jvm001-86771f02,0,lower,7.2513742384,9.2513742384,100,5,0.04,7.329353577428354,0.07797933902835386,0.0,False
val-mon-jvm001-86771f02__seed-0__oxidized,val-mon-jvm001-86771f02,0,oxidized,7.2513742384,9.2513742384,100,1,0.0,5.771041019082961,0.0,0.0,False
val-mon-jvm001-86771f02__seed-0__oxidized,val-mon-jvm001-86771f02,0,oxidized,7.2513742384,9.2513742384,100,2,0.0,6.452358498917453,0.0,0.0,False
val-mon-jvm001-86771f02__seed-0__oxidized,val-mon-jvm001-86771f02,0,oxidized,7.2513742384,9.2513742384,100,3,0.0,5.203498083751798,0.0,0.0,False
val-mon-jvm001-86771f02__seed-0__oxidized,val-mon-jvm001-86771f02,0,oxidized,7.2513742384,9.2513742384,100,4,0.21,7.557667284181149,0.3062930457811488,0.0,False
val-mon-jvm001-86771f02__seed-0__oxidized,val-mon-jvm001-86771f02,0,oxidized,7.2513742384,9.2513742384,100,5,0.0,4.574739631519591,0.0,0.0,False
val-mon-jvm010-d5a2fe91__seed-0__lower,val-mon-jvm010-d5a2fe91,0,lower,14.3852284215,16.385228421500003,100,1,0.14,14.765518706333935,0.3802902848339347,0.0,False
val-mon-jvm010-d5a2fe91__seed-0__lower,val-mon-jvm010-d5a2fe91,0,lower,14.3852284215,16.385228421500003,100,2,0.06,14.570548150518693,0.18531972901869231,0.0,False
val-mon-jvm010-d5a2fe91__seed-0__lower,val-mon-jvm010-d5a2fe91,0,lower,14.3852284215,16.385228421500003,100,3,0.0,11.002368947791078,0.0,0.0,False
val-mon-jvm010-d5a2fe91__seed-0__lower,val-mon-jvm010-d5a2fe91,0,lower,14.3852284215,16.385228421500003,100,4,0.0,12.763322310771551,0.0,0.0,False
val-mon-jvm010-d5a2fe91__seed-0__lower,val-mon-jvm010-d5a2fe91,0,lower,14.3852284215,16.385228421500003,100,5,0.16,14.744203375060723,0.35897495356072184,0.0,False
val-mon-jvm010-d5a2fe91__seed-0__oxidized,val-mon-jvm010-d5a2fe91,0,oxidized,14.3852284215,16.385228421500003,100,1,0.59,14.792182718822467,0.406954297322466,0.0,False
val-mon-jvm010-d5a2fe91__seed-0__oxidized,val-mon-jvm010-d5a2fe91,0,oxidized,14.3852284215,16.385228421500003,100,2,0.0,12.495797508193121,0.0,0.0,False
val-mon-jvm010-d5a2fe91__seed-0__oxidized,val-mon-jvm010-d5a2fe91,0,oxidized,14.3852284215,16.385228421500003,100,3,0.0,10.052891125125234,0.0,0.0,False
val-mon-jvm010-d5a2fe91__seed-0__oxidized,val-mon-jvm010-d5a2fe91,0,oxidized,14.3852284215,16.385228421500003,100,4,0.0,13.014440207040694,0.0,0.0,False
val-mon-jvm010-d5a2fe91__seed-0__oxidized,val-mon-jvm010-d5a2fe91,0,oxidized,14.3852284215,16.385228421500003,100,5,0.0,13.987344755994792,0.0,0.0,False
val-sol-jvs001-d9400988__seed-0__lower,val-sol-jvs001-d9400988,0,lower,6.5053513645,8.505351364500001,100,1,0.0,5.128318693224695,0.0,0.0,False
val-sol-jvs001-d9400988__seed-0__lower,val-sol-jvs001-d9400988,0,lower,6.5053513645,8.505351364500001,100,2,0.2,7.052337096993448,0.5469857324934475,0.0,False
val-sol-jvs001-d9400988__seed-0__lower,val-sol-jvs001-d9400988,0,lower,6.5053513645,8.505351364500001,100,3,0.14,7.03552111692189,0.53016975242189,0.0,False
val-sol-jvs001-d9400988__seed-0__lower,val-sol-jvs001-d9400988,0,lower,6.5053513645,8.505351364500001,100,4,0.0,5.395504072247162,0.0,0.0,False
val-sol-jvs001-d9400988__seed-0__lower,val-sol-jvs001-d9400988,0,lower,6.5053513645,8.505351364500001,100,5,0.0,5.016770746647044,0.0,0.0,False
val-sol-jvs001-d9400988__seed-0__oxidized,val-sol-jvs001-d9400988,0,oxidized,6.5053513645,8.505351364500001,100,1,0.0,4.348166153905352,0.0,0.0,False
val-sol-jvs001-d9400988__seed-0__oxidized,val-sol-jvs001-d9400988,0,oxidized,6.5053513645,8.505351364500001,100,2,0.0,6.318057912876887,0.0,0.0,False
val-sol-jvs001-d9400988__seed-0__oxidized,val-sol-jvs001-d9400988,0,oxidized,6.5053513645,8.505351364500001,100,3,0.0,5.645653523060611,0.0,0.0,False
val-sol-jvs001-d9400988__seed-0__oxidized,val-sol-jvs001-d9400988,0,oxidized,6.5053513645,8.505351364500001,100,4,0.15,6.753464366477026,0.24811300197702568,0.0,False
val-sol-jvs001-d9400988__seed-0__oxidized,val-sol-jvs001-d9400988,0,oxidized,6.5053513645,8.505351364500001,100,5,0.2,6.800399152859682,0.2950477883596818,0.0,False
val-ani-jva002-55b28367__seed-0__lower,val-ani-jva002-55b28367,0,lower,5.9465922696,7.9465922696,100,1,0.15,6.236634566805532,0.2900422972055319,0.0,False
val-ani-jva002-55b28367__seed-0__lower,val-ani-jva002-55b28367,0,lower,5.9465922696,7.9465922696,100,2,0.13,6.3467202175028685,0.40012794790286854,0.0,False
val-ani-jva002-55b28367__seed-0__lower,val-ani-jva002-55b28367,0,lower,5.9465922696,7.9465922696,100,3,0.0,5.644341357590191,0.0,0.0,False
val-ani-jva002-55b28367__seed-0__lower,val-ani-jva002-55b28367,0,lower,5.9465922696,7.9465922696,100,4,0.0,5.302518384878264,0.0,0.0,False
val-ani-jva002-55b28367__seed-0__lower,val-ani-jva002-55b28367,0,lower,5.9465922696,7.9465922696,100,5,0.0,5.127945114530029,0.0,0.0,False
val-ani-jva002-55b28367__seed-0__oxidized,val-ani-jva002-55b28367,0,oxidized,5.9465922696,7.9465922696,100,1,0.0,5.886275102367586,0.0,0.0,False
val-ani-jva002-55b28367__seed-0__oxidized,val-ani-jva002-55b28367,0,oxidized,5.9465922696,7.9465922696,100,2,0.0,5.936821281184907,0.0,0.0,False
val-ani-jva002-55b28367__seed-0__oxidized,val-ani-jva002-55b28367,0,oxidized,5.9465922696,7.9465922696,100,3,0.26,6.149814230055438,0.20322196045543794,0.0,False
